id,city_id,language_key,name
232307660,3016983,mt,Rozaje
232307737,3016984,mt,Radetina
232307814,3016985,mt,Poroca
232308353,3016992,mt,Ibarac
232308430,3016993,mt,Grahovo
232309354,3017005,mt,Bac
232309585,3017008,mt,Bovan
232309662,3017009,mt,Dolina
232310201,3017016,mt,Donja Lovnica
232310509,3017020,mt,Plumci
232310663,3017022,mt,Halilovic
232310740,3017023,mt,Dubovik
232310894,3017025,mt,Kopiljaca [historical]
232310971,3017026,mt,Sredani
232311587,3017034,mt,Redzica Krlje
232311664,3017035,mt,Koljeno
232311741,3017036,mt,Visnjice
232311818,3017037,mt,Donji Besnik
232311895,3017038,mt,Dzudzevici
232312280,3017043,mt,Seosnica
232312357,3017044,mt,Tuzeva Luka
232312588,3017047,mt,Kacari
232312896,3017051,mt,Dracinovac
232313435,3017058,mt,Zupci
232313512,3017059,mt,Zukovica
232313589,3017060,mt,Zoganj
232313897,3017064,mt,Zirci
232313974,3017065,mt,Zidovici
232314051,3017066,mt,Zelenika
232314282,3017069,mt,Zankovici
232314436,3017071,mt,Zaljevo
232314590,3017073,mt,Zagrade
232314744,3017075,mt,Zagora
232315129,3017080,mt,Zablak
232315206,3017081,mt,Vusane
232315360,3017083,mt,Vuksanlekici
232315745,3017088,mt,Vrela
232315822,3017089,mt,Gornja Vrbica
232315976,3017091,mt,Vrba
232316130,3017093,mt,Vranjina
232316207,3017094,mt,Vranj
232316669,3017100,mt,Vladni
232316900,3017103,mt,Visnjevo
232317054,3017105,mt,Virpazar
232317131,3017106,mt,Vinicka
232317285,3017108,mt,Vilusi
232317516,3017111,mt,Velje Selo
232317593,3017112,mt,Velje Selo
232317824,3017115,mt,Vaskovo
232318132,3017119,mt,Ulcin
232318286,3017121,mt,Ugnji
232318363,3017122,mt,Ubli
232318440,3017123,mt,Ubli
232318748,3017127,mt,Tuzi Ljevorecke
232318825,3017128,mt,Tuzi
232319056,3017131,mt,Tudemili
232319133,3017132,mt,Tucane
232319364,3017135,mt,Trnovo
232319595,3017138,mt,Tresnjevo
232319826,3017141,mt,Trebesinj
232319903,3017142,mt,Trabojin
232320057,3017144,mt,Tomba
232320134,3017145,mt,Tomasevo
232320288,3017147,mt,Tivat
232320519,3017150,mt,Tejani
232320596,3017151,mt,Sveti Stefan
232320750,3017153,mt,Sveti Dorde
232320827,3017154,mt,Sutvara
232320904,3017155,mt,Sutomore
232321058,3017157,mt,Susuna
232321135,3017158,mt,Sustas
232321212,3017159,mt,Suscepan
232321289,3017160,mt,Donje Sume
232321443,3017162,mt,Sukobin
232321674,3017165,mt,Stube
232321828,3017167,mt,Strojtenica
232321905,3017168,mt,Strahinici
232322136,3017171,mt,Stedim
232322213,3017172,mt,Staro Selo
232322290,3017173,mt,Stari Bar
232322367,3017174,mt,Staniselici
232322521,3017176,mt,Srpska
232322598,3017177,mt,Sretnja
232322752,3017179,mt,Spuž
232322829,3017180,mt,Spina
232322906,3017181,mt,Sobaici
232323214,3017185,mt,Sljuke
232323368,3017187,mt,Slatina
232323753,3017192,mt,Sjenozeta
232323830,3017193,mt,Sjerogoste
232324523,3017202,mt,Sekulici
232324600,3017203,mt,Savnik
232324677,3017204,mt,Sasovici
232324754,3017205,mt,Sas
232325524,3017215,mt,Risan
232325601,3017216,mt,Rijeka Crnojevica
232325678,3017217,mt,Rijecani
232325755,3017218,mt,Resnik
232326063,3017222,mt,Ratisevina
232326140,3017223,mt,Rastovac
232326294,3017225,mt,Rakonje
232326525,3017228,mt,Radovici
232327064,3017235,mt,Provalija
232327218,3017237,mt,Prnjavor
232327295,3017238,mt,Pristan
232327372,3017239,mt,Prisoja
232327449,3017240,mt,Pripcici
232327526,3017241,mt,Prijevor
232327834,3017245,mt,Prifta
232327988,3017247,mt,Prevlaka
232328065,3017248,mt,Previs
232328142,3017249,mt,Prentin Do
232328296,3017251,mt,Prcan
232328373,3017252,mt,Pracica
232328604,3017255,mt,Pozeginja
232328681,3017256,mt,Donja Povija
232328835,3017258,mt,Potkrajci
232328912,3017259,mt,Poscenje
232329066,3017261,mt,Ponikvica
232329143,3017262,mt,Ponari
232329297,3017264,mt,Poljice
232329374,3017265,mt,Polje
232329682,3017269,mt,Podi
232329759,3017270,mt,Pothum
232329836,3017271,mt,Podgorica
232329990,3017273,mt,Poda
232330221,3017276,mt,Pluzine
232330298,3017277,mt,Pljevlja
232330375,3017278,mt,Plav
232330529,3017280,mt,Pikalja
232330606,3017281,mt,Pikalja
232330837,3017284,mt,Petrovac na Moru
232330914,3017285,mt,Petnik
232330991,3017286,mt,Pesca
232331068,3017287,mt,Perast
232331145,3017288,mt,Pelinkovici
232331222,3017289,mt,Pelev Brijeg
232331299,3017290,mt,Pecurice
232331684,3017295,mt,Papani
232331838,3017297,mt,Ozrinici
232332069,3017300,mt,Ovtocici
232332300,3017303,mt,Orlina
232332377,3017304,mt,Orja Luka
232332608,3017307,mt,Donji Orahovac
232332916,3017311,mt,Ocinici
232332993,3017312,mt,Obrov
232333147,3017314,mt,Oblatno
232333224,3017315,mt,Katuniste
232333301,3017316,mt,Novsici
232333378,3017317,mt,Novoselje
232333455,3017318,mt,Negusi
232333532,3017319,mt,Nikšić
232333609,3017320,mt,Nikmaras
