id,city_id,language_key,name
234433354,3044590,aa,Likiep
234433816,3044596,aa,Jabor
234433970,3044598,aa,Woja
234434124,3044600,aa,Wotho
234434278,3044602,aa,Jeh
234434663,3044607,aa,Kinnatkan
234434971,3044611,aa,Bikoniing
234435279,3044615,aa,Ailuk
234435587,3044619,aa,Majuro
234435664,3044620,aa,Airok
234435972,3044624,aa,Taroa
234436511,3044631,aa,Ailuk
234436588,3044632,aa,Ebeye
234436665,3044633,aa,Aur
234437281,3044641,aa,New Rongelap
234437820,3044648,aa,Kilange
234438051,3044651,aa,Meidj
234438128,3044652,aa,Jabat
234439206,3044666,aa,Laura
234439360,3044668,aa,Arrak
234439437,3044669,aa,Ejit - relocation of Bikini inhabitants
234439668,3044672,aa,Ebadon
234439745,3044673,aa,Ebaye
234439899,3044675,aa,Ennylabegan local village
234440053,3044677,aa,Kili
234440130,3044678,aa,Enewetak
234440207,3044679,aa,Ebon
234440284,3044680,aa,Aur
234440361,3044681,aa,Arno
234440438,3044682,aa,Airuk
234440515,3044683,aa,Mili
234440592,3044684,aa,Lae
234440669,3044685,aa,Utrik
234440746,3044686,aa,Ujae
234440823,3044687,aa,Rongelap
234440900,3044688,aa,Loen
234440977,3044689,aa,Namdik
234441054,3044690,aa,Mejiit
234441131,3044691,aa,Lib
234441208,3044692,aa,Kili
234441285,3044693,aa,Jabat
234441362,3044694,aa,Wotje
234441439,3044695,aa,Wotho
234441516,3044696,aa,Dalap-Uliga-Dorrit
