id,city_id,language_key,name
234625661,3047087,lb,Sirakoro
234626354,3047096,lb,Zinda
234626585,3047099,lb,Ziesso
234628125,3047119,lb,Zegoua
234628279,3047121,lb,Zebala
234628356,3047122,lb,Zazouna
234628433,3047123,lb,Zanzouni
234628587,3047125,lb,Zantoumala
234628741,3047127,lb,Zantona
234628895,3047129,lb,Zantiebougou
234629434,3047136,lb,Zaniena
234630512,3047150,lb,Zangaradougou
234630666,3047152,lb,Zanga
234630820,3047154,lb,Zanferebougou
234631128,3047158,lb,Zanbougou
234631359,3047161,lb,Zanbougou
234631436,3047162,lb,Zambougou Dionkala
234631513,3047163,lb,Zanbougou
234631590,3047164,lb,Zanbilala
234632360,3047174,lb,Zana
234632668,3047178,lb,Zaminiasso
234633592,3047190,lb,Zambougou
234634439,3047201,lb,Zama
234634593,3047203,lb,Zaguia
234634824,3047206,lb,Zagounso
234634901,3047207,lb,Zagadougoukou
234635055,3047209,lb,Youwarou
234635286,3047212,lb,Youri
234635594,3047216,lb,Youna
234635825,3047219,lb,Yougopiri
234635979,3047221,lb,Youdiou
234636056,3047222,lb,Yorosso
234636595,3047229,lb,Yoro
234636672,3047230,lb,Yorbou
234637442,3047240,lb,Yoko
234638289,3047251,lb,Yerere
234639521,3047267,lb,Yelimane
234639598,3047268,lb,Yelekela
234639675,3047269,lb,Yelekebougou
234639752,3047270,lb,Yeleba
234640599,3047281,lb,Yasso
234640676,3047282,lb,Ya Selam
234641292,3047290,lb,Yangasso
234641369,3047291,lb,Yanfolila
234642139,3047301,lb,Yahiro
234642755,3047309,lb,Yaela
234643063,3047313,lb,Yadianga
234643294,3047316,lb,Woura
234643525,3047319,lb,Woula
234643679,3047321,lb,Ouossa
234644449,3047331,lb,Ouondiona
234644526,3047332,lb,Womon
234644988,3047338,lb,Ouolokorodji
234645142,3047340,lb,Ouolokoro
234645450,3047344,lb,Wolofina
234645527,3047345,lb,Ouolodiedo
234645604,3047346,lb,Wolobougou
234645681,3047347,lb,Wolobougou
234645835,3047349,lb,Wolifatadi
234645989,3047351,lb,Wolenguena II
234646374,3047356,lb,Wobana
234646451,3047357,lb,Wiyebangou
234646528,3047358,lb,Wiyangana
234646605,3047359,lb,Winteri
234646990,3047364,lb,Weimel
234647529,3047371,lb,Werekela
234647683,3047373,lb,Ouereba
234648222,3047380,lb,Wondobougou
234648376,3047382,lb,Wema
234648453,3047383,lb,Welindiguila
234648530,3047384,lb,Welengara
234648684,3047386,lb,Gouenina
234648992,3047390,lb,Wawourou
234649069,3047391,lb,Wattarazo
234649146,3047392,lb,Watiali
234649223,3047393,lb,Wataga
234649300,3047394,lb,Wassoulou
234649454,3047396,lb,Wassemala
234649608,3047398,lb,Wasselou-Kounda
234649685,3047399,lb,Wassasso
234649762,3047400,lb,Wassara
234649839,3047401,lb,Wassangara
234649916,3047402,lb,Wassamadia
234650070,3047404,lb,Wassadiala
234650147,3047405,lb,Ouassada
234650378,3047408,lb,Ouarsala
234650532,3047410,lb,Waromata
234650686,3047412,lb,Werekebougou Tigangoni
234650763,3047413,lb,Wari
234650917,3047415,lb,Wankoroweli
234651071,3047417,lb,Ouarana
234651225,3047419,lb,Warabougou
234651302,3047420,lb,Wara
234651379,3047421,lb,Wara
234651456,3047422,lb,Wanteguele
234651610,3047424,lb,Waniekori
234651687,3047425,lb,Wanian
234652842,3047440,lb,Oualia
234653073,3047443,lb,Waliya
234653227,3047445,lb,Wari
234653304,3047446,lb,Welintiguila-Bamanan
234653689,3047451,lb,Waki
234654613,3047463,lb,Wadian
234655537,3047475,lb,Tyorona
234655691,3047477,lb,Tyongo
234655768,3047478,lb,Tyonboroko
234655845,3047479,lb,Tyon
234656307,3047485,lb,Tyi
234657308,3047498,lb,Tyenabougou
234657385,3047499,lb,Tyen
234658155,3047509,lb,Tyekoumela
234659233,3047523,lb,Trantimou
234659541,3047527,lb,Tottori
234660003,3047533,lb,Touroume
234660696,3047542,lb,Tourou
234661158,3047548,lb,Tourela
234661928,3047558,lb,Toupourla
234662467,3047565,lb,Tounkara
234663160,3047574,lb,Toundo
234663314,3047576,lb,Tounde
234663391,3047577,lb,Tounbounto
234663468,3047578,lb,Toumoundoto
234663853,3047583,lb,Tonya
234664007,3047585,lb,Tonya
234665162,3047600,lb,Toumofing
234665239,3047601,lb,Timbidiourome
234665624,3047606,lb,Toumbou
234666009,3047611,lb,Toumbidia
234666086,3047612,lb,Toumbabounkane
234666625,3047619,lb,Tomodian
234666856,3047622,lb,Touloula
234667318,3047628,lb,Toule
234667703,3047633,lb,Toukou
234667780,3047634,lb,Toukoto
234667934,3047636,lb,Toukoro
234668319,3047641,lb,Tougounte
234668473,3047643,lb,Tougouni
234668627,3047645,lb,Tougoume
234668704,3047646,lb,Togitsu
234668935,3047649,lb,Toufanzrot
234669089,3047651,lb,Toudou Kidinnga
234669397,3047655,lb,Touboundi
234669705,3047659,lb,Toubara
234669782,3047660,lb,Toubakoro
234669859,3047661,lb,Toubacoro
234670321,3047667,lb,Tota
234670475,3047669,lb,Ntoubana
234670860,3047674,lb,Touala
234671014,3047676,lb,Toun
234671245,3047679,lb,Tosma
234672015,3047689,lb,Torokorobougou
234672092,3047690,lb,Toukoroba
234673247,3047705,lb,Tori
234673786,3047712,lb,Tonko
234673940,3047714,lb,Tonka
234674017,3047715,lb,Tonghae
234674710,3047724,lb,Tonga
234675711,3047737,lb,Tondidji
234675788,3047738,lb,Tondibi
234676019,3047741,lb,Tondoumba
234676712,3047750,lb,Tomona Kakolo
234677020,3047754,lb,Tominian
234677405,3047759,lb,Timbuktu
234677867,3047765,lb,Tombala
234678098,3047768,lb,Tomba
234678637,3047775,lb,Tola
234678791,3047777,lb,Toikana
234679099,3047781,lb,Toguel Kole
234679253,3047783,lb,Togou
234679484,3047786,lb,Togona
234679561,3047787,lb,Togofo Bali
234680100,3047794,lb,Toga
234680254,3047796,lb,Tofota
234680562,3047800,lb,Toba
234680870,3047804,lb,Tle
234681332,3047810,lb,Titolaouin
234681409,3047811,lb,Titokouroudji
234681486,3047812,lb,Titilane
234682025,3047819,lb,Tisselibougou
234682795,3047829,lb,Tira
234682949,3047831,lb,Tiourebougou
234683103,3047833,lb,Tiouga
234683334,3047836,lb,Tioribougou
234683719,3047841,lb,Tiongui
234684643,3047853,lb,Tiogola
234684720,3047854,lb,Dionfara
234684951,3047857,lb,Tintiri
234685644,3047866,lb,Tintokan
234685798,3047868,lb,Tintila
234685875,3047869,lb,Tinntila
234686029,3047871,lb,Tintiba
234686799,3047881,lb,Tinkere
234686953,3047883,lb,Tini
234687030,3047884,lb,Tinguele
234687338,3047888,lb,Tingole
234687646,3047892,lb,Tinel
234687954,3047896,lb,Tindirma
234688262,3047900,lb,Tinan
234689186,3047912,lb,Timissila
234689263,3047913,lb,Timissa
234689956,3047922,lb,Tima
234690187,3047925,lb,Tileya
234690341,3047927,lb,Tilemsi
234690572,3047930,lb,Tilde Niasso Niasso-Sebe
234690726,3047932,lb,Tilanabougou
234691111,3047937,lb,Tiguine
234691419,3047941,lb,Tigui
234691496,3047942,lb,Tigana
234691727,3047945,lb,Tiffe
234691804,3047946,lb,Tietiguila
234692343,3047953,lb,Tierikala
234692882,3047960,lb,Tienra
234693421,3047967,lb,Tienko
234693575,3047969,lb,Tienfalon
234694576,3047982,lb,Tiela
234694884,3047986,lb,Tiekourabougou
234695654,3047996,lb,Tiehel Bori
234696347,3048005,lb,Tiebe
234696886,3048012,lb,Tiboki
234697117,3048015,lb,Tibiri
234697502,3048020,lb,Tibi
234697887,3048025,lb,Tiarabougou
234697964,3048026,lb,Tianlo
234698272,3048030,lb,Tianassogou
234698888,3048038,lb,Tiegala
234700274,3048056,lb,Tessalit
234700736,3048062,lb,Terekourou
234701429,3048071,lb,Tenedie Diarra
234701506,3048072,lb,Teninba
234701583,3048073,lb,Tenguere
234701891,3048077,lb,Den'enchofu
234701968,3048078,lb,Teneni
234702122,3048080,lb,Tenembougou
234702430,3048084,lb,Tenemabougou
234702507,3048085,lb,Tene
234702661,3048087,lb,Tene
234702892,3048090,lb,Tenda
234703200,3048094,lb,Temikoro
234703277,3048095,lb,Temera
234703431,3048097,lb,Temmba
234703662,3048100,lb,Teleladji
234703739,3048101,lb,Talikoundianola
234703970,3048104,lb,Tele
234704201,3048107,lb,Tela
234704586,3048112,lb,Teguere
234704663,3048113,lb,Teguere
234705202,3048120,lb,Tedje
234705587,3048125,lb,Tchirobaria
234705972,3048130,lb,Taya Malea
234707204,3048146,lb,Taskaye
234707358,3048148,lb,Tarouya
234707897,3048155,lb,Tarasso
234708205,3048159,lb,Tarakoura
234708513,3048163,lb,Taraba
234708821,3048167,lb,Tapirela
234709206,3048172,lb,Taoudeni
234709360,3048174,lb,Tao
234710284,3048186,lb,Tanio
234710438,3048188,lb,Taniebougou
234710900,3048194,lb,Tango
234711901,3048207,lb,Tanerejie
234712902,3048220,lb,Tanba
234713210,3048224,lb,Tanabougou
234713980,3048234,lb,Tambassoune
234714211,3048237,lb,Tambaga
234714596,3048242,lb,Tamba-Elennda
234714827,3048245,lb,Tamaro
234715135,3048249,lb,Tamara
234715212,3048250,lb,Tamala
234715443,3048253,lb,Tamani
234716136,3048262,lb,Talo-Bamanan
234716906,3048272,lb,Takouti
234717137,3048275,lb,Takoutala
234717368,3048278,lb,Takoutala
234717599,3048281,lb,Takoutala
234717676,3048282,lb,Takoutala
234717830,3048284,lb,Takoutala
234718061,3048287,lb,Takoumala
234718138,3048288,lb,Takoni
234718369,3048291,lb,Takaoka
234718523,3048293,lb,Takanene
234719986,3048312,lb,Tafalan
234720679,3048321,lb,Tabi
234720987,3048325,lb,Tabakoto
234721064,3048326,lb,Tabakoto
234721988,3048338,lb,Tababalie Badiame
234722912,3048350,lb,Soye
234723374,3048356,lb,Soutrabougou
234723451,3048357,lb,Soutourabougou
234723528,3048358,lb,Soutourabougou
234723682,3048360,lb,Soutourabougou
234724529,3048371,lb,Souroukoudingue
