id,city_id,language_key,name
237123069,3079521,is,Nawngpat
237123223,3079523,is,Nawng-pat
237123377,3079525,is,Nawngpat
237123454,3079526,is,Nawngpang
237123608,3079528,is,Nawngpan
237123839,3079531,is,Nawng-pa-keng
237123916,3079532,is,Nawngpa-kawng
237123993,3079533,is,Nawngpak
237124070,3079534,is,Nawngpak
237124378,3079538,is,Nawngnoi
237124763,3079543,is,Nawngngun
237124840,3079544,is,Nawngngun
237124917,3079545,is,Nawngngu
237124994,3079546,is,Nawng-naun
237125071,3079547,is,Nawngnang
237125148,3079548,is,Nawngnam
237125456,3079552,is,Nawngna Ga
237125610,3079554,is,Nawng-na
237125764,3079556,is,Nawngmup
237125841,3079557,is,Nawngmun
237126149,3079561,is,Nawngmun
237126303,3079563,is,Nawngmu
237126380,3079564,is,Nawngmot
237126534,3079566,is,Nawngmong
237126611,3079567,is,Nawngmong
237126688,3079568,is,Nawngmong
237126842,3079570,is,Nawngmong
237126919,3079571,is,Nawng Mok
237126996,3079572,is,Nawngmo
237127458,3079578,is,Nawngmo
237127535,3079579,is,Nawngmo
237127612,3079580,is,Nawngmo
237127843,3079583,is,Nawngmo
237127997,3079585,is,Nawngmawn
237128151,3079587,is,Nawngmawn
237128228,3079588,is,Nawngmawn
237128382,3079590,is,Nawngmawn
237128613,3079593,is,Nawng-man
237128690,3079594,is,Nawngmakmo
237129075,3079599,is,Nawnglou
237129229,3079601,is,Nawnglong
237129306,3079602,is,Nawnglong
237129537,3079605,is,Nawnglong
237129691,3079607,is,Nawnglong
237129845,3079609,is,Nawnglom
237129999,3079611,is,Nawng Lom
237130153,3079613,is,Nawnglok
237130230,3079614,is,Nawng Lio
237130307,3079615,is,Nawnglin
237130384,3079616,is,Nawnglik
237130538,3079618,is,Nawngleng
237130692,3079620,is,Nawngleng
237130769,3079621,is,Nawngleng
237130846,3079622,is,Nawngleng
237131000,3079624,is,Nawngleng
237131077,3079625,is,Nawng-leng
237131385,3079629,is,Nawng Leng
237131462,3079630,is,Nawngleng
237131539,3079631,is,Nawngleng
237131616,3079632,is,Nawngleng
237131770,3079634,is,Nawngleng
237131847,3079635,is,Nawng Leng
237132001,3079637,is,Nawngleng
237132463,3079643,is,Nawngleng
237132540,3079644,is,Nawngleng
237132617,3079645,is,Nawnglen
237133002,3079650,is,Nawnglat
237133079,3079651,is,Nawnglang
237133156,3079652,is,Nawngkyun
237133233,3079653,is,Nawngkyat
237133310,3079654,is,Nawngkyang
237133464,3079656,is,Nawngkwang
237133541,3079657,is,Nawngkwang
237133695,3079659,is,Nawngkut
237133926,3079662,is,Nawngkun
237134003,3079663,is,Nawngkong
237134080,3079664,is,Nawngko
237134465,3079669,is,Nawngkeng
237134542,3079670,is,Nawngke
237134619,3079671,is,Nawngkawnggyi
237134696,3079672,is,Nawngkawng
237135004,3079676,is,Nawngkaw
237135158,3079678,is,Nawngkaw
237135389,3079681,is,Nawngkap
237135697,3079685,is,Nawngkaiyawn
237135851,3079687,is,Nawngka
237136005,3079689,is,Nawnghwi
237136390,3079694,is,Nawnghwai
237136544,3079696,is,Nawnghto
237136698,3079698,is,Nawnghsio
237136775,3079699,is,Nawnghsim
237136852,3079700,is,Nawnghseng
237136929,3079701,is,Nawng-hseng
237137083,3079703,is,Nawng-hsawm
237137160,3079704,is,Nawnghsau
237137699,3079711,is,Nawnghsampu
237137930,3079714,is,Nawnghsai
237138469,3079721,is,Nawng-hpau
237138623,3079723,is,Nawnghpa-lang
237138700,3079724,is,Nawnghpakpom
237138854,3079726,is,Nawnghpakkat
237138931,3079727,is,Nawnghpak-an
237139008,3079728,is,Nawnghpai
237139162,3079730,is,Nawnghpa
237139239,3079731,is,Nawnghpa
237139316,3079732,is,Nawnghok
237139393,3079733,is,Nawnghoi
237139470,3079734,is,Nawnghoi
237139624,3079736,is,Nawnghkun
237140471,3079747,is,Nawnghkio
237140779,3079751,is,Nawnghkio
237140856,3079752,is,Nawnghkio
237141010,3079754,is,Nawnghkio
237141087,3079755,is,Nawnghkio
237141164,3079756,is,Nawnghkio
237141241,3079757,is,Nawnghkio
237141318,3079758,is,Nawnghkio
237141472,3079760,is,Nawng-hket
237141626,3079762,is,Nawnghkawk
237141780,3079764,is,Nawnghkan
237141857,3079765,is,Nawnghkan
237141934,3079766,is,Nawng Hkam
237142011,3079767,is,Nawnghkam
237142242,3079770,is,Nawnghkam
237142319,3079771,is,Nawnghkam
237142396,3079772,is,Nawnghkam
237142473,3079773,is,Nawng-hkam
237142704,3079776,is,Nawng-hkam
237143166,3079782,is,Nawnghka
237143243,3079783,is,Nawnghka
237143705,3079789,is,Nawnghi
237144013,3079793,is,Nawng-hen-yawn
237144090,3079794,is,Nawngheng
237144167,3079795,is,Nawngheng
237144321,3079797,is,Nawngheng
237144706,3079802,is,Nawngheng
237144860,3079804,is,Nawngheng
237145014,3079806,is,Nawnghena
237145322,3079810,is,Nawnghang
237145553,3079813,is,Nawnge
237145784,3079816,is,Nawngchio
237145861,3079817,is,Nawngchio
237146015,3079819,is,Nawngcheo
237146246,3079822,is,Nawngbo
237146400,3079824,is,Nawngbaw
