id,city_id,language_key,name
239854834,3114998,sw,Hpa Yar Oke
239855065,3115001,sw,hpwayrar
239855142,3115002,sw,Ba Yaung Baw Li Para
239855450,3115006,sw,Sa Par Htar
239855527,3115007,sw,Sa Hpo Thar
239855604,3115008,sw,\N
239856528,3115020,sw,Doe Tan
239856605,3115021,sw,Thar Yar Taw
239856682,3115022,sw,Myauk
239857067,3115027,sw,Baw Li
239857144,3115028,sw,La Mone Taing
239857452,3115032,sw,Toe Cheit Ywar
239857606,3115034,sw,Pyein Chaung
239857837,3115037,sw,Kyauk Hla Pyin
239857914,3115038,sw,Tha Pyay Kan
239858068,3115040,sw,Aung Zan Daing Net
239858145,3115041,sw,Eneo la Kar Yar
239858530,3115046,sw,Sin Oe Chaing
239858684,3115048,sw,Htan Shauk Khan
239858761,3115049,sw,Auk Thar Kan
239858915,3115051,sw,Kone Tan
239858992,3115052,sw,Tha Pyay Taw
239859146,3115054,sw,Keti Aung
239859300,3115056,sw,Aung Pa
239859531,3115059,sw,Cheik Chaung
239859685,3115061,sw,Maws Taw Hpi
239859839,3115063,sw,Tha Zin Taw
239859916,3115064,sw,gonenarr
239859993,3115065,sw,aamyettaung
239860070,3115066,sw,Wet Kha Mauk
239860224,3115068,sw,Tha Peik Taung
239860378,3115070,sw,Dhambi Shey Myo
239860609,3115073,sw,Laung Gyun
239860686,3115074,sw,Lay Yin Pyan Kwin
239861302,3115082,sw,Zin Ga Lar Ni Kone
239861379,3115083,sw,Yae Chan Pyin
239861456,3115084,sw,Chaung Pauk
239861533,3115085,sw,Ywet Nyoe Taung
239861610,3115086,sw,myawwtaung
239861687,3115087,sw,kanyaintaw
239861764,3115088,sw,lamutapain
239861918,3115090,sw,Gyin Chaung
239861995,3115091,sw,Kone
239862072,3115092,sw,Ta Man Thar Ah Shey
239862149,3115093,sw,Taung Min Ku Lar
239862226,3115094,sw,Pyin Shey Ah Shey
239862303,3115095,sw,Thar Zi
239862380,3115096,sw,Sin Baw Kaing
239862457,3115097,sw,Kyaung Zar Hpyu
239862534,3115098,sw,Mwi Thee
239862611,3115099,sw,dayle
239862688,3115100,sw,Sin Thay Pyin
239862765,3115101,sw,pyainetaung
239862919,3115103,sw,Kan Da
239862996,3115104,sw,Thi Ho Kyun
239863535,3115111,sw,Ee Thei
239863612,3115112,sw,Nyumba Ya Wageni Gyin Myaing
239863689,3115113,sw,Ya Ba
239863766,3115114,sw,Wacha Pyat
239863843,3115115,sw,Kan Kuwa
239863997,3115117,sw,Pa Nyaung Pin Gyi
239864074,3115118,sw,Nan Yar Kone
239864151,3115119,sw,Ka Nyin Tan
239864305,3115121,sw,Daing Net Pyin
239864382,3115122,sw,kyaarnyopyin
239864613,3115125,sw,Har Bi Katikati
239864690,3115126,sw,Shwe Pyi Thar
239864844,3115128,sw,Din Gar
239864998,3115130,sw,Ohn Kyun
239865075,3115131,sw,Ngar Yauk Kaing
239865152,3115132,sw,Kyauk Yan Thar Si
239865383,3115135,sw,Thar Kyaw
239865460,3115136,sw,karde
239865537,3115137,sw,Par Chay
239865691,3115139,sw,Kha Pway
239865922,3115142,sw,Kyun Thar Yar
239865999,3115143,sw,Seti ya Bati
239866153,3115145,sw,Thin Ga Net
239866538,3115150,sw,Khaung Ta Kar
239866615,3115151,sw,ngatapaungg
239866923,3115155,sw,Thet Pyay Kya
239867077,3115157,sw,Tha Pyay Taw
239867231,3115159,sw,Maung Thar Kone
239867385,3115161,sw,palaung
239867462,3115162,sw,mawrwar
239867539,3115163,sw,Pon Sar
239867693,3115165,sw,Doe Wai Chaung
239868078,3115170,sw,Shwe Kyin Pyin
239868155,3115171,sw,Nay Pu Khan
