id,city_id,language_key,name
240106461,3118266,rw,Zouerat
240106538,3118267,rw,Zouerat
240106769,3118270,rw,ZneiguiFoulbe
240106846,3118271,rw,ZneiguiElbidhane
240107385,3118278,rw,YenguiLegsar
240107539,3118280,rw,Woumpou
240107616,3118281,rw,Vindou Goumi
240107693,3118282,rw,Vending
240107770,3118283,rw,Vindi Boke
240108078,3118287,rw,WindeHaire
240108232,3118289,rw,Vinde Aboidi
240108309,3118290,rw,WendouSeno
240108463,3118292,rw,Veli Diare
240108540,3118293,rw,Treid
240108617,3118294,rw,Tourime Yaka
240108925,3118298,rw,TewmiyattLaghlal
240109233,3118302,rw,Toulel
240109387,3118304,rw,Toulde Boussobe
240109695,3118308,rw,Touil
240110003,3118312,rw,Tweyil Ivoulane
240110157,3118314,rw,Tjadi
240110234,3118315,rw,Tyoyekit
240110542,3118319,rw,Tingal
240110773,3118322,rw,Tembedgha
240110927,3118324,rw,Tikattane
240111081,3118326,rw,Tienidebe
240111235,3118328,rw,Tidjikja
240111312,3118329,rw,Tichit
240111389,3118330,rw,Tichit
240111543,3118332,rw,Tichilit el Hradem
240111620,3118333,rw,Tichilit el Hradem
240111697,3118334,rw,Tichilit Ahel Baba
240111851,3118336,rw,TounguelNour
240111928,3118337,rw,Tiali
240112159,3118340,rw,Tettiane
240112313,3118342,rw,Teichetaya
240112390,3118343,rw,Tessem
240112621,3118346,rw,Tentane
240112698,3118347,rw,Tejekent
240112929,3118350,rw,Tchera Oulad El Faghi
240113006,3118351,rw,Idcheiritt Idoublal
240113083,3118352,rw,Tayaret
240113160,3118353,rw,Tata
240113237,3118354,rw,TachottBotokholo
240113314,3118355,rw,Tachott Brana
240113391,3118356,rw,TarenguettIdeichouf
240113468,3118357,rw,Taringuel
240113699,3118360,rw,Tamchekett
240113776,3118361,rw,Talhaya
240113853,3118362,rw,Talhaya
240113930,3118363,rw,\N
240114007,3118364,rw,Tagoutalla
240114084,3118365,rw,Taizent
240114315,3118368,rw,Souvi
240114392,3118369,rw,Souvi
240114469,3118370,rw,Sett
240114546,3118371,rw,Shyira
240114854,3118375,rw,Cive
240115624,3118385,rw,Selam
240115701,3118386,rw,Selibaby
240115855,3118388,rw,HseyAmar
240115932,3118389,rw,SedElma
240116394,3118395,rw,Sangue-Dieri
240117318,3118407,rw,Sagne
240117472,3118409,rw,Sabbar
240117857,3118414,rw,Rosso
240117934,3118415,rw,Rindiaw
240118011,3118416,rw,Elghabra
240118088,3118417,rw,Rgueiba
240118242,3118419,rw,Ghaifara
240118473,3118422,rw,Lekhcheb
240118858,3118427,rw,Ouska
240119089,3118430,rw,Ouro Aire
240119397,3118434,rw,Ouroboki
240119551,3118436,rw,Ourguia
240119782,3118439,rw,Wole
240119859,3118440,rw,Oumoussoye
240119936,3118441,rw,Oumm el Khezz
240120398,3118447,rw,Ould Mboni Edebay
240120629,3118450,rw,\N
240120706,3118451,rw,OuldEramiDeux
240120783,3118452,rw,Ould Moilid Ehel Tweiri
240120937,3118454,rw,Ould Boudhrae
240121168,3118457,rw,Oulad Talha
240121245,3118458,rw,Oulad Aoueissi
240121399,3118460,rw,Oujeft
240121707,3118464,rw,IdeibniWoidAmour
240121938,3118467,rw,Awechkeche
240122015,3118468,rw,OudeyLemguil
240122092,3118469,rw,Oudei Talaba
240122169,3118470,rw,Oudei Lebhanis
240122246,3118471,rw,Oudey Chrak Idewache
240122323,3118472,rw,Oudei
240122400,3118473,rw,Oualata
