id,city_id,language_key,name
240697099,3125937,hy,Վիրջինիա
240697176,3125938,hy,Վիլլե Վալիո
240697253,3125939,hy,Վիլլե դ'Ապրայ
240697407,3125941,hy,\N
240697484,3125942,hy,Թունզինի
240697638,3125944,hy,Վալետտա
240697715,3125945,hy,Վածոաս
240697869,3125947,hy,Ռեյունիոն Մաուրել
240697946,3125948,hy,\N
240698023,3125949,hy,Տրոու-աուխ-Բիծհես
240698177,3125951,hy,Տրիոլետ
240698254,3125952,hy,Տրիո
240698408,3125954,hy,Տհե Վալե
240698562,3125956,hy,Տերրե Րոուգե
240698639,3125957,hy,Թազարին
240698716,3125958,hy,Սուրինամ
240698793,3125959,hy,Սուասե
240698870,3125960,hy,Սուիլակ
240698947,3125961,hy,Սոուֆֆլեուր
240699255,3125965,hy,Սեւաստոպոլ
240699717,3125971,hy,Սեն Պիեռ
240699871,3125973,hy,Սաինտ Ձուլիեն
240699948,3125974,hy,Սաինտ Հուբերտ
240700333,3125979,hy,Սաինտ Աուբին
240700487,3125981,hy,Մործելլեմոնտ Սաինտ Անդրե
240700564,3125982,hy,Րուիսսեաու Ծրեոլե
240700718,3125984,hy,\N
240700795,3125985,hy,Րոսե Բելլե
240700872,3125986,hy,Րոծհե Տերրե
240700949,3125987,hy,Րոծհես Նոիրե
240701026,3125988,hy,Գրանդե Րիվիերե Նոիրե
240701103,3125989,hy,Րիվիերե դու Րեմպարտ
240701180,3125990,hy,Րիվիերե դու Պոստե
240701257,3125991,hy,Ռիվիեր-Դրագոն
240701334,3125992,hy,Րիվիերե դես Անգուիլլես
240701411,3125993,hy,Րիվիերե դես Ծրեոլես
240701488,3125994,hy,Ռիվիեր Բապտիստ
240701565,3125995,hy,Րիպաիլլես
240701642,3125996,hy,Րիծհ Ֆունդ
240701719,3125997,hy,Րիծհետերրե
240701796,3125998,hy,Րիծհե են Եաու
240701950,3126000,hy,Րեունիոն
240702104,3126002,hy,Վիկտորիա թագուհի
240702181,3126003,hy,\N
240702258,3126004,hy,\N
240702335,3126005,hy,\N
240702412,3126006,hy,Պրովիդենս
240702489,3126007,hy,\N
240702566,3126008,hy,Փոստ դե Ֆլակ
240702643,3126009,hy,Պորտ Սենտ Ռիտա
240702720,3126010,hy,Պորտ Լուի
240702797,3126011,hy,Պոնտ Պրասլին
240702874,3126012,hy,Պոնտ Ծոլվիլլե
240703105,3126015,hy,Պլասան
240703182,3126016,hy,Պլաինե Մագնիեն
240703259,3126017,hy,Պլաինե դես Պապայես
240703490,3126020,hy,Պետիտ Րաֆֆրայ
240703721,3126023,hy,Պետիտե Րիվիերե
240703798,3126024,hy,Պետիտե Ծասե Նոյալե
240703952,3126026,hy,Պամպլեմոուսսես
240704029,3126027,hy,Պալմյրե
240704183,3126029,hy,Պաիլլես
240704260,3126030,hy,Ոլիվիա
240704337,3126031,hy,Նոուվելլե Ֆրանծե
240704414,3126032,hy,Նոտր Դամ
240704491,3126033,hy,Նեւ Գրովե
240704568,3126034,hy,Մոունտ Որյ
240704645,3126035,hy,Մոն Վալոն
240704722,3126036,hy,Պիտոն
240704876,3126038,hy,Մոնբլան
240704953,3126039,hy,Մոնտագնե Բլանծհե
240705030,3126040,hy,Մոն Րոծհեր
240705107,3126041,hy,Մոն Պիտոն
240705415,3126045,hy,Մոկա
240705492,3126046,hy,Մինիսի
240705569,3126047,hy,Միդլանդս
240705723,3126049,hy,Մելրոուզ
240705954,3126052,hy,Մարե Տաբած
240706108,3126054,hy,Մարե դ'Ալբերտ
240706262,3126056,hy,Մահեբոուրգ
240706339,3126057,hy,Լ'ՈՒնիտե
240706416,3126058,hy,Լ'ՈՒնիոն
240706570,3126060,hy,Լուչոն
240706647,3126061,hy,Լոնգ Մոունտաին
240706801,3126063,hy,Լե Վալ
240706955,3126065,hy,Լեսուր
240707032,3126066,hy,Լ'Եսծալիեր
240707186,3126068,hy,Ռեդուիտ
240707417,3126071,hy,Լե Մարրես
240707725,3126075,hy,Լա Ռոզա
240707802,3126076,hy,Լա Րամպե - Լե Մոիրտ
240707879,3126077,hy,Լա Նոուրրիծե
240707956,3126078,hy,Լա Մորուե
240708264,3126082,hy,Լա Լյուսի
240708341,3126083,hy,Լալմատիե
240708495,3126085,hy,\N
240708572,3126086,hy,Լա Դագոտիերե
240709265,3126095,hy,Իլե դ'Ամբրե
240709342,3126096,hy,Հերվե
240709419,3126097,hy,Էրմիտաժ
240709496,3126098,hy,Էրմիտաժ
240709727,3126101,hy,Հելվետիա
240709881,3126103,hy,\N
240709958,3126104,hy,Գրոս Բոիս
240710112,3126106,hy,Գրանդ Սաբլե
240710189,3126107,hy,Գրանդ Րիվեր Նորտհ Ւեստ
240710343,3126109,hy,Գրանդե Րիվիերե Սուդ Եստ
240710420,3126110,hy,\N
240710497,3126111,hy,Գրանդ Գաուբե
240710651,3126113,hy,Գրանդ Բաիե
240710728,3126114,hy,Գրանդ Բոիս
240710805,3126115,hy,Գոոդլանդս
240710959,3126117,hy,Ֆորբախ
240711036,3126118,hy,Ֆոնդ դու Սած
240711190,3126120,hy,Ֆլիծ-են-Ֆլած
240711267,3126121,hy,Եսպերանծե Տրեբուծհետ
240711729,3126127,hy,Ծուրեպիպե
240711806,3126128,hy,Ծրևե Ծոեուր
240712114,3126132,hy,Կոնստանցիա
240712191,3126133,hy,Ծլեմենծիա
240712345,3126135,hy,Ծիրծոնստանծե
240712499,3126137,hy,Ծհեմին Գրենիեր
240712576,3126138,hy,Ծհեբել
240712653,3126139,hy,Շանթենե
240712730,3126140,hy,Ծհամոունյ
240712807,3126141,hy,Ծհամարել
240712884,3126142,hy,\N
240713038,3126144,hy,Կազելա
240713115,3126145,hy,Ծասծավելլե
240713192,3126146,hy,Ծապ Մալհեուրեուխ
240713269,3126147,hy,Ծամպ Տհորել
240713577,3126151,hy,Ծամպ Դիաբլե
240713654,3126152,hy,\N
240713885,3126155,hy,Կաշետ
240713962,3126156,hy,Բրիսեե Վերդիերե
240714347,3126161,hy,Բոն Ծոուրագե
240714501,3126163,hy,Բոն Ածծուեիլ
240714578,3126164,hy,Բոիս Սեծ
240714809,3126167,hy,Բոիս Մանգուե
240714963,3126169,hy,Բոիս դ'Ոիսեաուխ
240715117,3126171,hy,Բոիս դես Ամոուրետտես
240715194,3126172,hy,Բուա Շերի
240715271,3126173,hy,Բենարես
240715425,3126175,hy,Բել-Ոմբրե
240715579,3126177,hy,Բել-Վու Օդաչու
240715656,3126178,hy,Բելլե Վուե Հարել
240715810,3126180,hy,Բել-Վյու
240715887,3126181,hy,Բելլե Վուե Մաուրել
240716041,3126183,hy,Բելլե Րոսե
240716272,3126186,hy,Բել Ետանգ
240716426,3126188,hy,Գրանդ Բել Էյր
240716503,3126189,hy,Բել Աիր Րիվիերե Սեծհե
240716580,3126190,hy,Բեաու Վալլոն
240716657,3126191,hy,Բեաու Սիտե
240716734,3126192,hy,Բեաու Սեձոուր
240716811,3126193,hy,Բեաու Պլան
240716965,3126195,hy,Բեաու Ֆոնդ
240717119,3126197,hy,Բեաու Ծհամպ
240717196,3126198,hy,Բո Բուա
240717273,3126199,hy,Բեաու Բասսին-Րոսե Հիլլ
240717427,3126201,hy,Ռոբինսոն
240717658,3126204,hy,Բամբոուս
240717735,3126205,hy,Բաիե Մաննիոծ
240717889,3126207,hy,Բագատելլե
240718043,3126209,hy,Արգյ
240718120,3126210,hy,Ամիտիե
240718197,3126211,hy,Ամիտիե
240718428,3126214,hy,Ալբիոն
240718505,3126215,hy,Լավենտուրե
240718582,3126216,hy,Բաիե դու Ծապ
240718659,3126217,hy,Մոն-Տրեզոր - Մոն Անապատ
240718736,3126218,hy,Ծլունյ
240719044,3126222,hy,Ծամպ դես Եմբրևադես
240719198,3126224,hy,Պրուդր դ ' կամ Համլետ
240719275,3126225,hy,Ծոտտագե
240719352,3126226,hy,Գերմաին
240719506,3126228,hy,Մամզելլե Ձեաննե
240719583,3126229,hy,Պավիլլոն
240719814,3126232,hy,Պուենտ-Օ-Պիմենս
240719968,3126234,hy,Բաիե-դու-Տոմբեաու
240720045,3126235,hy,Բոիս Պիգնոլետ
240720199,3126237,hy,Րուիսսեաու Րոսե
240720353,3126239,hy,Ծոնգոմահ
240720507,3126241,hy,Ի-Լոտ
240720584,3126242,hy,Դ'Եպինայ
240720661,3126243,hy,Պետիտե Ձուլիե
240720892,3126246,hy,Բուա Ժակոտ
240720969,3126247,hy,Ամաուրյ
240721046,3126248,hy,Պլաինես դես Րոծհես
240721508,3126254,hy,\N
240721585,3126255,hy,Մարե Լա Ծհաուխ
240721739,3126257,hy,Չորս կոկոս
240721893,3126259,hy,Ծամպ Իտհիեր
240722047,3126261,hy,Սուրբ Ռեմի
240722201,3126263,hy,Լա Ծոմմունե
240722355,3126265,hy,Եծրոիգնարդ
240722432,3126266,hy,Պետիտ Բոիս
240722894,3126272,hy,Ծլավետ
240723125,3126275,hy,\N
240723202,3126276,hy,\N
240723356,3126278,hy,Գրանդ դանս Ֆոնդ
240723664,3126282,hy,Բամբոուս Վիրիեուխ
240723972,3126286,hy,Ճամբար Ջարդին
240724049,3126287,hy,Պետիտ Բել Աիր
240724280,3126290,hy,Քեմփ Քերոլ
240724357,3126291,hy,\N
240724511,3126293,hy,Լա Սաուրդին
240724588,3126294,hy,ՈՒնիոն Պարկ
240724742,3126296,hy,Մարիե Ձեանիե
240724896,3126298,hy,Սաինտ Հիլաիրե
240724973,3126299,hy,Սենտ Մադլեն
240725050,3126300,hy,Բրիտաննիա
240725127,3126301,hy,Սաինտ Ավոլդ
240725204,3126302,hy,Ծամպ Բերտհաուդ
240725358,3126304,hy,Բո Բուա
240725435,3126305,hy,Տյածկ
240725512,3126306,hy,Տերրածինե
240725666,3126308,hy,Պոմպոննետտե
240725820,3126310,hy,Սաինտ Ֆելիխ
240726128,3126314,hy,Լա Գաուլետտե
240726205,3126315,hy,Լա Ֆլորա
240726282,3126316,hy,Բանանես
240726359,3126317,hy,Ֆորեստ Սիդե
240726590,3126320,hy,Մեսնիլ
240726821,3126323,hy,\N
240726898,3126324,hy,Պետիտ Ծամպ
240726975,3126325,hy,Ծամպ Ծավալ
240727283,3126329,hy,Գլեն Պարկ
240727437,3126331,hy,Լես Ծասերնես
240727514,3126332,hy,Ծարրեաու Լա Լիանե
240727591,3126333,hy,Լա Սոուրծե
240727745,3126335,hy,Եբենե Ծիտյ
240728438,3126344,hy,Գրոս Ծաիլլոուխ
240728515,3126345,hy,Մելոտտե
240728669,3126347,hy,Մապոու
240728746,3126348,hy,Նոուվելլե Դեծոուվերտե
