id,city_id,language_key,name
241357819,3134518,cs,Paso Salinas
241358050,3134521,cs,El Estero
241358204,3134523,cs,Benito Juarez
241358281,3134524,cs,Maclovio Herrera
241358358,3134525,cs,Cervantes
241358435,3134526,cs,Tres de Mayo
241358512,3134527,cs,La Colonia
241358589,3134528,cs,El Fuerte
241358666,3134529,cs,Mata del Abra
241358743,3134530,cs,Vuelta de las Yeguas
241358820,3134531,cs,Esteros
241358974,3134533,cs,Cuauhtemoc
241359590,3134541,cs,Paso Hondo
241359667,3134542,cs,La Azufrosa
241359744,3134543,cs,Aureliano Caballero
241359821,3134544,cs,El Carrizo de Opichan
241359898,3134545,cs,El Nacimiento
241360052,3134547,cs,El Lucero
241360129,3134548,cs,Higinio Tanguma
241360206,3134549,cs,Francisco Madero
241360283,3134550,cs,Francisco I. Madero
241360360,3134551,cs,El Carrizal Segundo
241360899,3134558,cs,La Reforma
241360976,3134559,cs,La Gloria
241361053,3134560,cs,Lopez Rayon
241361130,3134561,cs,Adolfo Ruiz Cortines
241361207,3134562,cs,Campo Verde
241361284,3134563,cs,Campo Nuevo
241361361,3134564,cs,Santa Fe
241361438,3134565,cs,Santa Fé
241361515,3134566,cs,Guadalupe Victoria
241361669,3134568,cs,Gonzalez
241361746,3134569,cs,Las Aguilas del Bernal
241361900,3134571,cs,Graciano Sanchez
241361977,3134572,cs,Francisco I. Madero
241362054,3134573,cs,Tantoyuquita
241362131,3134574,cs,Camotero Numero Dos
241362362,3134577,cs,Nueva Apolonia
241362439,3134578,cs,Los Aztecas
241362516,3134579,cs,Nuevo Tantoan
241362593,3134580,cs,Santa Maria Zoquitlán
241362670,3134581,cs,Tantoan
241362747,3134582,cs,El Triunfo Numero Uno
241363209,3134588,cs,Santa Clara Numero Dos
241363286,3134589,cs,El Refugio
241363363,3134590,cs,Las Animas
241363440,3134591,cs,Triunfo Numero Dos
241363517,3134592,cs,Felipe Angeles
241363594,3134593,cs,Celaya
241363748,3134595,cs,Venustiano Carranza Uno
241363825,3134596,cs,José María Morelos a Pavón
241363902,3134597,cs,José Maria Morelos
241364133,3134600,cs,Gustavo A. Madero
241364210,3134601,cs,Atizapan de Zaragoza
241364287,3134602,cs,Venustiano Carranza
241364364,3134603,cs,Nicolas Bravo
241364441,3134604,cs,Mezcala
241364518,3134605,cs,Primero de Mayo
241364595,3134606,cs,Primero de Mayo
241364749,3134608,cs,Melchor Ocampo (El Trébol)
241364826,3134609,cs,Aguilas de la Victoria
241364903,3134610,cs,La Vega
241364980,3134611,cs,Benito Juarez
241365057,3134612,cs,Emiliano Zapata
241365134,3134613,cs,Emiliano Zapata
241365211,3134614,cs,El Abra
241365288,3134615,cs,Salvador
241365365,3134616,cs,El Salvador
241365442,3134617,cs,Las Flores
241365596,3134619,cs,Praxedis Guerrero
241365673,3134620,cs,Mexico Libre
241365827,3134622,cs,El Sauz
241366289,3134628,cs,Cinco de Mayo
241366366,3134629,cs,Adolfo Lopez Mateos
241366443,3134630,cs,Benito Juarez
241366597,3134632,cs,Loma Alta
241366674,3134633,cs,Heroes de Chapultepec
241366828,3134635,cs,Plan de Guadalupe
241366982,3134637,cs,Rancho Nuevo
241367059,3134638,cs,Paso Real de Morelos
241367444,3134643,cs,El Pensil
241367521,3134644,cs,Ricardo Flores Magon
241367675,3134646,cs,Las Flores
241367752,3134647,cs,Francisco Medrano
241367829,3134648,cs,Nicolas Bravo
241367906,3134649,cs,Las Canoas
241368522,3134657,cs,San Francisco (Nuevo Centro)
241368599,3134658,cs,Lucio Vasquez
241369138,3134665,cs,San Jose de las Flores
241369215,3134666,cs,Veinte de Noviembre (El Refugio)
241369292,3134667,cs,Tanque Blanco
241369369,3134668,cs,Francisco I. Madero
241369600,3134671,cs,Miguel Hidalgo
241369677,3134672,cs,Emiliano Zapata
241369754,3134673,cs,Emiliano Zapata
241369831,3134674,cs,Alfonso Terrones Benítez
241369908,3134675,cs,Alfonso Terrones Benitez
241370139,3134678,cs,Xicotencatl
241370293,3134680,cs,San Francisco
241370601,3134684,cs,San Juan
241370678,3134685,cs,Pedro Ruiz Molina
241370986,3134689,cs,Jesus Ramirez
241371140,3134691,cs,Viento Libre
241371217,3134692,cs,Adolfo Lopez Mateos
241371371,3134694,cs,Acatlan (Plutarco Elias Calles)
241371602,3134697,cs,Rancho Nuevo
241371910,3134701,cs,Verde Chico
241371987,3134702,cs,Guadalupe Victoria
241372603,3134710,cs,Allende
241372988,3134715,cs,La Libertad Campesina
241373373,3134720,cs,La Esperanza
241373527,3134722,cs,La Fe del Golfo
241373989,3134728,cs,Nové San Antonio
241374066,3134729,cs,Plan de Ayala
241374143,3134730,cs,San Patricio
241374220,3134731,cs,El Tablero
241374297,3134732,cs,La Soledad
241374374,3134733,cs,Los Brasiles
241375914,3134753,cs,Ježíš Gonzalez Ortega
241375991,3134754,cs,Las Margaritas
241376068,3134755,cs,Carvajal
241376145,3134756,cs,Guadalupe Victoria
241376530,3134761,cs,Divize del Norte
241376838,3134765,cs,San Fernando
241377531,3134774,cs,Paso Hondo
241377685,3134776,cs,La Libertad
241377762,3134777,cs,Soledad de los Reyes
241378070,3134781,cs,Lazaro Cardenas
241380072,3134807,cs,La Loma
241380149,3134808,cs,Ampliacion los Vergeles
241380303,3134810,cs,La Media Luna
241380380,3134811,cs,Juan de la Barrera Numero Dos
241380457,3134812,cs,Venustiano Carranza
241380688,3134815,cs,Emiliano Zapata
241380765,3134816,cs,Emiliano Zapata
241381150,3134821,cs,Juan António
241381304,3134823,cs,Alfredo V. Bonfil
241381535,3134826,cs,Pedro Jose Mendez
241381612,3134827,cs,San Lorenzo
241381689,3134828,cs,Ampliacion San Lorenzo
241382305,3134836,cs,Candido Aguilar
241382921,3134844,cs,El Tecolote
241383152,3134847,cs,Cinco de Mayo
241383460,3134851,cs,Mario Souza
241383537,3134852,cs,Santa Apolonia
241383614,3134853,cs,Pacheco
241383768,3134855,cs,La Venada
241383999,3134858,cs,El Esfuerzo
241384076,3134859,cs,Florida
241384153,3134860,cs,La Florida
241384230,3134861,cs,Ensenada
241384307,3134862,cs,Estacion Sandoval
241384384,3134863,cs,El Tahuachal
241384461,3134864,cs,prezident Cardenas
241384538,3134865,cs,Ramirez
241384615,3134866,cs,El Control
241384692,3134867,cs,Atizapan de Zaragoza
241384769,3134868,cs,Rodolfo Martin Rocha
241384846,3134869,cs,Rodolfo Martin Rocha
241384923,3134870,cs,Progreso del Campesino
241385000,3134871,cs,Cristobal Colon
241385077,3134872,cs,Raul Muniz
241385231,3134874,cs,Alfredo V. Bonfil
241385539,3134878,cs,Llorona Nueva
241385770,3134881,cs,Congregacion Garza
241385847,3134882,cs,El Grullo
241386617,3134892,cs,Generál Guadalupe Mainero
241386694,3134893,cs,La Posta
241387233,3134900,cs,San Luisito
241387310,3134901,cs,Soliseno
241387695,3134906,cs,Miguel Hidalgo
241387772,3134907,cs,Lucio Blanco
241388080,3134911,cs,Ciudad Gustavo Diaz Ordaz
241391622,3134957,cs,La Gloria
241391699,3134958,cs,La Victoria
241392007,3134962,cs,Xilitlilla
241392084,3134963,cs,Zacatipa
241392161,3134964,cs,Apetzco
241392238,3134965,cs,Ahuayo
241392469,3134968,cs,La Joyita del Tres
241392546,3134969,cs,San Rafael
241392854,3134973,cs,Santa Maria Acapulco
241393008,3134975,cs,Potrero de la Sauceda
241393162,3134977,cs,Laguna Verde
241393239,3134978,cs,Tezapotla
241393393,3134980,cs,Pemucho
241393470,3134981,cs,Aguamolo
241393547,3134982,cs,Mecatlan
241393624,3134983,cs,Papatlaco Santiago
241393701,3134984,cs,El Frijolillo
241393778,3134985,cs,El Pinal
241393932,3134987,cs,Vega Larga
241394009,3134988,cs,Chalahuitito
241394086,3134989,cs,Mesa del Toro
241394163,3134990,cs,San Francisco
241394240,3134991,cs,San Francisco
241394394,3134993,cs,Los Cerritos
241394548,3134995,cs,Escoatitla
241394625,3134996,cs,Tlaxco
241394779,3134998,cs,Sabino
241394856,3134999,cs,San Luisito
241394933,3135000,cs,Matlapa
241395164,3135003,cs,Tancuilin
241395241,3135004,cs,Xocoyo
