id,city_id,language_key,name
242992776,3155751,hu,Nuevo Xochimilco
242992853,3155752,hu,Plan de Ayala
242993084,3155755,hu,Emiliano Zapata
242993161,3155756,hu,Emiliano Zapata
242993238,3155757,hu,Francisco Ignacio Madero
242993315,3155758,hu,Francisco I. Madero
242993469,3155760,hu,Luis Espinoza
242993546,3155761,hu,Ignacio Zaragoza
242993623,3155762,hu,Ignacio Zaragoza
242993700,3155763,hu,Francisco Villa tábornok
242993854,3155765,hu,Esperanza de los Pobres
242994008,3155767,hu,Adolfo Lopez Mateos Kilometro Cincuenta Y Cuatro
242994162,3155769,hu,Angel Albino Corzo
242994470,3155773,hu,Juan de Grijalva
242994547,3155774,hu,Linda Vista
242995009,3155780,hu,Benito Juarez Dos
242995394,3155785,hu,Lazaro Cardenas
242995471,3155786,hu,Adolfo Lopez Mateos
242995548,3155787,hu,Guadalupe Victoria Uno (La Herradura)
242995702,3155789,hu,El Estoracon
242996703,3155802,hu,Roberto Barrios
242996780,3155803,hu,Tehuacan
242997088,3155807,hu,José Maria Pino Suarez
242997242,3155809,hu,Cuauhtemoc
242997319,3155810,hu,Pomposo Castellanos
242997396,3155811,hu,El Porvenir
242997550,3155813,hu,Nicolas Bravo
242997704,3155815,hu,Emiliano Zapata
242997858,3155817,hu,Guadalupe Victoria
242997935,3155818,hu,Francisco Ignacio Madero
242998012,3155819,hu,Francisco I. Madero
242998243,3155822,hu,Venustiano Carranza
242998320,3155823,hu,Venustiano Carranza
242998397,3155824,hu,La Florida
242999167,3155834,hu,Alfonso Moguel
242999244,3155835,hu,Vicente Guerrero
242999321,3155836,hu,Vicente Guerrero
243000014,3155845,hu,Venustiano Carranza
243000091,3155846,hu,San Luis
243000245,3155848,hu,Sinaloa
243000322,3155849,hu,Cristobal Colon
243001015,3155858,hu,Hermenegildo Galeana
243001092,3155859,hu,Ignacio Zaragoza (El Morro)
243001785,3155868,hu,San Martin
243002478,3155877,hu,San Carlos
243003094,3155885,hu,Las Maravillas
243003479,3155890,hu,Efrain A. Gutierrez
243003633,3155892,hu,Vicente Guerrero
243003710,3155893,hu,Vicente Guerrero
243003787,3155894,hu,Viva Cardenas
243004557,3155904,hu,Vicente Guerrero
243004711,3155906,hu,Emiliano Zapata
243005096,3155911,hu,Los Angeles
243005250,3155913,hu,La Cienega
243005481,3155916,hu,Buenavista
243005558,3155917,hu,Pacu
243005712,3155919,hu,Santa Rita
243006251,3155926,hu,Monterrey
243006328,3155927,hu,Monterrey
243006405,3155928,hu,Guadalupe Victoria
243006559,3155930,hu,Monte Grande
243006636,3155931,hu,Gabriel Esquinca
243006867,3155934,hu,Zoquipak
243006944,3155935,hu,Venustiano Carranza
243007021,3155936,hu,Venustiano Carranza
243007098,3155937,hu,Tankah Pakbal
243007175,3155938,hu,Union el Palmar
243007252,3155939,hu,Playa Vista
243007406,3155941,hu,Salvador Urbina
243007637,3155944,hu,Galecio Narcia
243007714,3155945,hu,Francisco Sarabia
243007945,3155948,hu,Nicolas Bravo
243008022,3155949,hu,Agua Dulce Tehuacan
243008330,3155953,hu,El Piru
243008407,3155954,hu,Monte Bonito
243008638,3155957,hu,Veinte de Noviembre
243008715,3155958,hu,Narciso Mendoza
243008792,3155959,hu,America Libre
243008869,3155960,hu,Adolfo Lopez Mateos
243008946,3155961,hu,Nueva Palestina (Nandayacuti)
243009485,3155968,hu,Joigelito
243009562,3155969,hu,Aztlan
243009639,3155970,hu,Francisco Romo Serrano
243009716,3155971,hu,Las Canitas
243009793,3155972,hu,Cuauhtemoc
243009870,3155973,hu,San Antonio
243010024,3155975,hu,El Roblon
243010101,3155976,hu,Concepción
243010178,3155977,hu,Zapotillo
243010255,3155978,hu,Telestaquin
243010332,3155979,hu,Jaltem
243010409,3155980,hu,San Vicente
243010486,3155981,hu,San Vicente
243010563,3155982,hu,El Copal
243010640,3155983,hu,Ajilo
243010871,3155986,hu,Monte Grande
243011025,3155988,hu,Tres Puentes Uno
243011410,3155993,hu,Votameste
243011487,3155994,hu,Yalvante
243011564,3155995,hu,Yalchitom
243011641,3155996,hu,Narvaez
243011718,3155997,hu,Tierra Blanca
243011795,3155998,hu,Patosil
243011872,3155999,hu,Navenchauc
243011949,3156000,hu,Paste
243012026,3156001,hu,Elambo
243012257,3156004,hu,Lazaro Cardenas
243012565,3156008,hu,Campo Santiago
243012642,3156009,hu,Belen Lluvia de Gracia
243012719,3156010,hu,El Chivero
243012796,3156011,hu,Belen Nuevo San Geron
243012873,3156012,hu,Flores Magon
243012950,3156013,hu,Los Llanos
243013181,3156016,hu,Zacualpa Ecatepec
243013412,3156019,hu,El Pinar
243013489,3156020,hu,Las Piedrecitas
243013566,3156021,hu,San Pedro la Tejeria
243013643,3156022,hu,La Candelaria
243013797,3156024,hu,Las Ollas
243013874,3156025,hu,Nichen
243013951,3156026,hu,Chiviltenal
243014028,3156027,hu,Chiotic
243014105,3156028,hu,Bautista Grande
243014182,3156029,hu,Cruz Quemada
243014259,3156030,hu,Jomalho
243014336,3156031,hu,Corralito
243014490,3156033,hu,Aldama
243014567,3156034,hu,Aldama
243014952,3156039,hu,Tzontehuitz
243015029,3156040,hu,El Crucero
243015183,3156042,hu,Chalam
243015260,3156043,hu,La Libertad
243015337,3156044,hu,Yaxgemel Union
243015414,3156045,hu,Yabteclum Fraccion Dos
243015491,3156046,hu,Polho
