id,city_id,language_key,name
247116062,3209300,lb,San Antonio
247116139,3209301,lb,Romantla
247116370,3209304,lb,El Cerro
247116524,3209306,lb,La Barranca
247116832,3209310,lb,Placeres
247117063,3209313,lb,Cuamapil
247117140,3209314,lb,Chipila
247117217,3209315,lb,Axtitla
247117294,3209316,lb,Huemaco
247117448,3209318,lb,San Gerardo
247117525,3209319,lb,Ixtaczoquio
247117602,3209320,lb,Ahuapilol
247117679,3209321,lb,Xochitl
247117756,3209322,lb,Chiapa
247117833,3209323,lb,Tenexhueyac
247117910,3209324,lb,El Terrero
247118064,3209326,lb,Poncojtla
247118141,3209327,lb,Amolo
247118295,3209329,lb,Yupiltitla
247118372,3209330,lb,Hueyajtetl
247118526,3209332,lb,El Zapote
247118603,3209333,lb,Xilico
247118680,3209334,lb,Estero Chico
247118757,3209335,lb,Pochoco
247119142,3209340,lb,La Candelaria
247119219,3209341,lb,Pachitla
247119296,3209342,lb,Tenexaco
247119450,3209344,lb,Tlatzintla
247119527,3209345,lb,Tlamaya
247119604,3209346,lb,Tlalmaya
247119681,3209347,lb,Chichilzoquitl
247119758,3209348,lb,Paltzoquitempa
247119835,3209349,lb,Otlatempa
247119912,3209350,lb,Tamalcuatzintla
247120066,3209352,lb,La Reforma
247120143,3209353,lb,Copacuatitla
247120220,3209354,lb,Tolaco
247120374,3209356,lb,Macuiltonalixco
247120528,3209358,lb,Cuexcontitla
247120605,3209359,lb,La Lima
247120990,3209364,lb,Pemuxtitla
247121144,3209366,lb,Tenexco
247121221,3209367,lb,Ateno
247121298,3209368,lb,Limontitla
247121375,3209369,lb,Xihuicalco
247121452,3209370,lb,Toloncuitlatla
247121529,3209371,lb,El Terrero
247121606,3209372,lb,Acatitla
247121760,3209374,lb,El Paraje
247121837,3209375,lb,Teponaxtla
247121914,3209376,lb,Xahuayoca
247121991,3209377,lb,Achichipitl
247122068,3209378,lb,El Huizache
247122145,3209379,lb,Mexcatla
247122222,3209380,lb,Texopes
247122299,3209381,lb,Cuahuitzil
247122376,3209382,lb,Cuamixtla
247122453,3209383,lb,Chalacuaco
247122530,3209384,lb,Pochoco
247122684,3209386,lb,Zayoltepec
247122838,3209388,lb,El Tordillo
247122915,3209389,lb,Teocuayo
247123146,3209392,lb,Pilahuimol
247123531,3209397,lb,Chapixtla
247123608,3209398,lb,Tepecxitla
247123685,3209399,lb,Las Silletas
247123839,3209401,lb,Acatilma
247123916,3209402,lb,Pichol
247123993,3209403,lb,Tlatolongo
247124070,3209404,lb,Buena Vista
247124147,3209405,lb,Xoquixhual
247124224,3209406,lb,Alaxtitla Ixcacuatitla
247124532,3209410,lb,Tenexaco
247124609,3209411,lb,Apaxtitla
247124686,3209412,lb,Huitztipa
247124840,3209414,lb,Texextitla
247125071,3209417,lb,Alaxcuatitla
247125148,3209418,lb,Cuatzapotl
247125379,3209421,lb,Tepeco
247125456,3209422,lb,La Colmena
247125533,3209423,lb,Tecalco
247125764,3209426,lb,Milcahual
247125841,3209427,lb,La Aguada
247125918,3209428,lb,Chijolito Milcahual
247125995,3209429,lb,Pitzacali
247126149,3209431,lb,El Palmar
247126303,3209433,lb,Piedra Grande
247126457,3209435,lb,Tepetlaco
247126611,3209437,lb,Pilpuerta
247126765,3209439,lb,Amecatipa
247126919,3209441,lb,El Zapotal
247126996,3209442,lb,Cuahueloco
247127381,3209447,lb,La Chaca
247127458,3209448,lb,Tzapullo Postectitla
247127535,3209449,lb,Cuaxiloapa
247127612,3209450,lb,Aquixcruz
247127766,3209452,lb,Hutzapoli
247127997,3209455,lb,Tecomate
247128228,3209458,lb,Cuatro Cienegas
247128536,3209462,lb,Benito Juarez
247128921,3209467,lb,El Higo de la Esperanza
247129460,3209474,lb,Kilometro Veintidos
247129845,3209479,lb,El Mirador
247129922,3209480,lb,El Partidero
247129999,3209481,lb,Agua Hedionda
247130076,3209482,lb,La Ceiba Chica
247130230,3209484,lb,El Pericon
247130461,3209487,lb,Benito Juarez
247130615,3209489,lb,El Zapotal
247130692,3209490,lb,El Mirral
247130846,3209492,lb,El Suchil
247130923,3209493,lb,Pezma Prieta
247131231,3209497,lb,La Raiz
247131308,3209498,lb,Pueblo Nuevo
247131616,3209502,lb,El Tundo
247131770,3209504,lb,La Despensa
247131847,3209505,lb,Queretaro
247131924,3209506,lb,El Cojolite
247132001,3209507,lb,El Pinal
247132078,3209508,lb,Agua Hedionda
247132155,3209509,lb,El Nenjo
247132309,3209511,lb,El Zenthe
247132617,3209515,lb,Poza Seca
247132694,3209516,lb,San Jose Naranjal
247132925,3209519,lb,Landero y Coss
247133002,3209520,lb,San Miguel
247133233,3209523,lb,Victor Rosales
247133387,3209525,lb,La Guitarra
