id,city_id,language_key,name
270288310,3510238,so,Zambrano
270289003,3510247,so,Yalaguina
270289311,3510251,so,Yabaltara
270289542,3510254,so,Wiwili
270290235,3510263,so,Waspan
270290389,3510265,so,Waslala
270291467,3510279,so,Villa Sandino
270291621,3510281,so,Villanueva
270292391,3510291,so,Venecia
270293238,3510302,so,Valle San Francisco
270296857,3510349,so,Tupilapa
270297396,3510356,so,Tuapi
270297704,3510360,so,Totogalpa
270298089,3510365,so,Tonala
270298551,3510371,so,Tola
270298628,3510372,so,Tisma
270298705,3510373,so,Tipitapa
270299244,3510380,so,Ticuantpe
270299398,3510382,so,Teustepe
270299552,3510384,so,Terrabona
270299937,3510389,so,Telpaneca
270300014,3510390,so,Telica
270302632,3510424,so,Somoto
270302709,3510425,so,Somotillo
270303094,3510430,so,Siuna
270303556,3510436,so,Marvin Corrales
270304095,3510443,so,Sebaco
270304865,3510453,so,Santo Tomas del Norte
270305019,3510455,so,Santo Tomas
270305250,3510458,so,Santo Domingo
270305635,3510463,so,Santiago
270305943,3510467,so,Santa Teresa
270306559,3510475,so,Santa Teresa
270306713,3510477,so,Santa Rosa del Penon
270309408,3510512,so,Santa Maria
270310332,3510524,so,Santa Lucia
270311487,3510539,so,San Jose de La Montana
270315876,3510596,so,San Sebastian de Yali
270316415,3510603,so,San Ramon
270316954,3510610,so,San Rafael del Sur
270317031,3510611,so,San Rafael del Norte
270317339,3510615,so,San Pedro de Lovago
270317416,3510616,so,San Pedro del Norte
270319033,3510637,so,San Pablo
270319418,3510642,so,San Nicolas
270320034,3510650,so,San Miguelito
270320958,3510662,so,San Marcos
270321728,3510672,so,San Lucas
270321805,3510673,so,San Lucas
270322036,3510676,so,San Lorenzo
270322652,3510684,so,San Juan del Rio Coco
270322729,3510685,so,San Juan Oriente
270322806,3510686,so,San Juan del Sur
270322883,3510687,so,Magaalada Grey
270322960,3510688,so,San Juan de Limay
270323807,3510699,so,San Jose de los Remates
270324038,3510702,so,San Jose de Cusmapa
270324192,3510704,so,San Jose de Bocay
270325886,3510726,so,San Jorge
270326502,3510734,so,San Isidro
270327965,3510753,so,San Francisco Libre
270328119,3510755,so,San Francisco del Norte
270328889,3510765,so,San Fernando
270328966,3510766,so,La Trinidad
270329659,3510775,so,Sandy Bay Sirpi
270329736,3510776,so,San Dionisio
270330814,3510790,so,San Carlos
270331507,3510799,so,San Benito
270332200,3510808,so,Monte Redondo
270333817,3510829,so,Salinas Grandes
270335434,3510850,so,Rivas
270336127,3510859,so,Rio Blanco
270336512,3510864,so,Rama
270336974,3510870,so,Quilali
270337128,3510872,so,Quezalguaque
270337282,3510874,so,Quebrada Seca
270338129,3510885,so,Puerto Viejo
