id,city_id,language_key,name
272895522,3544098,pt,Az Zikt
272895907,3544103,pt,Az Zawajir
272896523,3544111,pt,Yiqa'
272896600,3544112,pt,Yiqa'
272896831,3544115,pt,Al Ghushbah
272897062,3544118,pt,Wayt
272897216,3544120,pt,Al Wasit
272897755,3544127,pt,Al Waljah
272897832,3544128,pt,Wukan
272898140,3544132,pt,Al Widyah al Hadriyah
272898294,3544134,pt,Wadi Shirs
272898448,3544136,pt,Al-Wadim
272898602,3544138,pt,Wad
272898679,3544139,pt,wad
272898756,3544140,pt,Manal
272898833,3544141,pt,Manal
272898910,3544142,pt,Al Maghribah
272898987,3544143,pt,Al 'Uyaynah
272899603,3544151,pt,alʿlyaʾ
272899757,3544153,pt,Turayf Hajji
272899834,3544154,pt,Tunes
272899911,3544155,pt,Tunes
272900065,3544157,pt,Tiwi
272900142,3544158,pt,Tiwi
272900219,3544159,pt,Em Tikhah
272900296,3544160,pt,Thumayd
272900373,3544161,pt,Thumayd
272900758,3544166,pt,Zaghi
272900835,3544167,pt,Zaghi
272901066,3544170,pt,Como Sarhat
272901143,3544171,pt,Tayma'
272901220,3544172,pt,Tayma'
272901374,3544174,pt,Em Taww
272901528,3544176,pt,Em Tuwayyah
272901759,3544179,pt,Tawi como Sayh
272901990,3544182,pt,Em Tawi
272902067,3544183,pt,Tahwah
272902144,3544184,pt,Tahwah
272902221,3544185,pt,Em Tasawir
272902298,3544186,pt,Em Turayf
272902375,3544187,pt,Taqah
272902452,3544188,pt,Tanuf
272902529,3544189,pt,Tan'am
272902683,3544191,pt,Como Safiyah
272903145,3544197,pt,Como Sawadi al Hakman
272903222,3544198,pt,Como Sawadi como Sahil
272903299,3544199,pt,Sur ash Shiyadi
272903684,3544204,pt,Sur Bani Khuzaymah
272903838,3544206,pt,Como Suraymah
272903915,3544207,pt,Sur al Mazari`
272904069,3544209,pt,Burj Al-Khamis
272904223,3544211,pt,Sur al `Abri
272904377,3544213,pt,Sur
272904454,3544214,pt,Sur
272904531,3544215,pt,Sunub
272905532,3544228,pt,Como Suhaylah ash Sharqiyah
272905609,3544229,pt,Sohar
272905763,3544231,pt,Como Sudi
272905840,3544232,pt,Como Sudi
272906302,3544238,pt,Como Sayyahi
272906379,3544239,pt,Siya'
272906456,3544240,pt,Siya'
272906687,3544243,pt,Sint
272906918,3544246,pt,Sibi
272906995,3544247,pt,Sibi
272907534,3544254,pt,Shihayt
272907688,3544256,pt,Ash Shiqq ash Sharqi
272907765,3544257,pt,Ash Shuwaymiyah
272907919,3544259,pt,Xinas
272908073,3544261,pt,Shidá
272908227,3544263,pt,shat
272908381,3544265,pt,Ash Sharj
272908535,3544267,pt,Ash Sharik
272908612,3544268,pt,shrbthat
272908843,3544271,pt,sham
272908997,3544273,pt,Ash Shakhakhit
272909074,3544274,pt,Ash Shakhakhit
272909151,3544275,pt,shahk
272909305,3544277,pt,Shafi`
272909536,3544280,pt,Sayya`
272909690,3544282,pt,Saique
272909921,3544285,pt,Sayja'
272909998,3544286,pt,Sayja'
272910075,3544287,pt,Al Ma`zub
272910383,3544291,pt,Serrado
272910537,3544293,pt,Como Sawaqim
272910614,3544294,pt,Surur
272910922,3544298,pt,Rimi
272911230,3544302,pt,Sináw
272911461,3544305,pt,Samail
272911615,3544307,pt,Sallut
272912000,3544312,pt,Salalah
272912077,3544313,pt,Salalá
272912462,3544318,pt,Wusad
272912539,3544319,pt,Harmul
272912693,3544321,pt,Saham
272913001,3544325,pt,Al Wadi como Safil
272913309,3544329,pt,Saddã
272913463,3544331,pt,Sadadibe
272913617,3544333,pt,Sabt
272914079,3544339,pt,Ar Rus
272914156,3544340,pt,Ar Rus
272914310,3544342,pt,Ar Rusayl
272914541,3544345,pt,Ar Rumaylah
272914618,3544346,pt,Ar Rumaylah
