id,city_id,language_key,name
282032218,3662757,bg,Шарифабад
282032526,3662761,bg,Пхалина
282032603,3662762,bg,Банниуала Мохра
282034297,3662784,bg,Дунги
282037377,3662824,bg,Гархи Схиа
282043768,3662907,bg,Инзари
282045308,3662927,bg,Сагаи
282057782,3663089,bg,Горивала
282061863,3663142,bg,Саркараи
282062094,3663145,bg,Гхалйа
282081190,3663393,bg,Чухар Джамали
282089044,3663495,bg,Йалал Схах
282089660,3663503,bg,Готх Аитабар Схах
282090661,3663516,bg,Готх Асхраф Йат
282090738,3663517,bg,Готх Хайи Ибрахим Лакхо
282091277,3663524,bg,Йамани Рахим Схах
282091662,3663529,bg,Готх Дориан
282103597,3663684,bg,Умар Гадо
282104290,3663693,bg,Хамбас
282104367,3663694,bg,Абдуллах Цхаран
282105522,3663709,bg,Солани
282118997,3663884,bg,Датта Кхел
282125850,3663973,bg,Готх Саиндад
282125927,3663974,bg,Готх Рамзан
282131548,3664047,bg,Мирои Бхал
282133935,3664078,bg,Сханак Кусхи
282135321,3664096,bg,Факирабад
282143868,3664207,bg,Схер Кхан Пакха
282146640,3664243,bg,Кавара
282151106,3664301,bg,Гхуакхаи
282152646,3664321,bg,Кхоук Гхаз
282161886,3664441,bg,Мула Пакха
282163657,3664464,bg,Манда
282167738,3664517,bg,Стар Пакха
282168354,3664525,bg,Схахбаз Сам
282169432,3664539,bg,Сарки
282178672,3664659,bg,Миан Калле
282180597,3664684,bg,Касу
282183061,3664716,bg,Лукман Банда
282193533,3664852,bg,Бар Санголаи
282200617,3664944,bg,Тимаргара
282201541,3664956,bg,Кхангипатаи
282203389,3664980,bg,Байауро Банда
282206007,3665014,bg,Схиго Кас
282206161,3665016,bg,Кхаирабад
282212475,3665098,bg,Маздак
282213399,3665110,bg,Кацураги
282217865,3665168,bg,Саппараи
282218635,3665178,bg,Маимола
282220252,3665199,bg,Порцхамыараи
282229184,3665315,bg,Бандагаи
282229492,3665319,bg,Айабе
282230570,3665333,bg,Батуар Саларзаи
282231725,3665348,bg,Гуджар Кале
282232957,3665364,bg,Зардали Банда
282234189,3665380,bg,Гиро
282245893,3665532,bg,Сауаи
282245970,3665533,bg,Схагаи
282246663,3665542,bg,Йафар Кхан
282246817,3665544,bg,Солок
282247048,3665547,bg,Гхулам Кхан Келаы
282247202,3665549,bg,Готх Малхар Голо
282247972,3665559,bg,Тхат Соланги
282248280,3665563,bg,Гот Садар Джи Уджан
282248434,3665565,bg,Равалакот
282248511,3665566,bg,Дра Кхан Йо Готх
282249050,3665573,bg,Пир Йо Готх
282249589,3665580,bg,Далел Магси
282249743,3665582,bg,Ласури Махар
282249897,3665584,bg,Готх Гархи Кхуда Бакхсх Бхутто
282249974,3665585,bg,Хаирпур мир
282250128,3665587,bg,Кандхро Готх
282250667,3665594,bg,Басти Детха
282251129,3665600,bg,Готх Будак
282251206,3665601,bg,Готх Бедло
282251283,3665602,bg,Бхитур
282251514,3665605,bg,Адилпур
282252361,3665616,bg,Цхак Тхрее Хундред Севенты-оне
282252669,3665620,bg,Зинда Пир
282253131,3665626,bg,Тезана Зиарат Калле
282253439,3665630,bg,Зиарат
282253670,3665633,bg,Зиарат
282254055,3665638,bg,Жоб
282254132,3665639,bg,Зхерх Тангаи
282255518,3665657,bg,Кили Алам Кхан
282257135,3665678,bg,Зангутаи
282257905,3665688,bg,Замбура
282258136,3665691,bg,Зама
282258290,3665693,bg,Закариа Махесар
282258906,3665701,bg,Заида
282259214,3665705,bg,Захир Пир
282259368,3665707,bg,Зафарвал
282260369,3665720,bg,Ыусаф Кхел
282260985,3665728,bg,Ыоугу
282261139,3665730,bg,Ыонскил
282261216,3665731,bg,ызман
282261293,3665732,bg,Ыасин
282261447,3665734,bg,Ыасхкук
282261986,3665741,bg,Готх Ыаро Лунд
282262217,3665744,bg,Яр Хюсеин
282263603,3665762,bg,Ыакхдарра
282265913,3665792,bg,Уайхока
282266760,3665803,bg,Веровал
282267376,3665811,bg,Уазирке
282267530,3665813,bg,Уазир Цхак
282267761,3665816,bg,Уазирабад
282268608,3665827,bg,Готх Схер Кхан Уатто
282269840,3665843,bg,Уашук
282269917,3665844,bg,Уашап
282270456,3665851,bg,Готх Уассаыо Бхутто
282270995,3665858,bg,Уасаио
282271149,3665860,bg,Варямвала
282271842,3665869,bg,Уарсак
282272073,3665872,bg,Уоркъп
282272150,3665873,bg,Уор Йархобах
282272612,3665879,bg,Уариасо Йагир
282272766,3665881,bg,Уариамал
282272997,3665884,bg,Уардага
282273151,3665886,bg,Чак петстотин седемдесет и пет
282273844,3665895,bg,Уараи
282273998,3665897,bg,Уара
282274075,3665898,bg,Уара Гуйаран
282274229,3665900,bg,Уара Буланд Кхан
282274383,3665902,bg,Хабибабад
282274999,3665910,bg,Уан Кара
282275076,3665911,bg,Уани
282275230,3665913,bg,Уани
282275384,3665915,bg,Уан Хардиал
282276077,3665924,bg,Уиндар
282276770,3665933,bg,Уана
282276847,3665934,bg,Уан
282276924,3665935,bg,Уан Миана
282277694,3665945,bg,Уалирах
282278002,3665949,bg,Уали Мухаммад Кхоса
282278079,3665950,bg,Уали Кхел
282278156,3665951,bg,Уалидад Висар
282279311,3665966,bg,Уакро Йагир
282279619,3665970,bg,Вайхевала
282279850,3665973,bg,Уайрсивахан
282280158,3665977,bg,Уаилан
282280851,3665986,bg,Райа Рам
282280928,3665987,bg,Уахир
282281236,3665991,bg,Уахи Хуссаин
282281313,3665992,bg,Басти Уаи Госдан
282281621,3665996,bg,Уахи Дино
282281852,3665999,bg,Уахи Бахавал Шах
282282160,3666003,bg,Уахга
282282314,3666005,bg,Уахали Зер
282282391,3666006,bg,Уахадпур
282282468,3666007,bg,\N
282282545,3666008,bg,Уагодер
282283007,3666014,bg,Уахги
282283161,3666016,bg,Вага
282283392,3666019,bg,Уаган
282283854,3666025,bg,Уадпагиа
282284470,3666033,bg,Ваддауала
282285163,3666042,bg,Вад
282286472,3666059,bg,Вихари
282287550,3666073,bg,Ванике Тарар
282287704,3666075,bg,Вакрио
282288628,3666087,bg,Утрар
282288859,3666090,bg,Утманзаи
282289013,3666092,bg,Бабусар
282289090,3666093,bg,Утхуал Кхалса
282289321,3666096,bg,Утхал
282289552,3666099,bg,Уста Мухаммад
282289783,3666102,bg,Усман Кара
