id,city_id,language_key,name
296933953,3856286,bs,Šukat kao sufija
296934030,3856287,bs,Saknat az Zarqa'
296934107,3856288,bs,Rafah
296934184,3856289,bs,Rafah
296934415,3856292,bs,An Nusayrat
296934646,3856295,bs,Khan Yunis
296934723,3856296,bs,Khan Yunis
296934800,3856297,bs,jbalya
296934877,3856298,bs,Gaza
296934954,3856299,bs,Dayr al Balah
296935031,3856300,bs,byt lahya
296935108,3856301,bs,Bayt Hanun
296935185,3856302,bs,An Nazlah
296935262,3856303,bs,An Nazlah
296935416,3856305,bs,Al Burayj
296935493,3856306,bs,Abasan al-Kabirah
296935570,3856307,bs,Zububah
296935647,3856308,bs,Zabdah
296935724,3856309,bs,Zayta
296935801,3856310,bs,Zayta Jamma'in
296935878,3856311,bs,Az Zawiyah
296935955,3856312,bs,Az Zawiyah
296936032,3856313,bs,zwata
296936186,3856315,bs,Za'tarah
296936417,3856318,bs,Yatma
296936494,3856319,bs,Yasuf
296936571,3856320,bs,Yasuf
296936648,3856321,bs,Yasid
296936802,3856323,bs,Yabrud
296936879,3856324,bs,Yabrud
296936956,3856325,bs,Ya'bad
296937110,3856327,bs,Wadi Fukin
296937264,3856329,bs,'Urif
296937341,3856330,bs,Umm Safa
296937418,3856331,bs,Umm al-Amd
296937495,3856332,bs,Udalah
296937572,3856333,bs,Udalah
296937726,3856335,bs,Turah ash Sharqiyah
296937803,3856336,bs,Turah al-Gharbiyah
296937880,3856337,bs,Tulkarm
296937957,3856338,bs,Tubas
296938034,3856339,bs,Tubas
296938111,3856340,bs,Ti'innik
296938188,3856341,bs,Tayasir
296938265,3856342,bs,Tawas
296938342,3856343,bs,Tarqumya
296938419,3856344,bs,Tarqumya
296938496,3856345,bs,At Tarm
296938573,3856346,bs,Tanin
296938727,3856348,bs,Talluzah
296938804,3856349,bs,Till
296938881,3856350,bs,Till
296938958,3856351,bs,Taffuh
296939035,3856352,bs,Taffuh
296939266,3856355,bs,Surif City
296939343,3856356,bs,Surda
296939497,3856358,bs,Siris
296939574,3856359,bs,Gospodine
296939651,3856360,bs,Gospodine
296939728,3856361,bs,Sinjil
296939805,3856362,bs,Kao Simya
296939882,3856363,bs,slwad
296939959,3856364,bs,Silat al Haritiyah
296940036,3856365,bs,Silat al Haritiyah
296940190,3856367,bs,Sa'ir
296940421,3856370,bs,shqba
296940575,3856372,bs,Shufah
296940652,3856373,bs,Šarafat
296940729,3856374,bs,Sayda
296940806,3856375,bs,Sajda
296940960,3856377,bs,Sarah
296941037,3856378,bs,Sanur
296941114,3856379,bs,Sanur
296941191,3856380,bs,Salim
296941268,3856381,bs,Salim
296941345,3856382,bs,Šafarin
296941422,3856383,bs,Saffa
296941499,3856384,bs,Saffa
296941653,3856386,bs,Rumanah
296941730,3856387,bs,Rujayb
296941807,3856388,bs,Ras Karkar
296941884,3856389,bs,Ras Karkar
296941961,3856390,bs,Rammun
296942038,3856391,bs,Ramin
296942115,3856392,bs,Ramin
296942192,3856393,bs,ram allh
296942423,3856396,bs,rafat
296942500,3856397,bs,rafat
296942577,3856398,bs,raba
296942731,3856400,bs,Qusin
296942808,3856401,bs,Qirah
296942885,3856402,bs,Qirah
296942962,3856403,bs,Qatanah
296943039,3856404,bs,Innab al-Kabir
296943116,3856405,bs,Qaryut
296943193,3856406,bs,Qaryut
296943270,3856407,bs,Qarawat Bani Zayd
296943347,3856408,bs,Qalqilyah
296943424,3856409,bs,Qalandiya
296943501,3856410,bs,Qaffin
296943578,3856411,bs,Qabatiyah
296943655,3856412,bs,Qabalan
296943732,3856413,bs,Qabalan
296943886,3856415,bs,Nisf Jubayl
296943963,3856416,bs,Nisf Jubayl
296944040,3856417,bs,Ni'lin
296944194,3856419,bs,Nazlat 'Isa
296944348,3856421,bs,Nahal Kalya
296944425,3856422,bs,Nahal Kalya
296944579,3856424,bs,nabls
296944656,3856425,bs,Al Muwarraq
