id,city_id,language_key,name
296998088,3857119,am,ዚምበሬሮስ
296998550,3857125,am,ዚብሬራ ዳ ፌ
296998627,3857126,am,ዘብሪራ
296998704,3857127,am,ዝብሬራ
296999320,3857135,am,ዛምቡጄሮ
296999474,3857137,am,ዛምቡጄሮ
297000167,3857146,am,አዛምቡጄራ
297000321,3857148,am,አዛምቡጄራ
297000552,3857151,am,ዛምቡጃል ዴ ሲማ
297000629,3857152,am,ዛምቡጃል
297000783,3857154,am,ዛምቡጃል
297002015,3857170,am,ሳርቲንሆ
297002400,3857175,am,ቮልታ ዶ ቫሌ ዴ ባይኮ
297002477,3857176,am,ቪዬሮ
297002708,3857179,am,በጎነት
297003093,3857184,am,ቪሚዬሮ
297003247,3857186,am,ቪሚዬሮ
297003401,3857188,am,ቪሚዬሮ
297003478,3857189,am,ቪሜሮ
297003555,3857190,am,ቪሜሮ
297003786,3857193,am,ቪላ ቪኮሳ
297003863,3857194,am,ቪልጌቴራ
297003940,3857195,am,ቪላ ቨርዲኖ
297004017,3857196,am,ቪላ ቬርዴ ደ ፍቻልሆ
297004248,3857199,am,ቪላ ቨርዴ
297004402,3857201,am,ቪላ ቬልሃ ዴ ሮዳኦ
297004633,3857204,am,ቪላዎች
297004710,3857205,am,ቪላሪኖስ
297004864,3857207,am,ቪላሪንሆስ
297005249,3857212,am,ቪላ ሪል ዴ ሳንቶ አንቶኒዮ
297005326,3857213,am,ቪላር ዶ ሩቪቮ
297005711,3857218,am,ቪላር ዳ ካርጋ
297005865,3857220,am,ቪላር ባሮኮ
297006096,3857223,am,ቪላ ፔኬና
297006250,3857225,am,ቪላ ኖቫ ዶ ኮይቶ
297006327,3857226,am,ቪላ ኖቫ ዴ ሚልፎንቴስ
297006481,3857228,am,ቪላ ኖቫ ዴ ሚልፎንቴስ
297006635,3857230,am,ቪላ ኖቫ ዳ ሬይንሃ
297006712,3857231,am,ቪላ ኖቫ ዳ ባርኪንሃ
297006789,3857232,am,ቪላ ኖቫ ዳ ባሮኒያ
297006866,3857233,am,ቪላ ኖቫ
297007559,3857242,am,ቪላ ፍሪያ
297007636,3857243,am,ቪላ ጋሌጋ
297007713,3857244,am,ቪላ ፍራንካ ዶ ሮዛሪዮ
297007867,3857246,am,ቪላ ፍራንካ ዶ ሮዛሪዮ
297007944,3857247,am,ቪላ ፍራንካ ዴ ዢራ
297008098,3857249,am,ቪላ ፍሎር
297008175,3857250,am,ቪላ ፍሎር
297008252,3857251,am,ቪላ ዶ ቱሮ
297008329,3857252,am,ቪላ ዶ ፓኮ
297008483,3857254,am,ቪላ ዴ ሪ
297008560,3857255,am,ቪላ ዶ ቢስፖ
297008637,3857256,am,ቪላ ዴ ፍራድስ
297008791,3857258,am,ቪላ ዴ ፍራድስ
297008868,3857259,am,ቪላ ዴ ካናስ
297008945,3857260,am,ቪላ ካ
297009099,3857262,am,ቪላ ባሊራ
297009176,3857263,am,ቪላ ቦይም
297009253,3857264,am,ቪላ ባሊራ
297009407,3857266,am,ቪላ አልቫ
297009484,3857267,am,ቪዬራ ዴ ሌሪያ
297009638,3857269,am,ቪዬራ ዴ ሌሪያ
297009715,3857270,am,ቪጋስ
297009792,3857271,am,ቪዲጌይራ
297010023,3857274,am,ቪዲጋል
297010100,3857275,am,ቪዴራ
297010177,3857276,am,ቪሴንቴስ
297010331,3857278,am,ቪሴንቴስ
297010639,3857282,am,ቪአ ራራ
297010716,3857283,am,ቪያሎንጋ
297010870,3857285,am,ቪያሎንጋ
297010947,3857286,am,ቬስትሪያ
297011024,3857287,am,ቫርሙም
297011101,3857288,am,ቬርሞኢራ
297011178,3857289,am,ቬርሞይሮስ
297011255,3857290,am,ቬርሞኢራ
297011409,3857292,am,ቨርመልሃ
297011486,3857293,am,ቬሪጎ
297011640,3857295,am,ቨርዴልሆስ
297011794,3857297,am,ቨርዴልሆስ
297011871,3857298,am,ቨርዴልሆ
297012179,3857302,am,ቬንቱሬራ
297012333,3857304,am,ቬንቶሶ
297012641,3857308,am,ቬንቶሳ
297012795,3857310,am,ቬንዲንሃ
297012949,3857312,am,ቬንዲንሃ
297013026,3857313,am,ቬንዳስ ኖቫስ
297013180,3857315,am,ቬንዳስ ዴ ማሪያ
297013257,3857316,am,ቬንዳስ
297013334,3857317,am,ቬንዳስ ዴ ማሪያ
297013411,3857318,am,ቬንዳ ኖቫ
297013565,3857320,am,ቬንዳ ኖቫ
297014027,3857326,am,ቬንዳ ኖቫ
