id,city_id,language_key,name
298269222,3873627,fi,Tngeronger Hamlet
298269376,3873629,fi,Ngerbeched Hamlet
298269607,3873632,fi,Koror
298269915,3873636,fi,Idid Hamlet
298270069,3873638,fi,Ngerchemai Hamlet
298270223,3873640,fi,Ulimang
298270916,3873649,fi,Meketii Hamlet
298270993,3873650,fi,Ngerekebesang Hamlet
298271070,3873651,fi,Ngerkeai
298271378,3873655,fi,Angaur
298271455,3873656,fi,Meyungs Hamlet
298271532,3873657,fi,Melekeok
298271686,3873659,fi,Ngereklmadel
298271763,3873660,fi,Iyebukel Hamlet
298271840,3873661,fi,Imeong Hamlet
298272148,3873665,fi,Ngchesar Hamlet
298272379,3873668,fi,Ngerubesang Hamlet
298272610,3873671,fi,Ngerkeai
298272841,3873674,fi,Ngerkeseuaol Hamlet
298273303,3873680,fi,Mengellang
298273457,3873682,fi,Angaur State
298273688,3873685,fi,Tobi Village
298273765,3873686,fi,Sonsorol Village
298273919,3873688,fi,Kayangel
298273996,3873689,fi,Kloulklubed
298274227,3873692,fi,Ngetkib
298274304,3873693,fi,Ngchemiangel
298274381,3873694,fi,Narimasu
298274535,3873696,fi,Koror Town
298274689,3873698,fi,Ngerulmud
