id,city_id,language_key,name
298275132,3873704,aa,Yuty
298275440,3873708,aa,Ypejhu
298275517,3873709,aa,Ypane
298275594,3873710,aa,Ypacarai
298275748,3873712,aa,Yhu
298276056,3873716,aa,Villa Yagatiimi
298276133,3873717,aa,Fulgencio Yegros
298276287,3873719,aa,Ybi Yawu
298276364,3873720,aa,Ybytymi
298276749,3873725,aa,Ybycui
298276980,3873728,aa,Yataayiti del Norte
298277442,3873734,aa,Yaguaron
298277596,3873736,aa,Yabebyry
298277673,3873737,aa,Villeta
298277827,3873739,aa,Villarrica
298278058,3873742,aa,Villa Oliva
298278212,3873744,aa,Villalbin
298278289,3873745,aa,Villa Hayes
298278443,3873747,aa,Villa Florida
298278520,3873748,aa,Villa Elisa
298278828,3873752,aa,Veintisinko de Xiyember
298278982,3873754,aa,Valenzuela
298279367,3873759,aa,Union
298279675,3873763,aa,Tirinidad
298280599,3873775,aa,Toldoh cuu
298280753,3873777,aa,Tobati
298281369,3873785,aa,Tebicuary-mi
298282447,3873799,aa,Tacuati
298282601,3873801,aa,Tacuaras
298283525,3873813,aa,Sapucai
298283910,3873818,aa,Santo Doomingo
298284141,3873821,aa,Santisima Trinidad
298284295,3873823,aa,Santiyaago
298284526,3873826,aa,Mariscal Francisco Solano Lopez
298284680,3873828,aa,Santa Rooza
298284757,3873829,aa,Santa Rosa del Monday
298284911,3873831,aa,Santa Roosa del Aguwaray
298285219,3873835,aa,Santa Riita
298285527,3873839,aa,Santa Mariya
298285758,3873842,aa,Santa Librada
298285989,3873845,aa,Santa Elena
298286374,3873850,aa,Santa Ana
298286682,3873854,aa,San Rokuwe
298287221,3873861,aa,Puerto San Rafael
298287375,3873863,aa,San Pedro de Ycuamandyyu
298287452,3873864,aa,San Pedro del Parana
298287606,3873866,aa,San Patirishiyo
298287760,3873868,aa,San Pablo de Ykuamandiyayu
298287837,3873869,aa,San Pablo
298288068,3873872,aa,San Migeel
298288376,3873876,aa,San Lorenzo
298288530,3873878,aa,San Lazaro
298288607,3873879,aa,San Juwan Nepomuseno
298288684,3873880,aa,San Juan Bautista del Neembucu
298288761,3873881,aa,San Juan del Parana
298288838,3873882,aa,San Juwan Bautista
298288915,3873883,aa,San juwan
298289146,3873886,aa,San Jose Obrero
298289377,3873889,aa,San Jose de los Arroyos
298289762,3873894,aa,San Jorge
298289839,3873895,aa,San Joakuyin
298289916,3873896,aa,San Isidro de Kuruguwaati
298290301,3873901,aa,San Estanislao
298290378,3873902,aa,San Kiristobal
298290455,3873903,aa,San Cosme y Damian
298290840,3873908,aa,San karlos
298290917,3873909,aa,San Carlos del Apa
298291148,3873912,aa,San Bernardino
298291456,3873916,aa,San Antooniyo
298291533,3873917,aa,Puerto San Antonio
298291764,3873920,aa,San Alberto
298292226,3873926,aa,Salto del Guaira
298292303,3873927,aa,Villa del Rosario
298292688,3873932,aa,R.I. Tires Korrales
298293535,3873943,aa,\N
298294074,3873950,aa,Quyquyho
298294151,3873951,aa,Quiindy
298294690,3873958,aa,Puesto Typycha
298296615,3873983,aa,Puesto Pora
298297847,3873999,aa,Puesto Laguna Ciervo
298301158,3874042,aa,Puerto Triunfo
298302544,3874060,aa,Puerto San Lorenzo
298303699,3874075,aa,Puerto Pinasco
298305008,3874092,aa,Puerto Mayor Otano
298305316,3874096,aa,Puerto Lobato
298305547,3874099,aa,Puerto Casado
298306240,3874108,aa,Puerto Guarani
298307087,3874119,aa,Puerto de Tacurupucu
298307318,3874122,aa,Puerto Cooper
298308088,3874132,aa,Puerto Bertoni
298308319,3874135,aa,Puerto Bahia Negra
298308781,3874141,aa,Puerto Adela
298309089,3874145,aa,Primero de Marzo
298309320,3874148,aa,Presidente Franco
298309628,3874152,aa,Pozo Colorado
298310475,3874163,aa,Piribebuy
298310552,3874164,aa,Pirayu
298310706,3874166,aa,Pirapo
298311014,3874170,aa,Qamiddu
298311476,3874176,aa,Pedro Juan Caballero
298312015,3874183,aa,Paso de Patria
298312708,3874192,aa,Paraguari
298313555,3874203,aa,Obligado
298313709,3874205,aa,Numi
298313863,3874207,aa,\N
298313940,3874208,aa,Nuyeva Taaliyaan
298314017,3874209,aa,Kolooniya Nuyeva Jarmaniya
298314094,3874210,aa,Nueva Colombia
298314171,3874211,aa,Nueva Alborada
298314248,3874212,aa,Nemby
298314479,3874215,aa,Nataaliyo
298314556,3874216,aa,Natalicio Talavera
298314787,3874219,aa,Naranjaal
298315018,3874222,aa,Nanawua
298315095,3874223,aa,Nacunday
298315403,3874227,aa,Monges
298316712,3874244,aa,Mbuyapey
298316789,3874245,aa,Mbutuy
298317097,3874249,aa,Mbokayati
298317636,3874256,aa,Magaalah Xiinissoh Abba Juliyo Xiyonisiyo Otaano
298318252,3874264,aa,Maciel
298318406,3874266,aa,Luque
298318791,3874271,aa,Los Sedrales
298318868,3874272,aa,Loreeto
298319099,3874275,aa,Loma Plata
298319253,3874277,aa,Loma Grande
298319638,3874282,aa,Limpio
298319715,3874283,aa,Liima
298319792,3874284,aa,Jose Leandro Oviedo
298319869,3874285,aa,Laureles
298320023,3874287,aa,La Paloma del rooci Santo
298320177,3874289,aa,Lapaas
298320254,3874290,aa,La Pastora
298320562,3874294,aa,Lambare
298320793,3874297,aa,La Kolmena
298321486,3874306,aa,Juan de Mena
298322179,3874315,aa,Jesus
298322487,3874319,aa,Doktor Juwan Yulogiyo Estigaaribiya
298322718,3874322,aa,Iturbe
298322949,3874325,aa,Itaugua
298323026,3874326,aa,Itakyry
298323180,3874328,aa,Itapua Poty
298323334,3874330,aa,Itape
298323411,3874331,aa,Itanara
298323488,3874332,aa,Itacurubi del Rosario
298323565,3874333,aa,Itacurubi de la Cordillera
298323796,3874336,aa,Ita
298323873,3874337,aa,Isla Ombu
298324027,3874339,aa,Isla Pucu
298324489,3874345,aa,\N
298324643,3874347,aa,Humayita
298325105,3874353,aa,Hohenau
298325259,3874355,aa,Hernandarias
298325567,3874359,aa,Guazu-Cua
298325644,3874360,aa,Guajayvi
298325875,3874363,aa,Guarambare
298326491,3874371,aa,General Jose Eduvigis Diaz
298326645,3874373,aa,General Higinio Morinigo
298326876,3874376,aa,Jeneraal Elizardo Akuino
298326953,3874377,aa,General Jose Maria Delgado
298327030,3874378,aa,General Artigas
298327569,3874385,aa,Fuerte Olimpo
298327646,3874386,aa,Firaam
298327954,3874390,aa,Fernando de la Mora
298328031,3874391,aa,Feliksi Perez Kardoozo
298328108,3874392,aa,Jose Fassardi
298328185,3874393,aa,Eusebio Ayala
298332805,3874453,aa,Estancia Tacuara
298340428,3874552,aa,Estancia San Jose
298341814,3874570,aa,Estancia San Antonio
298342507,3874579,aa,Estansiya Salitreh Asta
298345048,3874612,aa,Estancia Prado Verde
298348975,3874663,aa,Estansiya Naranjito
298358523,3874787,aa,Estancia Fontana
298360679,3874815,aa,Estancia Corralito
298362835,3874843,aa,Estancia Carumbe
298369226,3874926,aa,Estansiya Agatape
298369534,3874930,aa,Establecimiento San Jose
298370073,3874937,aa,Establecimiento Ganadero Torocay
298370535,3874943,aa,Espinillo
298370843,3874947,aa,Eskobaar
298370997,3874949,aa,Enkarnaasiyon
298371151,3874951,aa,Emboscada
298371459,3874955,aa,Edeliira
298371690,3874958,aa,Domingo Martinez de Irala
298371844,3874960,aa,Doktor Juwan Manuel Frutoos
298371921,3874961,aa,Doktor Juwan Leon Malorkuyin
298371998,3874962,aa,Doktor Sesiliyo Bayez
298372075,3874963,aa,Doctor Bottrell
298372229,3874965,aa,Desmochados
298373538,3874982,aa,Costa Barrio
298373846,3874986,aa,Corpus Christi
298374000,3874988,aa,Coronel Oviedo
298374077,3874989,aa,Coronel Martinez
298374231,3874991,aa,Koronel Bogaado
298374539,3874995,aa,Concepcion
298374693,3874997,aa,Comparada
298375155,3875003,aa,Yguazu
298376772,3875024,aa,Colonia Tavapy II
298378466,3875046,aa,San Alfirexo
298380314,3875070,aa,Santa Fe del Paraana
298381084,3875080,aa,Minga Pora
298381392,3875084,aa,Colonia Menno
298382085,3875093,aa,Koloniya Morisyo Jose Tiroche
298382393,3875097,aa,Mariano Roque Alonso
298384549,3875125,aa,Firaam
298385627,3875139,aa,Colonia Curupayty
298385935,3875143,aa,Katuete
298386166,3875146,aa,Carmelo Peralta
298387783,3875167,aa,Ciudad del Este
298387937,3875169,aa,Chore
298388784,3875180,aa,Seriito
298389939,3875195,aa,Carmen del Parana
298390016,3875196,aa,Karlos Antooniyo Lopez
298390170,3875198,aa,Carayao
298390247,3875199,aa,Carapegua
298390324,3875200,aa,Caraguatay
298390709,3875205,aa,Capitan Miranda
298390786,3875206,aa,Capitan Meza
298390940,3875208,aa,Capitan Bado
298391171,3875211,aa,Capiibary
298391248,3875212,aa,Capiata
298393019,3875235,aa,Campamento Michin
298393558,3875242,aa,Cambyreta
298394174,3875250,aa,General Bernardino Caballero
298394251,3875251,aa,Caazapa
298394559,3875255,aa,Caapucu
298394867,3875259,aa,Kaaguazu
298394944,3875260,aa,Caacupe
298395098,3875262,aa,Buyena Vista
298395252,3875264,aa,Borja
298395714,3875270,aa,Benjamin Aceval
298395791,3875271,aa,Bella Vista
298395868,3875272,aa,Bella Vista
298396022,3875274,aa,Belen
298396484,3875280,aa,Ayolas
298396638,3875282,aa,Atyra
298396715,3875283,aa,Asuncion
298396946,3875286,aa,Arroyos y Esteros
298397408,3875292,aa,Tomas Romero Pereira
298397485,3875293,aa,Aregua
298397947,3875299,aa,Antequera
298398486,3875306,aa,Alto Vera
298398563,3875307,aa,Altos
298398717,3875309,aa,Alberdi
298399256,3875316,aa,Acahay
298399333,3875317,aa,Abai
298400257,3875329,aa,Horkueta
298403183,3875367,aa,Teniente Filgueira
298406263,3875407,aa,Puesto Nuevo
298411730,3875478,aa,Mariscal Jose Felix Estigarribia
298412423,3875487,aa,Laas Marseedis
298413424,3875500,aa,General Eugenio A. Garay
298413809,3875505,aa,Filadelfia
298418968,3875572,aa,Estancia Campo I
298420739,3875595,aa,Cooperativa Lagerenza
298420970,3875598,aa,Kolooniya Niwlanxi
298421740,3875608,aa,Kapitaan Pablo Lagerenza
298424743,3875647,aa,Nuyeva Esperanza
298424820,3875648,aa,Colonia San Lorenzo
298424897,3875649,aa,Puerto Vallemi
298428054,3875690,aa,Estancia Santo Domingo
298428824,3875700,aa,Barrio San Isidro
298428901,3875701,aa,Barrio Segunda Linea
298428978,3875702,aa,Barrio Cerrito
298429055,3875703,aa,Barrio Chacore
298429132,3875704,aa,7 de Agosto Km 2
298429209,3875705,aa,Barrio 7 de Agosto Km 11
298432366,3875746,aa,Puesto Buena Vista
298436139,3875795,aa,Establecimiento Arza Cue
298437371,3875811,aa,Puesto Malvina
298442838,3875882,aa,Puesto San Rafael
298452155,3876003,aa,Jukyty
298463936,3876156,aa,Vakueriya
298471636,3876256,aa,Retiro Barrios-cue
298472868,3876272,aa,Estancia La Nina
298479105,3876353,aa,Estancia Cheiru
298481415,3876383,aa,Estancia Santa Maria
298483956,3876416,aa,Estancia Villa Ramona
298488884,3876480,aa,Puesto Carapa
298494736,3876556,aa,Altona Campo Ocho
298499202,3876614,aa,General Higinio Morinigo
298500126,3876626,aa,Ciudad Nueva
298501897,3876649,aa,Karapai
298501974,3876650,aa,Iruna
298502821,3876661,aa,Paso Yobai
