id,city_id,language_key,name
298517280,3876848,so,Les Trois-Bassins
298518204,3876860,so,Salazie
298518281,3876861,so,Saint-Pierre
298518358,3876862,so,Saint-Philippe
298518435,3876863,so,Saint-Paul
298518512,3876864,so,Saint-Louis
298518589,3876865,so,Saint-Leu
298518666,3876866,so,Saint-Yuusuf
298519128,3876872,so,Sainte-Suzanne
298519205,3876873,so,Sainte-Rose
298519282,3876874,so,Sainte-Marie
298519590,3876878,so,Saint-Denis
298519744,3876880,so,Saint-Benoit
298519821,3876881,so,Saint-Andre
298522824,3876920,so,Petite-Ile
298525673,3876957,so,Le Tampon
298527059,3876975,so,Les Avirons
298527675,3876983,so,Le Port
298531217,3877029,so,La Possession
298531448,3877032,so,La Plaine-des-Palmistes
298532372,3877044,so,La Mare
298536761,3877101,so,L'Etang-Sale
298537146,3877106,so,Entre-Deux
298538147,3877119,so,Cilaos
298539148,3877132,so,Bras-Panon
298540226,3877146,so,Beytlaxam
298543383,3877187,so,Charrie
298548311,3877251,so,Hermitage
298552854,3877310,so,Cocatre
298555780,3877348,so,Bois Blanc
