id,city_id,language_key,name
315118136,4092444,ht,Zalim
315118521,4092449,ht,Azabyah
315118906,4092454,ht,Yanif
315118983,4092455,ht,Yanbu
315119676,4092464,ht,Wadi ad-Dawasir
315119984,4092468,ht,`Usran
315120831,4092479,ht,'Uqlat kòm Suqur
315121216,4092484,ht,Unaizah
315122140,4092496,ht,Umluj
315122987,4092507,ht,Umm kòm Sahik
315124604,4092528,ht,Turabah
315124681,4092529,ht,Turayf
315124758,4092530,ht,Turabah
315124912,4092532,ht,At Tubi
315125143,4092535,ht,Nan Tuwal
315125990,4092546,ht,thadq
315126221,4092549,ht,Tayma'
315126529,4092553,ht,Tathlith
315126606,4092554,ht,Tarut
315126914,4092558,ht,Tanumah
315127376,4092564,ht,Tabuk
315127453,4092565,ht,Tubarjal
315127530,4092566,ht,Tabala
315128916,4092584,ht,Missan Bani Al-Harith
315129301,4092589,ht,Suq al Ithnayn
315129532,4092592,ht,Al Wa`irah
315129917,4092597,ht,Unaizah
315130302,4092602,ht,Sultana
315131457,4092617,ht,Ash Shuqayri
315132689,4092633,ht,shqraʾ
315133844,4092648,ht,Sulaykhat
315134691,4092659,ht,Sambah
315134845,4092661,ht,Sambah
315135615,4092671,ht,Al Masnamah
315135769,4092673,ht,Sakaka
315136462,4092682,ht,Safwa
315136924,4092688,ht,Sabya
315137001,4092689,ht,Sabil
315137232,4092692,ht,Sabhah
315137771,4092699,ht,Ad Dubay ' ah
315138002,4092702,ht,Rumah
315139234,4092718,ht,Ar Rawdah
315139388,4092720,ht,Ras Tanura
315139465,4092721,ht,Ra's al Khafji
315140081,4092729,ht,Rahimah
315140466,4092734,ht,Rafha
315140543,4092735,ht,Rabigh
315142545,4092761,ht,Qibah
315143700,4092776,ht,Qaryah al `Ulya
315144624,4092788,ht,Qalbiyah
315144701,4092789,ht,Qal`at Bisha
315146780,4092816,ht,Namirah
315146857,4092817,ht,Namasiyah
315147319,4092823,ht,njran
315147627,4092827,ht,nʿjan
315147935,4092831,ht,Yon Nabhaniyah
315149552,4092852,ht,Mulayjah
315149629,4092853,ht,Mulayh
315149860,4092856,ht,Muhayil
315150322,4092862,ht,Mughayra'
315151631,4092879,ht,Mawqaq
315152247,4092887,ht,Masturah
315152555,4092891,ht,Misliyah
315153479,4092903,ht,Marat
315154480,4092916,ht,Mallahah
315154557,4092917,ht,Malham
315155173,4092925,ht,Makka
315155866,4092934,ht,Mahd adh Dhahab
315156867,4092947,ht,Al Laqyah
315157098,4092950,ht,Layla
315158022,4092962,ht,Al Khawbah
315158638,4092970,ht,Khurays
315158946,4092974,ht,Khulays
315159485,4092981,ht,Khaybar
315159639,4092983,ht,Khaybar
315160486,4092994,ht,Khamis Mushait
315162180,4093016,ht,Julayjilah
315162334,4093018,ht,Juha
315162565,4093021,ht,Juba
315162642,4093022,ht,Jizan
315163104,4093028,ht,Jeddah
315164028,4093040,ht,Jarudiyah
315164644,4093048,ht,Kammat Ghurab
315164798,4093050,ht,Jallat al Mawt
315165876,4093064,ht,Al Hadrur
315166107,4093067,ht,Huraymila'
315168725,4093101,ht,Hayd al-Hida'
315169649,4093113,ht,Haql
315171574,4093138,ht,hayl
315171882,4093142,ht,Hafar Al-Batin
315175347,4093187,ht,Fayfa'
315175732,4093192,ht,Farasan
315176425,4093201,ht,Duruma
315176733,4093205,ht,Dukhnah
315176964,4093208,ht,Duba
315177503,4093215,ht,Al Jurayn
315177734,4093218,ht,Dariyah
315177811,4093219,ht,Darin
315178581,4093229,ht,Damad
315179736,4093244,ht,Bouraydah
315179813,4093245,ht,Abqaiq
315182816,4093284,ht,baqʿaʾ
315183817,4093297,ht,Baljurashi
315184202,4093302,ht,Bahrah
315184279,4093303,ht,Badr
315184356,4093304,ht,Badr Hunayn
315184433,4093305,ht,Badr
315184895,4093311,ht,Az Zulfi
315185203,4093315,ht,Dhahran
315185819,4093323,ht,Ayn Ibn Fuhayd
315187128,4093340,ht,Nan Taraf
315187359,4093343,ht,Ta'if
315188129,4093353,ht,Kòm Sulayyil
315189669,4093373,ht,Sajir
315190131,4093379,ht,Kòm Saffaniyah
315190285,4093381,ht,Kòm Sabat
315191132,4093392,ht,Ash Shuqayq
315191671,4093399,ht,Ash Shubaykiyah
315191748,4093400,ht,Ash Shihiyah
315193288,4093420,ht,Ash Shaharin
315194520,4093436,ht,Ar Ruwaydah
315195059,4093443,ht,Ar Rukubah
315195290,4093446,ht,Riyad
315195598,4093450,ht,Ar Rayn
315196445,4093461,ht,Ar Rass
315198139,4093483,ht,Arar
315198447,4093487,ht,`Aqabah
315198524,4093488,ht,`Anqara
315198832,4093492,ht,Yon Nu'ayriyah
315199063,4093495,ht,Yon Nimas
315199448,4093500,ht,Qumayra
315199602,4093502,ht,'Inak
315200449,4093513,ht,Al Yamamah
315200911,4093519,ht,Al Wadi`ah
315201681,4093529,ht,alwjh
315202066,4093534,ht,ʿuyun aljiwaʾ
315202143,4093535,ht,Al 'Uyaynah
315202297,4093537,ht,Al 'Uyaynah
315203144,4093548,ht,alʿmran
315203375,4093551,ht,alʿla
315203452,4093552,ht,Oudhailiyah
315204068,4093560,ht,Al Quway'iyah
315204145,4093561,ht,Al Quwarah
315204838,4093570,ht,Al Qunfudhah
315205223,4093575,ht,Qaisumah
315205454,4093578,ht,Al Qatif
315205916,4093584,ht,Al Qasab
315206763,4093595,ht,Al Qarah
315207379,4093603,ht,Al Qahmah
315207918,4093610,ht,Alorosh
315208149,4093613,ht,Al Muzahimiyah
315208611,4093619,ht,Al Mutaywiyah
315208765,4093621,ht,Al Mutayrifi
315210459,4093643,ht,Al Muzaylif
315210536,4093644,ht,Al Mubarraz
315211229,4093653,ht,Al Mindak
315211306,4093654,ht,Al Makhwah
315211537,4093657,ht,Al Mithnab
315212307,4093667,ht,Al Marah
315212461,4093669,ht,Al Marah
315213077,4093677,ht,Al Majma'ah
315214001,4093689,ht,Al Madayah
315214155,4093691,ht,Al Madayah
315214463,4093695,ht,Al Lith
315214617,4093697,ht,Al Lahabah
315215541,4093709,ht,Al Khurmah
315215926,4093714,ht,Khobar
315216542,4093722,ht,alkhrj
315216696,4093724,ht,Al Kharadilah
315217158,4093730,ht,Al Khafji
315217389,4093733,ht,Al Khadra'
315217466,4093734,ht,alkhabraʾ
315218467,4093747,ht,Al Jumum
315218929,4093753,ht,Al Jufayfah
315219160,4093756,ht,Al Jubayl
315219237,4093757,ht,Al Jubayl
315219314,4093758,ht,Al Jubayl
315220161,4093769,ht,Al Jaradiyah
315220315,4093771,ht,Al Jaradiyah
315220700,4093776,ht,aljfr
315221239,4093783,ht,Al `Isawiyah
315221932,4093792,ht,Al Hurayyiq
315222086,4093794,ht,Al Hurayyiq
315222471,4093799,ht,Al Hufuf
315222548,4093800,ht,Al Hulaylah
315222625,4093801,ht,Al Hufuf
315223395,4093811,ht,Al Hayathim
315223549,4093813,ht,Al Hayathim
315223626,4093814,ht,Hawtat Sudayr
315224473,4093825,ht,Al Hariq
315225166,4093834,ht,Al Hanakiyah
315226167,4093847,ht,AlHadithahalQadimah
315226937,4093857,ht,alghat
315227630,4093866,ht,Al Fudul
315228092,4093872,ht,Al Fawwarah
315229863,4093895,ht,Al Bukayriyah
315230017,4093897,ht,albrk
315230633,4093905,ht,Al Battaliyah
315231788,4093920,ht,Al Bahah
315232096,4093924,ht,Al `Aziziyah
315232250,4093926,ht,Al `Aziziyah
315233174,4093938,ht,Al 'Awwamiyah
315234406,4093954,ht,Al Artawiyah
315234637,4093957,ht,Al Artawiyah
315234945,4093961,ht,Al `Arin
315235022,4093962,ht,Al `Aridah
315235099,4093963,ht,Al 'Aqiq
315235176,4093964,ht,Al `Aqiq
315235792,4093972,ht,alʿamar
315236331,4093979,ht,alawjam
315237794,4093998,ht,Al Ahad al Masarihah
315237871,4093999,ht,'Afif
315238025,4094001,ht,Al `Aydabi
315238179,4094003,ht,Ad Dilaymiyah
315238333,4094005,ht,Ad Dilaymiyah
315238564,4094008,ht,Ad Dir'iyah
315238641,4094009,ht,Ad Dilam
315239026,4094014,ht,Ad Darb
315239180,4094016,ht,Ad Darb
