id,city_id,language_key,name
315118186,4092444,vi,Zalim
315118571,4092449,vi,AzZabyah
315118956,4092454,vi,Yanif
315119033,4092455,vi,Yanbu
315119726,4092464,vi,Wadi ad-Dawasir
315120034,4092468,vi,`Usran
315120881,4092479,vi,'Uqlat như Suqur
315121266,4092484,vi,Unaizah
315122190,4092496,vi,umluj
315123037,4092507,vi,Ừm là Sahik
315124654,4092528,vi,Turaif governorate
315124731,4092529,vi,Turayf
315124808,4092530,vi,tại Tubi
315124962,4092532,vi,Tại Tunb
315125193,4092535,vi,Tại Tuwal
315126040,4092546,vi,thadq
315126271,4092549,vi,Tayma'
315126579,4092553,vi,Tathlith
315126656,4092554,vi,Tarut
315126964,4092558,vi,Tanumah
315127426,4092564,vi,"Tabuk, Vương quốc Ả rập Saudi"
315127503,4092565,vi,Tubarjal
315127580,4092566,vi,Tabalah
315128966,4092584,vi,Missan Bani Al-Harith
315129351,4092589,vi,Suq al Ithanayn
315129582,4092592,vi,Al Wa`irah
315129967,4092597,vi,Unaizah
315130352,4092602,vi,Sultanah
315131507,4092617,vi,Ash Shuqayri
315132739,4092633,vi,shqraʾ
315133894,4092648,vi,Saihat
315134741,4092659,vi,Sambah
315134895,4092661,vi,Sambah
315135665,4092671,vi,Sakakah
315135819,4092673,vi,Sakakah
315136512,4092682,vi,Safwa
315136974,4092688,vi,Sabya
315137051,4092689,vi,Sabil
315137282,4092692,vi,Sabhah
315137821,4092699,vi,Ad Dubay`ah
315138052,4092702,vi,Rumah
315139284,4092718,vi,Ras Tanura
315139438,4092720,vi,Ras Tanura
315139515,4092721,vi,Ra's al Khafji
315140131,4092729,vi,Rahimah
315140516,4092734,vi,Rafha
315140593,4092735,vi,Rabigh
315142595,4092761,vi,Qibah
315143750,4092776,vi,Qaryah al `Ulya
315144674,4092788,vi,Qalbiyah
315144751,4092789,vi,Qal`at Bishah
315146830,4092816,vi,Namirah
315146907,4092817,vi,Namasiyah
315147369,4092823,vi,Najran
315147677,4092827,vi,nʿjan
315147985,4092831,vi,An Nabhaniyah
315149602,4092852,vi,Mulayjah
315149679,4092853,vi,mulayh
315149910,4092856,vi,Muhayil
315150372,4092862,vi,Mughayra'
315151681,4092879,vi,Mawqaq
315152297,4092887,vi,Masturah
315152605,4092891,vi,Misliyah
315153529,4092903,vi,Marat
315154530,4092916,vi,Mallahah
315154607,4092917,vi,Malham
315155223,4092925,vi,Makkah
315155916,4092934,vi,Mahd adh Dhahab
315156917,4092947,vi,Al Laqyah
315157148,4092950,vi,Layla
315158072,4092962,vi,Al Khawbah
315158688,4092970,vi,Khuray
315158996,4092974,vi,Khulay
315159535,4092981,vi,khaybar
315159689,4092983,vi,khaybar
315160536,4092994,vi,Khamis Mushait
315162230,4093016,vi,Julayjilah
315162384,4093018,vi,Juha
315162615,4093021,vi,"Jubbah, Ả Rập Xê Út"
315162692,4093022,vi,Jizan
315163154,4093028,vi,Jeddah
315164078,4093040,vi,Jarudiyah
315164694,4093048,vi,Kammat Ghurab
315164848,4093050,vi,Jallat al Mawt
315165926,4093064,vi,Al Hadrur
315166157,4093067,vi,Huraymila'
315168775,4093101,vi,Hayd al Hida'
315169699,4093113,vi,Hanak
315171624,4093138,vi,Ha'il
315171932,4093142,vi,Hafar Al-Batin
315175397,4093187,vi,Fayfa'
315175782,4093192,vi,Farasan
315176475,4093201,vi,Duruma
315176783,4093205,vi,Dukhnah
315177014,4093208,vi,Duba
315177553,4093215,vi,Al Jurayn
315177784,4093218,vi,Dariyah
315177861,4093219,vi,Darin
315178631,4093229,vi,Damad
315179786,4093244,vi,Buraidah
315179863,4093245,vi,Abqaiq
315182866,4093284,vi,baqʿaʾ
315183867,4093297,vi,Baljurashi
315184252,4093302,vi,Bahrah
315184329,4093303,vi,Badr
315184406,4093304,vi,Badr Hunayn
315184483,4093305,vi,Badr
315184945,4093311,vi,Az Zulfi
315185253,4093315,vi,Dhahran
315185869,4093323,vi,Ayn Ibn Fuhayd
315187178,4093340,vi,Tại Taraf
315187409,4093343,vi,Ta'if
315188179,4093353,vi,Như Sulayyil
315189719,4093373,vi,sajir
315190181,4093379,vi,Như Saffaniyah
315190335,4093381,vi,As Sabát
315191182,4093392,vi,Ash Shuqayq
315191721,4093399,vi,Ash Shubaykiyah
315191798,4093400,vi,Ash Shihiyah
315193338,4093420,vi,Ash Shaharin
315194570,4093436,vi,Ar Ruwaydah
315195109,4093443,vi,Ar Rukubah
315195340,4093446,vi,Riyadh
315195648,4093450,vi,Ar Rayn
315196495,4093461,vi,Ar Rass
315198189,4093483,vi,Arar
315198497,4093487,vi,`Aqabah
315198574,4093488,vi,`Anqarah
315198882,4093492,vi,An Nu`ayriyah
315199113,4093495,vi,An Nimas
315199498,4093500,vi,Qumayra
315199652,4093502,vi,'Inak
315200499,4093513,vi,Al Yamamah
315200961,4093519,vi,Al Wadi`ah
315201731,4093529,vi,alwjh
315202116,4093534,vi,ʿuyun aljiwaʾ
315202193,4093535,vi,Al 'Uyaynah
315202347,4093537,vi,Al' Uyaynah
315203194,4093548,vi,alʿmran
315203425,4093551,vi,alʿla
315203502,4093552,vi,Udhailiyah
315204118,4093560,vi,Al Quway`iyah
315204195,4093561,vi,Al Quwarah
315204888,4093570,vi,Al Qunfudhah
315205273,4093575,vi,Qaisumah
315205504,4093578,vi,Al Qatif
315205966,4093584,vi,Al Qasab
315206813,4093595,vi,Al-Qarah
315207429,4093603,vi,Al Qahmah
315207968,4093610,vi,Alorosh
315208199,4093613,vi,Al Muzahimiyah
315208661,4093619,vi,Al Mutaywiyah
315208815,4093621,vi,Al Mutayrifi
315210509,4093643,vi,Al Mubarraz
315210586,4093644,vi,Al Mubarraz
315211279,4093653,vi,Al Mindak
315211356,4093654,vi,Al Makhwah
