id,city_id,language_key,name
316238316,4106992,ca,Bole
316240626,4107022,ca,Hastholmen
316241165,4107029,ca,Bredviken
316241781,4107037,ca,Yttertavle
316241935,4107039,ca,Yttersel
316243090,4107054,ca,Vuollerim
316243398,4107058,ca,Vittjarv
316243552,4107060,ca,Vittangi
316244091,4107067,ca,Vistheden
316244707,4107075,ca,Viken
316244861,4107077,ca,Vidsel
316247248,4107108,ca,Vannasberget
316248634,4107126,ca,Ursviken
316248711,4107127,ca,Ubyni
316248788,4107128,ca,Umeå
316249096,4107132,ca,Ullatti
316250867,4107155,ca,Toere
316251175,4107159,ca,Tjautjas
316252022,4107170,ca,Tavelsjo
316252176,4107172,ca,Taerendoe
316252561,4107177,ca,Tallvik
316253100,4107184,ca,Tallberg
316253485,4107189,ca,Taftea
316253562,4107190,ca,Svensbyn
316253793,4107193,ca,Svedjan
316254178,4107198,ca,Svarttjarn
316254332,4107200,ca,Svartbyn
316254640,4107204,ca,Svarta
316254717,4107205,ca,Svappavaara
316254871,4107207,ca,Svanstein
316255564,4107216,ca,Sundom
316256796,4107232,ca,Strom
316257643,4107243,ca,Storvik
316258336,4107252,ca,Storon
316258721,4107257,ca,Storkagetrask
316259722,4107270,ca,Stoecksjoe
316259953,4107273,ca,Stocke
316260107,4107275,ca,Stensjon
316260800,4107284,ca,Soermjoele
316260877,4107285,ca,Sorfors
316261031,4107287,ca,Sorfors
316261724,4107296,ca,Sodra Sunderbyn
316262263,4107303,ca,Sodra Drangsmark
316262494,4107306,ca,Soderby
316263649,4107321,ca,Skravelsjo
316264188,4107328,ca,Skelleftehamn
316264265,4107329,ca,Skellefteå
316264804,4107336,ca,Sjulsmark
316265420,4107344,ca,Sinksundet
316265805,4107349,ca,Sikfors
316265882,4107350,ca,Sikea
316266344,4107356,ca,Seittenkaari
316267037,4107365,ca,Ranea
316267114,4107366,ca,Sävar
316267576,4107372,ca,Sarkivaara
316267884,4107376,ca,Sangis
316269424,4107396,ca,Saivomuotka
316269578,4107398,ca,Saittarova
316270117,4107405,ca,Rutvik
316271041,4107417,ca,Rosvik
316271657,4107425,ca,Rolfs
316271734,4107426,ca,Roknas
316272119,4107431,ca,Robertsfors
316272196,4107432,ca,Roebaeck
316272581,4107437,ca,Ristrask
316272735,4107439,ca,Risogrund
316274352,4107460,ca,Savast
316276508,4107488,ca,Piteå
316277201,4107497,ca,Person
316277740,4107504,ca,Pello
316278895,4107519,ca,Palang
316279203,4107523,ca,Pajala
316279896,4107532,ca,Obre Svartla
316280050,4107534,ca,Ovre Soppero
316280743,4107543,ca,Övertorneå
316281205,4107549,ca,Överkalix
316281282,4107550,ca,Ostvik
316281744,4107556,ca,Ostra Merasjarvi
316283053,4107573,ca,Orviken
316284439,4107591,ca,Obbola
316284670,4107594,ca,Nystrand
316285055,4107599,ca,Nyland
316285286,4107602,ca,Nygard
316285825,4107609,ca,Nyborg
316286826,4107622,ca,Norrmjole
316287134,4107626,ca,Norrfjarden
316287442,4107630,ca,Norra Sunderbyn
316288289,4107641,ca,Norra Drangsmark
316288366,4107642,ca,Norra Bredaker
316289598,4107658,ca,Nikkala
316289752,4107660,ca,Niemisel
316290830,4107674,ca,Nedre Back
316291985,4107689,ca,Myckle
316292062,4107690,ca,Murjek
316292370,4107694,ca,Muodoslompolo
316292986,4107702,ca,Moró
316293063,4107703,ca,Morjarv
316294603,4107723,ca,Medle
316294757,4107725,ca,Mattsund
316295219,4107731,ca,Masugnsbyn
316296220,4107744,ca,Maherra
316296990,4107754,ca,Luleå
316297683,4107763,ca,Lovanger
316298992,4107780,ca,Lillpite
316299993,4107793,ca,Liden
316300686,4107802,ca,Lassbacken
316301533,4107813,ca,Lansjarv
316301841,4107817,ca,Langvik
316302072,4107820,ca,Langtrask
316302457,4107825,ca,Langsele
316303612,4107840,ca,Lainio
316304767,4107855,ca,Kuttainen
316304998,4107858,ca,Kusmark
316305229,4107861,ca,Kurravaara
