id,city_id,language_key,name
316238374,4106992,th,โบเล
316240684,4107022,th,กะซโทลเมน
316241223,4107029,th,บเรดฤิเกน
316241839,4107037,th,ยตเตรตะฤเล
316241993,4107039,th,ยตเตรเซล
316243148,4107054,th,ฤโุลเลริม
316243456,4107058,th,วิตต์แยร์ฟ
316243610,4107060,th,วิตตางิ
316244149,4107067,th,ฤิซเทเดน
316244765,4107075,th,วิเคน
316244919,4107077,th,ฤิดเซล
316247306,4107108,th,ฤะนนะซเบรเกต
316248692,4107126,th,ุรซฤิเกน
316248769,4107127,th,ุนบยน
316248846,4107128,th,อูเมโอ
316249154,4107132,th,ุลละตติ
316250925,4107155,th,โทเร่
316251233,4107159,th,จัวต์จาส
316252080,4107170,th,ทาเวลโจ
316252234,4107172,th,ทาเรนโด
316252619,4107177,th,ตะลลฤิก
316253158,4107184,th,ทอลเบิร์ก
316253543,4107189,th,ตะฟเตะ
316253620,4107190,th,ซเฤนซบยน
316253851,4107193,th,ซเฤดจะน
316254236,4107198,th,สวาร์ตจารย์
316254390,4107200,th,ซฤะรตบยน
316254698,4107204,th,ซฤะรตะ
316254775,4107205,th,ซฤะปปะฤะะระ
316254929,4107207,th,ซฤะนซเติน
316255622,4107216,th,ซันดอม
316256854,4107232,th,สตรอม
316257701,4107243,th,ซโตรฤิก
316258394,4107252,th,ซโตโรน
316258779,4107257,th,ซโตรกะเกตระซก
316259780,4107270,th,สต็อคโจ
316260011,4107273,th,ซโตจเก
316260165,4107275,th,สเตนโจน
316260858,4107284,th,เซอร์มโจเอเล
316260935,4107285,th,ซอร์ฟอร์ส
316261089,4107287,th,โซรโฟรซ
316261782,4107296,th,โซดระซุนเดรบยน
316262321,4107303,th,โซดระดระงซมะรก
316262552,4107306,th,โซเดรบย
316263707,4107321,th,ซกระเฤลซโจ
316264246,4107328,th,ซเกลเลฟเตกะมน
316264323,4107329,th,เชลเลฟเตโอ
316264862,4107336,th,สจุลสมาร์ก
316265478,4107344,th,ซินกซุนเดต
316265863,4107349,th,ซิกโฟรซ
316265940,4107350,th,สิเกีย
316266402,4107356,th,เซทเทนคารี
316267095,4107365,th,ระเนะ
316267172,4107366,th,ซะฤะร
316267634,4107372,th,ซาร์กิวารา
316267942,4107376,th,ซะงิซ
316269482,4107396,th,ซะิโฤมโุตกะ
316269636,4107398,th,ซะิตตะโรฤะ
316270175,4107405,th,รุตฤิก
316271099,4107417,th,โรซฤิก
316271715,4107425,th,โรลฟซ
316271792,4107426,th,โรกนะซ
316272177,4107431,th,โรเบรตซโฟรซ
316272254,4107432,th,โรเบค
316272639,4107437,th,ริโซกรุนด์
316272793,4107439,th,ริโซกรุนด์
316274410,4107460,th,ซะฤะซต
316276566,4107488,th,ปิเตะ
316277259,4107497,th,เปรโซน
316277798,4107504,th,เปลโล
316278953,4107519,th,ปะละง
316279261,4107523,th,ปาจาลา
316279954,4107532,th,โอเวร์ สวาร์ตลา
316280108,4107534,th,โฤเรโซปเปโร
316280801,4107543,th,โเฤรโตรเนะ
316281263,4107549,th,โเฤรกะลิอ
316281340,4107550,th,ออสท์วิค
316281802,4107556,th,ออสตรา เมราจาร์วี
316283111,4107573,th,เออร์วิเคน
316284497,4107591,th,ออบโบลา
316284728,4107594,th,นยซตระนด
316285113,4107599,th,นีแลนด์
316285344,4107602,th,ไนการ์ด
316285883,4107609,th,นีบอร์ก
316286884,4107622,th,นอร์มโจเอเล
316287192,4107626,th,นอร์ฟแยร์เดน
316287500,4107630,th,โนรระซุนเดรบยน
316288347,4107641,th,โนรระดระงซมะรก
316288424,4107642,th,โนรระบเรดะเกร
316289656,4107658,th,นิกกะละ
316289810,4107660,th,นเิมิเซล
316290888,4107674,th,เนดเรบะจก
316292043,4107689,th,มยจกเล
316292120,4107690,th,มูร์เจค
316292428,4107694,th,มโุโดซโลมโปโล
316293044,4107702,th,ไอ้ปัญญาอ่อน
316293121,4107703,th,มอร์ยาร์ฟ
316294661,4107723,th,เมดเล
316294815,4107725,th,มะตตซุนด
316295277,4107731,th,มะซุกนซบยน
316296278,4107744,th,มะเฮอรา
316297048,4107754,th,ลือลิยอ
316297741,4107763,th,โลฤะเงร
316299050,4107780,th,ลิลลปิเต
316300051,4107793,th,ลิเดน
316300744,4107802,th,ละซซบะจเกน
316301591,4107813,th,ลานส์แยร์ฟ
316301899,4107817,th,ละงฤิก
316302130,4107820,th,ละงตระซก
316302515,4107825,th,ละงเซเล
316303670,4107840,th,ละินโิ
316304825,4107855,th,กุตตะิเนน
316305056,4107858,th,กุซมะรก
316305287,4107861,th,กุรระฤะะระ
316307366,4107888,th,โกซกุลลซกุลเล
316307520,4107890,th,โกรซตระซก
316307751,4107893,th,โกรปิโลมโบโล
316308059,4107897,th,โกปปะรนะซ
316308829,4107907,th,กลุตมะรก
316309060,4107910,th,กโลเฤรตระซก
316310138,4107924,th,คีรือนา
316311370,4107940,th,เกราสโจกี
316311447,4107941,th,เกระซจะนกกะ
316311832,4107946,th,กะุปปิเนน
316311909,4107947,th,กะุนิซฤะะระ
316312371,4107953,th,กะรุงิ
316312602,4107956,th,กะรลซฤิก
316312679,4107957,th,คาร์ลสบอร์ก
316312987,4107961,th,กะเรซุะนโด
316313526,4107968,th,กะโงซ
316314296,4107978,th,กะลละอ
316314450,4107980,th,กะลิอ
316314989,4107987,th,คาเงะ
316315143,4107989,th,คาเงะ
316315297,4107991,th,กาตาร์ติจาร์วี
316315759,4107997,th,จูกสุวารา
316315836,4107998,th,จ็อกเซนกี
316315913,4107999,th,จุโนซุะนโด
316316067,4108001,th,จุกกัสจาเอร์วี
316316298,4108004,th,ยอร์น
316316529,4108007,th,จ็อกฟอล
316316760,4108010,th,\N
316317222,4108016,th,แจมโตน
316317684,4108022,th,ิโซกะรซิกโกจะรฤิ
316317915,4108025,th,ินเนรตะฤเล
316318531,4108033,th,ิดิฤโุมะ
316318916,4108038,th,ฮูห์ทาเนน
316319147,4108041,th,ฮอร์ตแลกซ์
316319301,4108043,th,โกรนซตระซก
316319994,4108052,th,โฮล์มซุนด์
316322073,4108079,th,ฮิสโจเอน
316322689,4108087,th,เกมมิงซมะรก
316322920,4108090,th,เกดโนเรต
316322997,4108091,th,เกดนะซ
316323228,4108094,th,เฮเดนาเซต
316323305,4108095,th,ฮิเอตาเนียมิ
316323536,4108098,th,เฮเดน
316324152,4108106,th,ฮารัด
316324383,4108109,th,ฮาปารันดา
316324922,4108116,th,กะกกะซ
316325769,4108127,th,กุนนะรซบยน
316327771,4108153,th,กระฤมะรก
316328849,4108167,th,แกรนโฮล์ม
316330158,4108184,th,กะมเมลซตะด
316330235,4108185,th,แกมเมลการ์เดน
316330697,4108191,th,เกลลิแวร์
316331390,4108200,th,ฟรอสต์เคจ
316332160,4108210,th,โฟรซบะจกะ
316332237,4108211,th,ฟลุรกมะรก
316332314,4108212,th,ฟโลตุตระซก
316333700,4108230,th,ฟะลลตระซก
316333854,4108232,th,ฟะลลโฟรซ
316334470,4108240,th,เออร์สมาร์ก
316334624,4108242,th,เออร์สมาร์ก
316334701,4108243,th,เออร์สมาร์ก
316335086,4108248,th,เอลมาจาร์วี
316335548,4108254,th,ดจะกเนโบเล
316336010,4108260,th,เดเกอร์ฮามน์
316336934,4108272,th,บิสค์
316337011,4108273,th,บิกดซิลจุม
316337242,4108276,th,บยกเดะ
316337473,4108279,th,บุรตระซก
316337627,4108281,th,บุเระ
316337704,4108282,th,บุลลมะรก
316338397,4108291,th,บเรดฤิเกน
316339167,4108301,th,บระตตะซ
316339706,4108308,th,บระนนละนด
316340630,4108320,th,บระนนะ
316340861,4108323,th,บรันเดน
316341092,4108326,th,โบวิเกน
316341246,4108328,th,โบตซมะรก
316341631,4108333,th,โบลิเดน
316341862,4108336,th,โบเล่
316342401,4108343,th,โบเดน
316342940,4108350,th,บละซมะรก
316345096,4108378,th,เบรกซฤิเกน
316345173,4108379,th,โซดรา เบิร์กสบิน
316345327,4108381,th,แบร์กแนเซต
316345635,4108385,th,เบนซบยน
316345789,4108387,th,บะตซกะรซนะซ
316346020,4108390,th,บะซตุตระซก
316346174,4108392,th,บะลิเง
316347175,4108405,th,บะจกะ
316347560,4108410,th,ะฤะน
316348715,4108425,th,อาเซน
316349485,4108435,th,ะนตนะซ
316350255,4108445,th,ะนะเซต
316350332,4108446,th,ะนะเซต
316350486,4108448,th,ะลฤซบยน
316350640,4108450,th,ะลฤิก
316351564,4108462,th,เอล
316351872,4108466,th,อกุลสจอน
316352873,4108479,th,ะะปุะ
316352950,4108480,th,ุดเดโบ
316354798,4108504,th,ะลุนดะ
316355337,4108511,th,แอนน์เบิร์ก
316357493,4108539,th,มารีเบิร์ก
316357647,4108541,th,มารีเบิร์ก
316357801,4108543,th,ฮาสธาเกน
316360419,4108577,th,นะซฤิเกน
316364962,4108636,th,ซตโรมมะ
316365886,4108648,th,ออธัมรา
316366425,4108655,th,สตอร์โฮลเมน
316367118,4108664,th,โซเดรซฤิก
316368581,4108683,th,มัลเมน
316369659,4108697,th,กะรกซกะร
316371199,4108717,th,วิค
316371969,4108727,th,โฮล์ม
316372893,4108739,th,เบอร์กา
316375742,4108776,th,ฮากา
316376050,4108780,th,กะรตุงฤิเกน
316380978,4108844,th,ซัลท์วิค
316381363,4108849,th,กะตตะน
316381748,4108854,th,ลุกน์วิค
316382518,4108864,th,กละปปะ
316383673,4108879,th,ฤะรเฤต
316383981,4108883,th,ซิงก์กรุวัน
316388293,4108939,th,ยตเตรซตะด
316388370,4108940,th,ยตเตรโซระ
316389140,4108950,th,ยตเตรริซซโจ
316389910,4108960,th,ยตเตรมะลุง
316390295,4108965,th,อิตเทอร์ฮอกดาล
316390603,4108969,th,ยตเตรกระน
316391681,4108983,th,ยตเตรโบเล
316392297,4108991,th,อิตเตอร์เบิร์ก
316392451,4108993,th,ยตเตระน
316392682,4108996,th,ยซตะด
316392759,4108997,th,ยซบย
316392836,4108998,th,ยซบย
316392913,4108999,th,ยซะเน
316393221,4109003,th,ยองโจ
316395762,4109036,th,วริกสตัด
316395839,4109037,th,ฤเรตซโตรป
316397764,4109062,th,ฤเรนะ
316398226,4109068,th,ฤระโง
316398303,4109069,th,ฤระโง
316400305,4109095,th,โฤอโลฤ
316400921,4109103,th,โวลส์โจ
316401999,4109117,th,ฤิตตซโกฤเล
316402076,4109118,th,วิตสโคเอฟเล
316402153,4109119,th,วิทส์โจ
316402230,4109120,th,วิทส์โจ
316402538,4109124,th,ฤิตติเง
316403077,4109131,th,ฤิตตะรยด
316403154,4109132,th,ฤิตตะรยด
316403693,4109139,th,ฤิเตโมลละ
316404078,4109144,th,ฤิตะบย
316405310,4109160,th,วิสเซฟเยร์ดา
316405618,4109164,th,ฤิซละนดะ
316405772,4109166,th,ฤิซกะโฟรซ
316406157,4109171,th,วีสบี
316406850,4109180,th,ฤิรเซรุม
316406927,4109181,th,เวอร์สโบ บรูค
316407697,4109191,th,ฤิเรดะ
316407928,4109194,th,วีระ
316408467,4109201,th,ฤินตโรซะ
316408544,4109202,th,ฤินตรเิ
316409006,4109208,th,ฤินซโลฤ
316409314,4109212,th,วิญญาโน
316409468,4109214,th,ฤินนิงะ
316410084,4109222,th,ฤินโกล
316410315,4109225,th,ฤิงะเกร
316410392,4109226,th,วินด์สโบร
316410546,4109228,th,ฤินเดลน
316411008,4109234,th,วินเบิร์ก
