id,city_id,language_key,name
320371814,4160673,to,Selavale
320371891,4160674,to,San Marino
320371968,4160675,to,Pokio ti Kiesanuova
320372045,4160676,to,Montegiardino
320372122,4160677,to,Fiorentino
320372199,4160678,to,Falciano
320372276,4160679,to,Faetano
320372353,4160680,to,\N
320372430,4160681,to,Dogana
320372507,4160682,to,Borgo Maggiore
320372584,4160683,to,Acquaviva
320372661,4160684,to,Fiorina
320372815,4160686,to,Mulata
320372892,4160687,to,Venitoso
320373046,4160689,to,Torraccia
320373277,4160692,to,Valdragone
