id,city_id,language_key,name
323170319,4197018,cs,Ziziep
323173168,4197055,cs,Touregn
323179790,4197141,cs,Tedji
323184333,4197200,cs,Taama
323191956,4197299,cs,Rimele
323193958,4197325,cs,Oustani
323194497,4197332,cs,Ountat
323194574,4197333,cs,Ounianga Kebir
323196884,4197363,cs,Om
323214594,4197593,cs,Mandaba
323224681,4197724,cs,Koule
323232150,4197821,cs,Kilato
323237001,4197884,cs,Kapka Geni
323241159,4197938,cs,Kaba
323241775,4197946,cs,Iriba
323247088,4198015,cs,Guereda
323247396,4198019,cs,Goz Merem
323248166,4198029,cs,Goz-Beida
323259870,4198181,cs,Fada
323261641,4198204,cs,Emaka
323262719,4198218,cs,Echbara
323267801,4198284,cs,Djoua
323268879,4198298,cs,Djiagalaba
323270727,4198322,cs,Djangoul
323283894,4198493,cs,Bir Taouil
323285511,4198514,cs,Birak
323285742,4198517,cs,Biltine
323291517,4198592,cs,Atirigin
323294674,4198633,cs,Ardebe
323300064,4198703,cs,Am-Timan
323302297,4198732,cs,Am Nouren
323303683,4198750,cs,Jsem Idan
323308842,4198817,cs,Am Dam
323316234,4198913,cs,Adre
323316773,4198920,cs,Ade
323318005,4198936,cs,Aboutangui
323318390,4198941,cs,Aboundouro
323320777,4198972,cs,Abgara
323321239,4198978,cs,Abéché
323321470,4198981,cs,Abdi
323323318,4199005,cs,Zouar
323324396,4199019,cs,Zerzoura
323324550,4199021,cs,Zengue
323327168,4199055,cs,Zagrarao
323328708,4199075,cs,Youmbra
323330479,4199098,cs,Yongo
323332943,4199130,cs,Yao
323337178,4199185,cs,Travo
323339796,4199219,cs,Toulousanga
323359508,4199475,cs,Tcharguen
323366977,4199572,cs,Tagale
323376371,4199694,cs,Sihouri
323382069,4199768,cs,Sarh
323382839,4199778,cs,Saraf Abouzba
323386535,4199826,cs,Salal
323391771,4199894,cs,Rig-Rig
323393850,4199921,cs,Rebe
323401319,4200018,cs,Pala
323405169,4200068,cs,Hmm Hajar
323406709,4200088,cs,Ouled Isa
323414409,4200188,cs,Ogoum
323416642,4200217,cs,Nokou
323420107,4200262,cs,Nia
323421339,4200278,cs,Ngouri
323421493,4200280,cs,Ngoumara
323425112,4200327,cs,Ngardiana
323427114,4200353,cs,Nganguiele
323427807,4200362,cs,Ngama
323427961,4200364,cs,Ngama
323432196,4200419,cs,N'Djamena
323435199,4200458,cs,Ndaba
323443900,4200571,cs,Moussoro
323448520,4200631,cs,Moundou
323449521,4200644,cs,Moulmouk
323450830,4200661,cs,Moukjile
323451600,4200671,cs,Mougoumou
323454372,4200707,cs,Mosgougou II
323457606,4200749,cs,Monouma
323458145,4200756,cs,Mongo
323458299,4200758,cs,Mondo
323461148,4200795,cs,Moissala
323465306,4200849,cs,Miresil
323472775,4200946,cs,Melfi
323475855,4200986,cs,Mechimere
323480552,4201047,cs,Mayumtoro
323485634,4201113,cs,Massenya
323486327,4201122,cs,Massa
323486404,4201123,cs,Massaguet
323487559,4201138,cs,Massi
323487790,4201141,cs,Masbala
323488021,4201144,cs,Massalassef
323488868,4201155,cs,Maro
323494181,4201224,cs,Mao
323497030,4201261,cs,Mangalme
323498570,4201281,cs,Mandelia
323511044,4201443,cs,Maimani
323512738,4201465,cs,Maikoutou
323518205,4201536,cs,Magala
323530602,4201697,cs,Letirom
323530910,4201701,cs,Lere
