id,city_id,language_key,name
324433579,4213424,bs,Khlong Thom
324433656,4213425,bs,Don Sak
324444128,4213561,bs,Mueang Yang
324448209,4213614,bs,Ban Wua Lun
324449672,4213633,bs,Ban Wat Khao
324455216,4213705,bs,ban wang hin
324460298,4213771,bs,Ban Ton Riang
324460375,4213772,bs,Ban Ton Khanun
324460914,4213779,bs,Ban Ton
324461145,4213782,bs,ban tm
324462916,4213805,bs,Ban Thung Yai
324463455,4213812,bs,Ban Thung Thiang
324464687,4213828,bs,Ban Thung Sai Khuan
324464764,4213829,bs,Thung Sai
324468768,4213881,bs,Ban Thung Lan
324469846,4213895,bs,ban thung kling
324471694,4213919,bs,ban thung hin la
324474774,4213959,bs,Ratsada
324474928,4213961,bs,Ban Tha Yai
324480549,4214034,bs,Tham Phannara
324482012,4214053,bs,ban tha
324482166,4214055,bs,Choeng Thale
324484938,4214091,bs,Ban Kluai
324487787,4214128,bs,Ban Talat Yai
324488095,4214132,bs,Ban Talat Nua
324493408,4214201,bs,ban song
324498413,4214266,bs,Ban San Pa Sak
324500415,4214292,bs,ban sam yaek
324500569,4214294,bs,Sam Roi Yot
324500723,4214296,bs,Sam Roi Yot
324506036,4214365,bs,ban say ho
324510656,4214425,bs,banri
324510964,4214429,bs,Ban Rai Yai
324519357,4214538,bs,Ban Poek
324520666,4214555,bs,Ban Pin
324526210,4214627,bs,Ban Phannarai
324531292,4214693,bs,ban san pa sak
324532909,4214714,bs,Ban Pao
324545999,4214884,bs,Ban Nuea
324546307,4214888,bs,Nopphitam
324552698,4214971,bs,Ban Nong Pradu
324557010,4215027,bs,Ban Nong Kula
324557472,4215033,bs,Ban Nong Kok
324557934,4215039,bs,Ban Nong Khrai Luang
324563401,4215110,bs,Ban Nong Bua
324563709,4215114,bs,Ban Nong Bua
324567482,4215163,bs,banna sayya
324572333,4215226,bs,ban na can
324573642,4215243,bs,Ban Na Klua Nua
324574258,4215251,bs,Ban Na Khlom
324574566,4215255,bs,Ban Na Khao Sia
324580649,4215334,bs,Ban Mun Thung
324581265,4215342,bs,Ban Muang Takua
324583498,4215371,bs,Ban Mo Nae
324585038,4215391,bs,Ban Mamuang Wan
324599283,4215576,bs,Mae Tan
324602132,4215613,bs,Ban Mae Hong Khi
324608061,4215690,bs,Ban Lao
324609909,4215714,bs,Lam Thap
324613605,4215762,bs,Ban Kruat
324618533,4215826,bs,Ban Ko
324618764,4215829,bs,Ban Kluai
324619457,4215838,bs,Ban Luang
324626849,4215934,bs,Ban Khongkha Liap
324631854,4215999,bs,ban play khlxng phuk
324635242,4216043,bs,Ban Khlong Dua
324635704,4216049,bs,Ban Khloeng Phoe Wi
324643789,4216154,bs,Ban Chong Hai
324644636,4216165,bs,Ban Huat
324646484,4216189,bs,Ban Huai Yung
324658111,4216340,bs,Ban Huai I Huak
324662577,4216398,bs,Ban Nong
324664502,4216423,bs,Ban Hat Thua
324665657,4216438,bs,ban hang khaw
324667274,4216459,bs,ban du
324672279,4216524,bs,Ban Don
324674435,4216552,bs,ban dan
324679902,4216623,bs,ban can
324693762,4216803,bs,Phrao
324693839,4216804,bs,Mae Sot
324694070,4216807,bs,Mae Ai
324694301,4216810,bs,Mae Chai
324694455,4216812,bs,Mae Chai
324694532,4216813,bs,Wiang Sa
324694686,4216815,bs,Wiang Pa Pao
324694840,4216817,bs,Wiang Chai
324694917,4216818,bs,Wat Phleng
324694994,4216819,bs,Wiang Chai
324695071,4216820,bs,Wang Nuea
324695148,4216821,bs,wang wises'
324695225,4216822,bs,Wang Nuea
324695302,4216823,bs,U Thong
324695379,4216824,bs,Thung Yai
324695456,4216825,bs,trang
324695533,4216826,bs,Thung Yai
324695610,4216827,bs,Chaung Nyi Ah Ko
324695687,4216828,bs,Thong Pha Phum
324695764,4216829,bs,Thoen
324695841,4216830,bs,Thong Pha Phum
324695918,4216831,bs,Thoen
324695995,4216832,bs,thasxngyang
324696072,4216833,bs,thasala
324696149,4216834,bs,Thap Sakae
324696226,4216835,bs,Tap Put
324696303,4216836,bs,Thap Sakae
324696380,4216837,bs,Tha Muang
324696457,4216838,bs,thaphae
324696534,4216839,bs,Tha Muang
324696611,4216840,bs,Thai Mueang
324696688,4216841,bs,thlang
324696765,4216842,bs,Thai Mueang
324696842,4216843,bs,thachang
324696919,4216844,bs,Takua Pa
324696996,4216845,bs,Takua Thung
324697073,4216846,bs,Surat Thani
324697150,4216847,bs,tak
324697227,4216848,bs,Suan Phueng
324697304,4216849,bs,Sop Prap
324697381,4216850,bs,Suan Phueng
324697458,4216851,bs,Soem Ngam
324697535,4216852,bs,Si Satchanalai
324697612,4216853,bs,Si Satchanalai
324697689,4216854,bs,Si Sawat
324697766,4216855,bs,Si Nakhon
324697843,4216856,bs,Sikao
324697920,4216857,bs,Si Banphot
324697997,4216858,bs,Sawi
324698074,4216859,bs,Si Banphot
324698151,4216860,bs,Sawang Arom
324698305,4216862,bs,Sawankhalok
324698382,4216863,bs,San Sai
324698459,4216864,bs,sarphi
324698536,4216865,bs,San Sai
324698613,4216866,bs,San Pa Tong
324698690,4216867,bs,sankaphaeng
324698767,4216868,bs,San Gabriel
324698844,4216869,bs,Sai Yok
324698921,4216870,bs,Sai Ngam
324698998,4216871,bs,Ron Phibun
324699075,4216872,bs,Ratchaburi
324699152,4216873,bs,Ranong
324699229,4216874,bs,Ratchaburi
324699306,4216875,bs,Prachuap Khiri Khan
324699383,4216876,bs,pranburi
324699460,4216877,bs,Prachuap Khiri Khan
324699537,4216878,bs,playphraya
324699614,4216879,bs,tha kham
324699691,4216880,bs,phuket
324699768,4216881,bs,phrhmkhiri
324699845,4216882,bs,Phra Khanong
324699999,4216884,bs,phrankratay
324700153,4216886,bs,photharam
324700230,4216887,bs,Phayao
324700307,4216888,bs,phipun
324700384,4216889,bs,Phanom Thuan
324700461,4216890,bs,Phanom
324700538,4216891,bs,Phanom Thuan
324700615,4216892,bs,Phanom
324700692,4216893,bs,Phum Kang Nak
324700769,4216894,bs,phan
324700846,4216895,bs,Patio
324700923,4216896,bs,Pskan
324701077,4216898,bs,Pai
324701154,4216899,bs,Om Koi
324701231,4216900,bs,Nong Ya Plong
324701308,4216901,bs,Nong Kha Yang
324701385,4216902,bs,Nong Chang
324701462,4216903,bs,Ngao
324701539,4216904,bs,Nakhon Si Thammarat
324701616,4216905,bs,Ngao
324701693,4216906,bs,Nakhon Si Thammarat
324701847,4216908,bs,Na Bon
324701924,4216909,bs,Mueang Pan
324702078,4216911,bs,maetha
324702155,4216912,bs,maetha
324702309,4216914,bs,Mae Sai
324702386,4216915,bs,Mae Sot
324702463,4216916,bs,Mae Sai
324702540,4216917,bs,Mae Ramat
324702694,4216919,bs,Mae Ramat
324702771,4216920,bs,maephrik
324702848,4216921,bs,Mae Hong Son
324702925,4216922,bs,Mae La Noi
324703002,4216923,bs,Mae Hong Son
324703079,4216924,bs,Mehrjan
324703156,4216925,bs,maecaem
324703233,4216926,bs,Dugo
324703310,4216927,bs,li
324703387,4216928,bs,Lao Khwan
324703464,4216929,bs,Lat Yao
324703541,4216930,bs,Lao Khwan
324703618,4216931,bs,lan ska
324703695,4216932,bs,lansak
324703772,4216933,bs,Lang Suan
324703849,4216934,bs,langu
324703926,4216935,bs,Lang Suan
324704003,4216936,bs,laphun
324704080,4216937,bs,lapang
324704157,4216938,bs,lamae
324704234,4216939,bs,Kui Buri
324704311,4216940,bs,kraburi
324704388,4216941,bs,Krabi
324704465,4216942,bs,Kong Krailat
324704542,4216943,bs,Ko Lanta
324704619,4216944,bs,Kong Krailat
324704696,4216945,bs,Ko Kha
324704850,4216947,bs,Khun Yuam
324704927,4216948,bs,Khlong Thom
324705004,4216949,bs,Khlong Lan
324705081,4216950,bs,Khlong Thom
324705158,4216951,bs,Tha Khanon
324705235,4216952,bs,khlxngkhlung
324705312,4216953,bs,Khian Sa
324705389,4216954,bs,Khao Yoi
324705466,4216955,bs,Kao Phanom
324705543,4216956,bs,Khao Yoi
324705620,4216957,bs,Kathu
324705697,4216958,bs,khanuwrlaks'buri
324705774,4216959,bs,Kapoe
324705851,4216960,bs,kapng
324705928,4216961,bs,Kančanadit
324706005,4216962,bs,Kha Naung
324706082,4216963,bs,Kamphaeng Phet
324706159,4216964,bs,Huai Yot
324706236,4216965,bs,Huai Khot
324706313,4216966,bs,Hua Hin
324706390,4216967,bs,Hot
324706467,4216968,bs,Hua Hin
324706544,4216969,bs,Hot
324706621,4216970,bs,hangdng
324706698,4216971,bs,hangchatr
324706775,4216972,bs,Doi Tao
324706852,4216973,bs,Dok Kham Tai
324706929,4216974,bs,Doi Tao
324707006,4216975,bs,Doi Saket
324707160,4216977,bs,danchang
324707237,4216978,bs,Čom Thong
324707314,4216979,bs,Chumphon
324707391,4216980,bs,Čiang Rai
324707468,4216981,bs,Chiang Mai
324707545,4216982,bs,Chiang Dao
324707622,4216983,bs,Chiang Mai
324707699,4216984,bs,Chiang Dao
324707776,4216985,bs,Chai Buri
324707853,4216986,bs,Čae Hom
324707930,4216987,bs,Cha-am
324708007,4216988,bs,Bo Phloi
324708084,4216989,bs,Cha-am
324708161,4216990,bs,Bo Phloi
324710471,4217020,bs,Ban Yang Piang Tai
324713936,4217065,bs,Wiang Nuea
324714706,4217075,bs,ban hwa thon
324715091,4217080,bs,ban wang yen
324716631,4217100,bs,ban wang tak lad
324717016,4217105,bs,Ban Wang Sapparot
324717863,4217116,bs,ban wang phang
324722483,4217176,bs,ban wang din
324722560,4217177,bs,wang chin
324722637,4217178,bs,Wang Chao
324723946,4217195,bs,Ban Uan
324724023,4217196,bs,Ban Ueam
324724100,4217197,bs,ban tun klang
324725409,4217214,bs,ban tn phung
324729952,4217273,bs,thunghwa
324735342,4217343,bs,ban thung ma san
324740039,4217404,bs,ban thung kha
324740424,4217409,bs,thunghawchang
324752205,4217562,bs,Ban Thap Chak
324754900,4217597,bs,Thai Mueang
324757749,4217634,bs,ban tha khway
324763755,4217712,bs,Ban Tan Takhum
324764217,4217718,bs,Ban Tanot
324765911,4217740,bs,Ban Talat Takua Pa
324766912,4217753,bs,Banak
324767451,4217760,bs,ban ta
324767836,4217765,bs,Ko Samui
324770069,4217794,bs,Ban Sop Pat
324771147,4217808,bs,ban mae kha
324773919,4217844,bs,Ban Ko Sire
324774150,4217847,bs,ban singh
324779848,4217921,bs,Ban San Nong
324780618,4217931,bs,ban san klang
324784699,4217984,bs,ban sri kha
324788857,4218038,bs,Ban Saen Chai Kao
324788934,4218039,bs,Ban Sadet
324789088,4218041,bs,Ban Sa Bua
324790012,4218053,bs,Ban Nong Riang
324792168,4218081,bs,Rawai
324796249,4218134,bs,banri
324798097,4218158,bs,Ban Pong Yaeng Nai
324798636,4218165,bs,Ban Pong Takhlong
324800792,4218193,bs,Ban Pong Tao
324801793,4218206,bs,Ban Pong
324804719,4218244,bs,Ban Phu Noi
324807183,4218276,bs,Ban Pho
324807337,4218278,bs,Banphot Phisai
324808569,4218294,bs,ban phru ni
324813959,4218364,bs,ban pa tum dxn
324814113,4218366,bs,Ban Pa Tong Luang
324816038,4218391,bs,ban pa phlu
324817809,4218414,bs,Ban Pang Muang
324818810,4218427,bs,ban pang
324819349,4218434,bs,Ban Pa Miang
324819965,4218442,bs,ban pa lea
324820581,4218450,bs,ban pak say
324828204,4218549,bs,Ban Pa Ha
324828281,4218550,bs,ban pa ha
324828743,4218556,bs,ban paen
324830668,4218581,bs,Nuea Khlong
324830822,4218583,bs,Nuea Khlong
324832978,4218611,bs,Ban Nong Yai Da
324836674,4218659,bs,Ban Nong Suea
324840832,4218713,bs,Nong Prue
324842295,4218732,bs,Ban Nong Plalai
324843835,4218752,bs,ban hnxng phang tru
324846299,4218784,bs,Ban Muang
324846376,4218785,bs,Ban Nong Muang
324847300,4218797,bs,Nong Mamong
324850072,4218833,bs,Ban Nong Kraduk Nuea
324853845,4218882,bs,Ban Nong Kha Nang
324854923,4218896,bs,Ban Nong Khaem
324860313,4218966,bs,Ban Nong Chok Noi
324863008,4219001,bs,Ban Nong Bua
324865318,4219031,bs,ban nxk na
324866319,4219044,bs,Noen Kham
324867936,4219065,bs,Ban Na Yang
324870554,4219099,bs,Ban Na San
324871478,4219111,bs,Ban Na Prue
324875328,4219161,bs,ban na thong
324878408,4219201,bs,Ban Nam Dip Luang
324882566,4219255,bs,Ban Na Kha
324885646,4219295,bs,Ban Na Doem
324886493,4219306,bs,banna
324888495,4219332,bs,Ban Mueang Noi
