id,city_id,language_key,name
331715324,4307992,es,Matmata
331715709,4307997,es,Zaouiet Susa
331716017,4308001,es,Zaouiet Kountech
331716094,4308002,es,Amdoun
331716248,4308004,es,Zaouiet Azmour
331716479,4308007,es,Zaouiat Djedidi
331716864,4308012,es,Zriba
331717095,4308015,es,Zannouch
331717172,4308016,es,Souassi
331717326,4308018,es,Zaafrane
331717403,4308019,es,Zaghouan
331717480,4308020,es,Zaafrane
331717788,4308024,es,Wadi Maliz
331718019,4308027,es,Oued Lill
331718096,4308028,es,Utique
331718250,4308030,es,Utique
331718558,4308034,es,molares
331718635,4308035,es,Touza
331718866,4308038,es,Túnez
331719328,4308044,es,Tinja
331719636,4308048,es,Telepte
331719790,4308050,es,Telepte
331720175,4308055,es,Tazarka
331720252,4308056,es,Tozeur
331720406,4308058,es,Tataouine
331720483,4308059,es,Testour
331720791,4308063,es,Taguelmit
331721022,4308066,es,Thala
331721176,4308068,es,Takelsa
331721330,4308070,es,Takelsa
331721407,4308071,es,Tajerouine
331721715,4308075,es,Teboulbou
331721792,4308076,es,Tebulba
331721869,4308077,es,Tabarka
331721946,4308078,es,Susa
331722023,4308079,es,Tabarka
331722100,4308080,es,Susa
331722485,4308085,es,Sbeitla
331722562,4308086,es,sucra
331722639,4308087,es,Sbeitla
331722947,4308091,es,Siliana
331723101,4308093,es,Sidi Amor Bou Hajela
331723178,4308094,es,Sidi Alouane
331723255,4308095,es,Sidi Tabet
331724333,4308109,es,Sidi Bouzid
331724641,4308113,es,Sidi Bou Rouis
331724949,4308117,es,Sidi Ben Nour
331725103,4308119,es,Sidi Ben Nour
331725334,4308122,es,Sidi ez Zaouem
331725411,4308123,es,Sidi Aich
331725950,4308130,es,Sidi Ameur
331726797,4308141,es,Sidi el Hani
331727028,4308144,es,Sidi Bou Said
331727105,4308145,es,Sidi Abid
331727644,4308152,es,chorbano
331727952,4308156,es,cheylus
331728337,4308161,es,Chebica
331728491,4308163,es,Sedouikch
331728799,4308167,es,Sakiet Sidi Youssef
331728876,4308168,es,Skánes
331728953,4308169,es,Sakiet ed Daier
331729030,4308170,es,Skánes
331729261,4308173,es,Sejenane
331729415,4308175,es,Saint-Germain
331729877,4308181,es,Sfax
331730108,4308184,es,Sbiba
