id,city_id,language_key,name
331865306,4309940,ar,أديغيزيل
331865383,4309941,ar,بايرلي
331865614,4309944,ar,\N
331865691,4309945,ar,كَرَِسَ
331865845,4309947,ar,زُلفِكَر
331865999,4309949,ar,زاكوران
331866076,4309950,ar,زُگَپَ
331866153,4309951,ar,ينيكاي
331866230,4309952,ar,أكاركوي
331866461,4309955,ar,تاسليدير
331866538,4309956,ar,زورلار
331866846,4309960,ar,غوينيباكان
331866923,4309961,ar,يلدس
331867000,4309962,ar,َككَگِدِك
331867154,4309964,ar,\N
331867231,4309965,ar,زوجريجنيك
331867308,4309966,ar,زوغريكيلكوم
331867385,4309967,ar,\N
331867462,4309968,ar,جويرليك
331867539,4309969,ar,ميسيباجلاري
331867616,4309970,ar,كَربَستِ
331867770,4309972,ar,هوسوبا
331867847,4309973,ar,هوسوبا
331867924,4309974,ar,هوسوبا
331868001,4309975,ar,كَيَدَگ
331868078,4309976,ar,هوسوبا
331868232,4309978,ar,زيارة
331868386,4309980,ar,هوسوبا
331868463,4309981,ar,زِيَنلَر
331868848,4309986,ar,زيفينكسيليك
331868925,4309987,ar,أكينجي
331869079,4309989,ar,دِمِرسَبَن
331869156,4309990,ar,\N
331869387,4309993,ar,زِرلَنكَيَ
331869464,4309994,ar,كوجوكتاس
331869541,4309995,ar,جيريس
331869618,4309996,ar,يايكلي
331869695,4309997,ar,زيريكلي
331870003,4310001,ar,يُكُسبَسِ
331870234,4310004,ar,زِنسِرلِكُيُ
331870311,4310005,ar,زِنسِرلِكُيُ
331870388,4310006,ar,زِنسِرلِ
331870465,4310007,ar,زِنسِركِرَن
331870542,4310008,ar,زنسير
331870696,4310010,ar,\N
331870773,4310011,ar,\N
331870927,4310013,ar,كَرسِبَگلَر
331871081,4310015,ar,سِسِكَلَن
331871312,4310018,ar,زيجاك
331871389,4310019,ar,ينيكوي
331871620,4310022,ar,إكيدجيرمن
331871697,4310023,ar,َكسَرَي
331871774,4310024,ar,زيتينليك
331871851,4310025,ar,يَڤرُدُگَن
331872005,4310027,ar,إرجوينكوي
331872082,4310028,ar,زيتينلي
331872236,4310030,ar,زيتينلي
331872313,4310031,ar,زيتينلي
331872390,4310032,ar,زيتينلي
331872467,4310033,ar,زيتينلي
331872544,4310034,ar,زيتين
331872621,4310035,ar,زيتينكوي
331872698,4310036,ar,زيتينلي
331872775,4310037,ar,زيتينوفا
331872852,4310038,ar,زيتينكوي
331872929,4310039,ar,زيتينكوي
331873006,4310040,ar,زيتينكوي
331873160,4310042,ar,زيرك
331873237,4310043,ar,يسيلكوي
331873314,4310044,ar,زينيلي
331873391,4310045,ar,\N
331873468,4310046,ar,أولوكلو
331873545,4310047,ar,أوغراك
331873622,4310048,ar,بويوك حسن
331873776,4310050,ar,كيليكليايلا
331873853,4310051,ar,زيبيككاييري
331873930,4310052,ar,زي
331874007,4310053,ar,أورتاكشي
331874084,4310054,ar,زيفكير
331874161,4310055,ar,سِرمَلِ
331874392,4310058,ar,كُسلُكَ
331874700,4310062,ar,زِردَلِلِك
331874777,4310063,ar,زردالي
331875085,4310067,ar,زنكي
331875239,4310069,ar,زينجن
331875393,4310071,ar,\N
331875470,4310072,ar,أوتلوكا
331875547,4310073,ar,دُرَنتَس
331875624,4310074,ar,أوتلوكا
331875855,4310077,ar,تاسليكوي
331876086,4310080,ar,يوكاري ينيكاج
331876163,4310081,ar,دَملَپِنَر
331876240,4310082,ar,زازالار
331876317,4310083,ar,كُسلَر
331876548,4310086,ar,زارا
331876702,4310088,ar,زارة
331876779,4310089,ar,زارا
331876856,4310090,ar,سينجيلي
331876933,4310091,ar,بيدالي
331877010,4310092,ar,بايركوي
331877087,4310093,ar,يسيلدر
331877164,4310094,ar,سيتاك
331877472,4310098,ar,زَهمَن
331877857,4310103,ar,زَگَرلِ
331877934,4310104,ar,\N
331878011,4310105,ar,\N
331878088,4310106,ar,\N
331878165,4310107,ar,زَفِرهَمِت
331878396,4310110,ar,يوزورين
331878473,4310111,ar,يُزُكبَسِ
331878550,4310112,ar,يويزيف
331878627,4310113,ar,يُزبَسِ
331878781,4310115,ar,\N
331878858,4310116,ar,يوفاتيبي
331878935,4310117,ar,سيكيرديري
331879012,4310118,ar,يُڤَلِكَيِر
331879089,4310119,ar,يوفالي
331879166,4310120,ar,يوفالي
331879243,4310121,ar,يوفالي
331879320,4310122,ar,يوفالي
331879551,4310125,ar,يُڤَلَك
331879628,4310126,ar,مادن
331879705,4310127,ar,يُڤَكلِ
331879859,4310129,ar,يُڤَدَمِ
331880013,4310131,ar,يوفاجيك
331880090,4310132,ar,يوفاجيك
331880167,4310133,ar,اكاسير
331880244,4310134,ar,يوفاجيك
331880321,4310135,ar,يوفاجيك
331880475,4310137,ar,يوفاجيك
331880629,4310139,ar,يُڤَبَسِ
331880860,4310142,ar,مادن
331880937,4310143,ar,مادن
331881014,4310144,ar,يوفاكوي
331881091,4310145,ar,يوفاكوي
331881322,4310148,ar,مادن
331881399,4310149,ar,يُسُفُسَگِ
331881553,4310151,ar,يُسُفلُ
331881630,4310152,ar,يُسُفلَر
331881784,4310154,ar,كوكبينار
331881861,4310155,ar,يوسفكامي
331882015,4310157,ar,يوسفكا
331882092,4310158,ar,يوسفبي
331882169,4310159,ar,يُسُفَگَ
331882246,4310160,ar,يويرويكايا
331882323,4310161,ar,يويرويكوغلو
331882631,4310165,ar,\N
331882708,4310166,ar,كيلافوزلار
331882785,4310167,ar,يويرويكاكاراكاويرين
331882862,4310168,ar,\N
331882939,4310169,ar,يويروككاميلي
331883016,4310170,ar,يركلر
331883093,4310171,ar,\N
331883170,4310172,ar,يورسيكلير
331883247,4310173,ar,\N
331883324,4310174,ar,يُرتتُتَن
331883401,4310175,ar,يورتيبي
331883478,4310176,ar,يورتوفين
331883555,4310177,ar,يورديري
331883632,4310178,ar,يورتبيلي
331883709,4310179,ar,يُرتبَسِ
331883863,4310181,ar,يُرتبَسِ
331883940,4310182,ar,يُرتبَسِ
331884017,4310183,ar,ييجيتلير
331884094,4310184,ar,يورغويك
331884171,4310185,ar,يويريلي
331884248,4310186,ar,يوريكفيرين
331884325,4310187,ar,يوريكفيرين
331884402,4310188,ar,يويريكلي
331884479,4310189,ar,يويريكلي
331884556,4310190,ar,يويريكلي
331884864,4310194,ar,\N
331884941,4310195,ar,يوريجيل
331885018,4310196,ar,يوريجيل
331885095,4310197,ar,يوريجيل
331885172,4310198,ar,يوريجيل
331885249,4310199,ar,يوريجيل
331885326,4310200,ar,يوريجيل
331885403,4310201,ar,يونوسويرين
331885480,4310202,ar,يونس أوغلو
331885634,4310204,ar,تُكمَنَكلِ
331885711,4310205,ar,يُنُسلَر
331885788,4310206,ar,يُنُسلَر
331885865,4310207,ar,يُنُسلَر
331885942,4310208,ar,مسخانو
331886019,4310209,ar,يُنُسلَر
331886096,4310210,ar,يُنُسهَن
331886250,4310212,ar,يُنُس
331886327,4310213,ar,يونتداجيكويسيلر
331886404,4310214,ar,يوينورين
331886481,4310215,ar,يوينورين
331886558,4310216,ar,ألفار
331886635,4310217,ar,يوكاري ديرين
331886712,4310218,ar,يُنكُسَك
331886866,4310220,ar,يومورتاتيبي
331886943,4310221,ar,يوناق
331887020,4310222,ar,يومورتاتيبي
331887097,4310223,ar,يومورتاليك
331887174,4310224,ar,يُمُكلَر
331887251,4310225,ar,\N
331887328,4310226,ar,يومروتيبي
331887405,4310227,ar,يُمرُتَس
331887636,4310230,ar,سلمانلي
331887713,4310231,ar,\N
331887790,4310232,ar,يُمرُكلُ
331887944,4310234,ar,يُمرُكَ
331888021,4310235,ar,يُمَكلِسِرِت
331888252,4310238,ar,يوماكلي
331888406,4310240,ar,يسيلفادي
331888483,4310241,ar,يُمَكلَر
331888560,4310242,ar,يوكسكوفا
331888714,4310244,ar,يوكسكوفا
331888791,4310245,ar,يويكسيكويرين
331888868,4310246,ar,يوكسيكلي
331888945,4310247,ar,يوكسيك
331889022,4310248,ar,يويكسيكوي
331889099,4310249,ar,يويكسيكوي
331889407,4310253,ar,يوكاريزرديجي
331889715,4310257,ar,يُكَرِ يُرتكُ
331889792,4310258,ar,يوكاري يورجانلي
331889869,4310259,ar,يسيلكوي
331889946,4310260,ar,تافسانتيبي
331890023,4310261,ar,يسيلكوي
331890100,4310262,ar,يوكاري ينيكوي
331890177,4310263,ar,يوكاري ينيس
331890254,4310264,ar,يوكاريينيس
331890485,4310267,ar,يوكاري ياريمكا
331890562,4310268,ar,يُكَرِ يَنِكتَس
331890716,4310270,ar,يُكَرِيَهيَسَرَي
331890793,4310271,ar,يُكَرِ يَگمُرلُ
331890870,4310272,ar,يوكارياجسيلار
331890947,4310273,ar,يُكَرِ يَبَنلِ
331891178,4310276,ar,يُكَرِ ُلُپِنَر
331891255,4310277,ar,يُكَرِ تُرَلِ
331891332,4310278,ar,يُكَرِ تُلگَلِ
331891409,4310279,ar,يوكاري توفيق
331891486,4310280,ar,يُكَرِ تُپرَكلِ
331891563,4310281,ar,ينيكوي
331891640,4310282,ar,يُكَرِتِرتَر
331891794,4310284,ar,يوكاري بيجديس
331891871,4310285,ar,يوكاري تاسليكاي
331891948,4310286,ar,يُكَرِتَندِر
331892025,4310287,ar,يُكَرِ سُپهَن
331892102,4310288,ar,يُكَرِ سُلمِنلِ
331892333,4310291,ar,يوكاري سويلميز
331892487,4310293,ar,يوكاريسويجويتوينو
331892641,4310295,ar,كوفانليك
331892718,4310296,ar,يوكاري سوجيت
331892795,4310297,ar,كوفانليك
331893026,4310300,ar,كَيرَنلِ
331893103,4310301,ar,يوكاريسيت
331893180,4310302,ar,يُكَرِبَگ
331893257,4310303,ar,يوكاري سيهلر
331893565,4310307,ar,كَڤَكُلُگُ
331893642,4310308,ar,يُكَرِ سِلِملِ
331893719,4310309,ar,يوكاريساز
331893796,4310310,ar,يوكاريسازسيجاز
331893873,4310311,ar,يوكاريساز
331893950,4310312,ar,ساريميتلر
331894027,4310313,ar,يُكَرِسَرِكَيَ
331894104,4310314,ar,يوكاريوفاسيك
331894181,4310315,ar,يُكَرِسَملِ
331894258,4310316,ar,تنزيري فوقاني
331894335,4310317,ar,يُكَرِ سَگمَللِ
331894412,4310318,ar,يُكَرِ پُللُيَزِ
331894489,4310319,ar,بيريبيلي
331894566,4310320,ar,يُكَرِپِنَربَسِ
331894874,4310324,ar,يوكاري أوزديك
331894951,4310325,ar,أوتلوكا
331895028,4310326,ar,يقري عروقك
331895182,4310328,ar,يوكاريوبا
331895413,4310331,ar,يُكَرِكَنَتلِ
331895490,4310332,ar,يُكَرِنَسِرلِ
331895567,4310333,ar,يُكَرِ نَرلِكَ
331895644,4310334,ar,يُكَرِ َيبَستِ
331895798,4310336,ar,يُكَرِ مُتلُ
331895875,4310337,ar,يُكَرِمُسَلَر
331895952,4310338,ar,يُكَرِمُلك
331896183,4310341,ar,يُكَرِ مُللَهَسَن
331896568,4310346,ar,\N
331896876,4310350,ar,يُكَرِ مَهمَتلَر
331896953,4310351,ar,يُكَرِ يُفكَلِ
331897030,4310352,ar,ديميرتيبي
331897107,4310353,ar,يُكَرِكُزفِندِك
331897184,4310354,ar,يُكَرِ كُيُكَك
331897261,4310355,ar,\N
331897338,4310356,ar,يُكَرِ كُپكِرَن
331897569,4310359,ar,يوكاري كوبيك
331897723,4310361,ar,كوزلوكا
331897800,4310362,ar,يُكَرِ كَزَنلَر
331897877,4310363,ar,كويونلو
331897954,4310364,ar,يُكَرِكُيمَت
331898031,4310365,ar,جوموسديبيك
331898108,4310366,ar,يوكاري يايلا
331898262,4310368,ar,كوكاك
331898339,4310369,ar,يوكاري كوسك
331898416,4310370,ar,\N
331898493,4310371,ar,بويوك كويسيبالسي
331898724,4310374,ar,يُكَرِكُنَك
331899032,4310378,ar,يُكَرِكُكَيَتَك
331899186,4310380,ar,گُلپِنَر
331899263,4310381,ar,يُكَرِ كِزِلكَلِ
331899340,4310382,ar,يوكاريكيزيلسيفليك
331899417,4310383,ar,يُكَرِ كِزِلكَ
331899494,4310384,ar,يوكاريكيزيلكا
331899571,4310385,ar,يُكَرِكِزِلكَ
331899802,4310388,ar,يُكَرِكِرلِ
331899879,4310389,ar,بَتِكَرَكُك
331899956,4310390,ar,يُكَرِكِرِكلَر
331900110,4310392,ar,دويغينكويلر
331900187,4310393,ar,يُكَرِكِسِك
331900495,4310397,ar,يوكاريكبن
331900649,4310399,ar,كوبانداجي
331900880,4310402,ar,يُكَرِكَيَسِك
331901342,4310408,ar,كَسِملِ
331901419,4310409,ar,يُكَرِكَسِكَرَ
331901496,4310410,ar,يوكاريايلابيل
331901573,4310411,ar,يُكَرِ كَرتَللِ
331901650,4310412,ar,يُكَرِكَرتَل
331901881,4310415,ar,يُكَرِ كَرگَلِك
331901958,4310416,ar,كارجابوكيو
331902035,4310417,ar,يُكَرِ كَرَڤَِز
331902189,4310419,ar,يوكاكارامان
331902266,4310420,ar,كاراوجلان
331902343,4310421,ar,يوكاكارامان
331902497,4310423,ar,يوكاريكاراغويز
331902574,4310424,ar,يُكَرِكَرَهَسِلِ
331902651,4310425,ar,يوكاريكاراغويز
331902882,4310428,ar,يوكاري كارافاكيلي
331902959,4310429,ar,يوكاري كاراديري
331903036,4310430,ar,كوكابينار
331903113,4310431,ar,يُكَرِ كَرَبُي
331903190,4310432,ar,يُكَرِ كَرَبَس
331903344,4310434,ar,كُمَسلِ
331903421,4310435,ar,يوكاري كاجلار
331903575,4310437,ar,يوكاري كاجلار
331904037,4310443,ar,\N
331904114,4310444,ar,كويسيجيز
331904345,4310447,ar,جيديكتيبي
331904422,4310448,ar,جوهر يوكاري
331904499,4310449,ar,يُكَرِهُيُك
331904576,4310450,ar,جوهر يوكاري
331904730,4310452,ar,يوكاري حميدان
331904807,4310453,ar,هَيلَمَز
331905038,4310456,ar,يُكَرِهَرِم
331905115,4310457,ar,يوكاري هانبيي
331905192,4310458,ar,يُكَرِهُمُرلُ
331905269,4310459,ar,يُكَرِهَسِبِكِر
331905346,4310460,ar,يُكَرِهَبِب
331905577,4310463,ar,يوكاري جينيسي
331905654,4310464,ar,يوكاري جيلوسي
331905731,4310465,ar,يوكاري جيلديرين
331905808,4310466,ar,يوكاري جيلبهجة
331905885,4310467,ar,يوكاري جوزلوس
331905962,4310468,ar,\N
331906039,4310469,ar,يوكاري جونديلين
331906116,4310470,ar,يوكاري جويلالان
331906193,4310471,ar,يوكاريجوكديري
331906270,4310472,ar,يوكاري جوكلو
331906347,4310473,ar,يوكاري جوكميز
331906424,4310474,ar,يوكاريجوسيك
331906732,4310478,ar,جيميسيك
331906963,4310481,ar,يُكَرِفِندِكلِ
331907271,4310485,ar,يوكاري إيسنلر
331907348,4310486,ar,يوكاري إيسن
331907425,4310487,ar,َرِنلِ
331907502,4310488,ar,يوكاري المحاسيلي
331907579,4310489,ar,أكبيلك
331907656,4310490,ar,دويجولو
331907733,4310491,ar,ديجيرمين
331907810,4310492,ar,يوكاريكيجيك
331907964,4310494,ar,يوكاري دوزميدان
331908041,4310495,ar,\N
331908118,4310496,ar,يوكاري دولوكا
331908272,4310498,ar,يُكَرِدُدَس
331908426,4310500,ar,يُكَرِ دُلَيلَر
331908503,4310501,ar,يُكَرِدُلَي
331908657,4310503,ar,يُكَرِدِنِك
331908811,4310505,ar,يُكَرِ دِكمِ
331908965,4310507,ar,يُكَرِ دِمِرتَس
331909042,4310508,ar,دميرسي
331909350,4310512,ar,هَرمَندَلِ
331909581,4310515,ar,يوكاري دانيزمنت
331909658,4310516,ar,يُكَرِدَنِسمِنت
331909735,4310517,ar,يوكاري دالويرين
331909889,4310519,ar,يوقاريطاغليجة
331909966,4310520,ar,يوكاريداجدير
331910120,4310522,ar,يُكَرِِ كُمَ
331910197,4310523,ar,يُكَرِكُلهَلِ
331910351,4310525,ar,يوكاري كوبلو
331910505,4310527,ar,يوكاري سينبولات
331910582,4310528,ar,يوكاري إنسيرلي
331910736,4310530,ar,يوكاري جيهانبي
331910813,4310531,ar,يُكَرِ سِگِلگَن
331910890,4310532,ar,يُكَرِسِگِل
331910967,4310533,ar,يوكاريسيفتليك
331911044,4310534,ar,يُكَرِسِسِكلِ
331911275,4310537,ar,يُكَرِكَيكُيُ
331911352,4310538,ar,يوكاري كايبيلين
331911506,4310540,ar,يُكَرِكَڤُس
331911583,4310541,ar,يُكَرِ كَڤدَرلِك
331911660,4310542,ar,يُكَرِكَتمَ
331911891,4310545,ar,يوكاري كاريكسي
331911968,4310546,ar,يُكَرِ كَردَك
331912199,4310549,ar,يُكَرِكَمُرلُ
331912276,4310550,ar,يوكاريكاموركو
331912507,4310553,ar,يُكَرِ كَكمَك
331912584,4310554,ar,يُكَرِ كَكمَك
331912738,4310556,ar,يُكَرِكَگلَن
331912969,4310559,ar,يُكَرِبُزكُيُ
331913123,4310561,ar,يوكاري بوراندير
331913200,4310562,ar,يُكَرِبُگَز
331913508,4310566,ar,يوكاري بيلربي
331913585,4310567,ar,بيجرلي
331913662,4310568,ar,\N
331913739,4310569,ar,كوزاك
331913893,4310571,ar,يوكاريبليمديك
331913970,4310572,ar,ألاكوك
331914047,4310573,ar,يُكَرِ بَيِندِر
331914124,4310574,ar,يُكَرِ بَللِك
331914278,4310576,ar,يُكَرِ بَلسِكلِ
331914355,4310577,ar,يُكَرِيِلدِزلِ
331914432,4310578,ar,ياماكلار
331914509,4310579,ar,يُكَرِبَگ
331914586,4310580,ar,يُكَرِبَدِملِ
331914663,4310581,ar,يُكَرَِزِكلِ
331914740,4310582,ar,دوغانباجي
331914817,4310583,ar,يوكارايسوك
331914894,4310584,ar,يوكارياجسيلار
331914971,4310585,ar,يوكاري كامورديري
331915048,4310586,ar,يوكاري ياكاسيك
331915202,4310588,ar,يُكَرِ َرگِت
331915356,4310590,ar,يوكاراليكوماك
331915510,4310592,ar,يُكَرِ َلَدَگ
331915587,4310593,ar,يُكَرِ َكپَزَر
331915664,4310594,ar,يُكَرَِكِن
331915741,4310595,ar,يوكاري أكاجيديك
331915818,4310596,ar,يسيلفادي
331915895,4310597,ar,يوكارياجاديف
331915972,4310598,ar,يوكاريادا
331916126,4310600,ar,يُدَن
331916203,4310601,ar,أولاكلي
331916280,4310602,ar,يويسيتيبي
331916357,4310603,ar,يويسيبينار
331916434,4310604,ar,\N
331916511,4310605,ar,\N
331916665,4310607,ar,يويسيكوي
331916742,4310608,ar,يويسيكوناك
331916819,4310609,ar,يويسيكابي
331916896,4310610,ar,يويكيبيلين
331917050,4310612,ar,يويسيباغ
331917127,4310613,ar,يويسيباغ
331917358,4310616,ar,يوزياتاجي
331917435,4310617,ar,يوزغات
331917666,4310620,ar,َككُك
331917743,4310621,ar,يورسيكلير
331917820,4310622,ar,يَزپِنَرِ
331917897,4310623,ar,\N
331917974,4310624,ar,يُرگَنكَيِر
331918051,4310625,ar,ألتينوفا
331918128,4310626,ar,يورجا
331918205,4310627,ar,يويري
331918282,4310628,ar,يورازلار
331918359,4310629,ar,يُنتُكيَزِ
331918436,4310630,ar,يوينلو
331918513,4310631,ar,أنتوبراك
331918667,4310633,ar,يونكابينار
331918744,4310634,ar,يونكاليويز
331918898,4310636,ar,يونكاليك
331919052,4310638,ar,يُنكَلِبَيِر
331919129,4310639,ar,يونكالي
331919206,4310640,ar,يونكالي
331919283,4310641,ar,يونكالي
331919514,4310644,ar,يونكالي
331919668,4310646,ar,يونكالي
331919745,4310647,ar,يونكالي
331919899,4310649,ar,يونكاباييري
331919976,4310650,ar,يونكا
331920053,4310651,ar,يُليَنِ
331920130,4310652,ar,يولفيرين
331920207,4310653,ar,يولويستو
331920284,4310654,ar,يولويستو
331920361,4310655,ar,يولويستو
331920438,4310656,ar,يولويستو
331920515,4310657,ar,يولويستو
331920669,4310659,ar,يولورين
331920746,4310660,ar,يولورين
331920900,4310662,ar,يُللُيَزِ
331921131,4310665,ar,يُللَربَسِ
331921208,4310666,ar,يولكوناك
331921285,4310667,ar,يولكايا
331921362,4310668,ar,يوليندي
331921439,4310669,ar,يولغوزلر
331921516,4310670,ar,\N
331921593,4310671,ar,\N
331921670,4310672,ar,\N
331921747,4310673,ar,يولدوراجي
331921824,4310674,ar,يولدويندو
331921901,4310675,ar,يولديري
331921978,4310676,ar,يولديري
331922055,4310677,ar,يولكوبيناري
331922132,4310678,ar,يولكوبينار
331922209,4310679,ar,يُلكُلَر
331922286,4310680,ar,أوجوزكوي
331922363,4310681,ar,أوجوزكوي
331922440,4310682,ar,أوجوزكوي
331922517,4310683,ar,أوجوزكوي
331922594,4310684,ar,أوجوزكوي
331922671,4310685,ar,يولبولان
