id,city_id,language_key,name
335919941,4362597,nl,Woodlands
335920249,4362601,nl,Williamsville
335920480,4362604,nl,Waterloo
335920711,4362607,nl,Vistabella
335920865,4362609,nl,Vessigny
335921019,4362611,nl,Valencia
335921096,4362612,nl,Valsayn
335921173,4362613,nl,Valencia
335921943,4362623,nl,Tunapuna
335922020,4362624,nl,Tortuga
335922174,4362626,nl,Toco
335922251,4362627,nl,Todd's Road
335922328,4362628,nl,Toco
335922713,4362633,nl,Talparo
335922790,4362634,nl,Tafelland
335922867,4362635,nl,Tabaquite
335922944,4362636,nl,Sum Sum Hill
335923406,4362642,nl,"Speyside, Trinidad and Tobago"
335923483,4362643,nl,South Oropouche
335923560,4362644,nl,Sierra Leone
335923637,4362645,nl,Siparia
335923868,4362648,nl,Scarborough
335923945,4362649,nl,"Santa Cruz, Trinidad and Tobago"
335924176,4362652,nl,San Juan
335924330,4362654,nl,Sangre Grande
335924561,4362657,nl,San Francique
335924638,4362658,nl,San Fernando
335926486,4362682,nl,Roxborough
335926717,4362685,nl,Rio Claro
335926794,4362686,nl,Richmond
335926871,4362687,nl,Rio Claro
335927179,4362691,nl,Rode Heuvel
335927410,4362694,nl,Rampanalgas
335927564,4362696,nl,Prospect
335927795,4362699,nl,Princes Town
335927872,4362700,nl,Port of Spain
335928026,4362702,nl,Port of Spain
335928103,4362703,nl,Pool
335928257,4362705,nl,Punt Ligoure
335928334,4362706,nl,Point Fortin
335928411,4362707,nl,Pointe-à-Pierre
335928488,4362708,nl,Pruim
335928565,4362709,nl,Plum Mitan
335928873,4362713,nl,Plaisance
335929027,4362715,nl,Piparo
335929258,4362718,nl,Phoenix Park
335929335,4362719,nl,Petit Valley
335929489,4362721,nl,Peters
335929797,4362725,nl,Pembroke
335929874,4362726,nl,Penal
335929951,4362727,nl,Pembroke
335930028,4362728,nl,Patience Hill
335930259,4362731,nl,Palo Seco
335930336,4362732,nl,Palmyra
335930413,4362733,nl,Palo Seco
335930490,4362734,nl,Palmyra
335930798,4362738,nl,Orange Valley
335931029,4362741,nl,Noord-Manzanilla
335931183,4362743,nl,New Grant
335931491,4362747,nl,Nancoo Village
335931568,4362748,nl,Mundo Nuevo
335931953,4362753,nl,Mount Pleasant
335932184,4362756,nl,Berg Grace op
