id,city_id,language_key,name
335958459,4363097,th,โต่วลิ่ว
335959460,4363110,th,หยงคัง
335960538,4363124,th,โยงฟะง
335961077,4363131,th,ยงจิง
335961847,4363141,th,ซกิโตุจโุ
335962617,4363151,th,ยูลี่
335964080,4363170,th,ยเุเมิ
335965466,4363188,th,ยูจิง
335965543,4363189,th,ยุชิ
335965620,4363190,th,โยุเชโว
335966313,4363199,th,โยุเชเกง
335968777,4363231,th,หยวนซาน
335969624,4363242,th,ยุะนลิน
335969932,4363246,th,หยวนลี่
335970625,4363255,th,หยวนฉาง
335971703,4363269,th,หญิงเกอ
335972704,4363282,th,ยะนจโุลิโะ
335974475,4363305,th,ยะนปิง
335977247,4363341,th,หยางเหม่ย
335979249,4363367,th,เฉิงกง
335982021,4363403,th,วุตะิ
335984562,4363436,th,กวงฟู่
335987334,4363472,th,วุกุลิน
335987873,4363479,th,อู๋กวง
335988566,4363488,th,วูกู
335989875,4363505,th,วุจิะนจโุ
335990799,4363517,th,หวู่เฟิง
335992724,4363542,th,อู๋เจี๋ย
335998037,4363611,th,เว่ยเจีย
336001348,4363654,th,วันตัน
336001656,4363658,th,วะนดะน
336002888,4363674,th,วะนลุะน
336003119,4363677,th,เขตวั่นหลี่
336004274,4363692,th,วะงโตงเวน
336005121,4363703,th,วะงลิโะ
336006199,4363717,th,วะงะน
336008047,4363741,th,วะิซกุิเวิ
336008355,4363745,th,ชิตัน
336010049,4363767,th,วะิกะงลิน
336012205,4363795,th,จิโตง
336014977,4363831,th,ตุนจื่อเจียว
336015901,4363843,th,โดงซกิลิโะ
336018211,4363873,th,โดงซกิเชนจโุ
336018596,4363878,th,ตงซือ
336018827,4363881,th,ตงซือ
336019443,4363889,th,ตงซานเฉียน
336019520,4363890,th,ตงชาน
336019674,4363892,th,ตงชาน
336021368,4363914,th,โตงลโุ
336023447,4363941,th,ตงกัง
336024833,4363959,th,โตงอิโะ
336024910,4363960,th,ตงเซียว
336025218,4363964,th,วุกุะิลิโะ
336025295,4363965,th,ดงเฮ
336027220,4363990,th,โตงะนลิโะ
336028760,4364010,th,ตุกุ
336030993,4364039,th,ตุเชง
336034458,4364084,th,ซู่เจิน
336035151,4364093,th,จโะตุน
336036152,4364106,th,จโะซกะน
336038847,4364141,th,ซโะกิโะ
336041850,4364180,th,โตุวุ
336042620,4364190,th,โตุซเก
336043159,4364197,th,โดุนะน
336044930,4364220,th,โตุเฟน
336045777,4364231,th,โถวเฉียนผู่
336046393,4364239,th,โตุเชง
336046470,4364240,th,โตุเชง
