id,city_id,language_key,name
352377252,4576328,ur,پورکیپن
352377483,4576331,ur,پریری سٹی
352377560,4576332,ur,پریشو، جنوبی ڈکوٹا
352377637,4576333,ur,پریسٹن
352377714,4576334,ur,پرنگل، جنوبی ڈکوٹا
352377868,4576336,ur,پروو
352377945,4576337,ur,کوئن
352378099,4576339,ur,ریپڈ سٹی، جنوبی ڈکوٹا
352378176,4576340,ur,ریپڈ ویلی، جنوبی ڈکوٹا
352379331,4576355,ur,روزبڈ، جنوبی ڈکوٹا
352379639,4576359,ur,سینٹ فرانسس، جنوبی ڈکوٹا
352379716,4576360,ur,سینٹ انگے، جنوبی ڈکوٹا
352380101,4576365,ur,سسِنِك
352380178,4576366,ur,سیلبی، جنوبی ڈکوٹا
352380948,4576376,ur,سولجر کریک
352381179,4576379,ur,سپئیرفش، جنوبی ڈکوٹا
352381333,4576381,ur,اسپرنگ کریک، جنوبی ڈکوٹا
352381641,4576385,ur,سٹرول
352381718,4576386,ur,سٹورجس، جنوبی ڈکوٹا
352382873,4576401,ur,ٹمبر لیک، جنوبی ڈکوٹا
352383258,4576406,ur,ٹو اسٹرائیک، جنوبی ڈکوٹا
352383489,4576409,ur,والڈریز
352383874,4576414,ur,ویو فیلڈ
352384028,4576416,ur,ویوین، جنوبی ڈکوٹا
352384182,4576418,ur,وَكپَلَ
352384413,4576421,ur,وال، جنوبی ڈکوٹا
352384490,4576422,ur,وانبلی، جنوبی ڈکوٹا
352384644,4576424,ur,واسڈا، جنوبی ڈکوٹا
352385029,4576429,ur,ویٹا
352385106,4576430,ur,سفید بٹ
352385183,4576431,ur,وائٹ ہارس
352385337,4576433,ur,وائٹ ریور، جنوبی ڈکوٹا
352385414,4576434,ur,وائٹ ہارس
352385491,4576435,ur,وائٹ وڈ، جنوبی ڈکوٹا
352385722,4576438,ur,وٹن
352385799,4576439,ur,ووڈ، جنوبی ڈکوٹا
352385953,4576441,ur,وونڈڈ نی، جنوبی ڈکوٹا
352387031,4576455,ur,الٹا، یوٹاہ
352387262,4576458,ur,الٹامونٹ، یوٹاہ
352387647,4576463,ur,امالگا، یوٹاہ
352387724,4576464,ur,الپائن، یوٹاہ
352390650,4576502,ur,ایون، یوٹاہ
352390881,4576505,ur,بیلارڈ، یوٹاہ
352391728,4576516,ur,بیئر ریور سٹی، یوٹاہ
352392652,4576528,ur,بینجمن، یوٹاہ
352393114,4576534,ur,بینسن
352393884,4576544,ur,بلیک جیک لاج کنڈومینیمز
352394423,4576551,ur,بلیو بیل
352394577,4576553,ur,بلف ڈیل، یوٹاہ
352394731,4576555,ur,بونانزا
352395501,4576565,ur,بونٹیفل، یوٹاہ
352396117,4576573,ur,برہمن ویلی کنڈومینیم
352396887,4576583,ur,برگہم سٹی، یوٹاہ
352396964,4576584,ur,برائٹن
352400429,4576629,ur,کینیئن رم، یوٹاہ
352402200,4576652,ur,سیڈر ہلز، یوٹاہ
352402277,4576653,ur,سیڈر فورٹ، یوٹاہ
352403124,4576664,ur,سینٹر کریک
352403278,4576666,ur,سینٹرویل، یوٹاہ
352403740,4576672,ur,چارلسٹن
352405203,4576691,ur,کلارکسٹن، یوٹاہ
352405357,4576693,ur,کلیئرفیلڈ، یوٹاہ
352405588,4576696,ur,کلنٹن، یوٹاہ
352405665,4576697,ur,کلنٹن
352406358,4576706,ur,کول ویل، یوٹاہ
352408514,4576734,ur,کورڈووا
352408822,4576738,ur,کورین، یوٹاہ
352408976,4576740,ur,کورنش، یوٹاہ
352409669,4576749,ur,کاٹنووڈ ہائٹس، یوٹاہ
352411748,4576776,ur,کوو، یوٹاہ
352412287,4576783,ur,کریک سائیڈ کنڈومینیم
352414135,4576807,ur,ڈینیل، یوٹاہ
352415367,4576823,ur,ڈیوی ویل، یوٹاہ
352415829,4576829,ur,ڈریپر، یوٹاہ
352416291,4576835,ur,ڈوچیسنی، یوٹاہ
352416368,4576836,ur,ڈگ وے، یوٹاہ
352416676,4576840,ur,ڈچ جان
352416753,4576841,ur,ایگل ماؤنٹین، یوٹاہ
352418139,4576859,ur,ایکو، یوٹاہ
352418293,4576861,ur,ایڈن
352419217,4576873,ur,ایلک رج، یوٹاہ
352419294,4576874,ur,ایل ووڈ، یوٹاہ
352419987,4576883,ur,انٹرپرائز
352420064,4576884,ur,ارڈا، یوٹاہ
352420834,4576894,ur,فیئرفیلڈ، اوٹاہ
352421296,4576900,ur,فیئر ویو پارک
352421758,4576906,ur,فارمنگٹن، یوٹاہ
352421989,4576909,ur,فار ویسٹ، یوٹاہ
352422297,4576913,ur,فیلڈنگ، یوٹاہ
352423452,4576928,ur,فوتھللس
352423991,4576935,ur,فورٹ ڈوچیسنی، یوٹاہ
352424530,4576942,ur,فرانسس، یوٹاہ
352424838,4576946,ur,فروٹ ہائٹس، یوٹاہ
352425069,4576949,ur,گارڈن، یوٹاہ
352425146,4576950,ur,گارڈن سٹی
352425685,4576957,ur,گارلینڈ، یوٹاہ
352427302,4576978,ur,گرینائٹ، یوٹاہ
352427379,4576979,ur,گرانٹس ویل، یوٹاہ
352428226,4576990,ur,گراؤس کریک
352429150,4577002,ur,ہیرس ویل، یوٹاہ
352430305,4577017,ur,ہیبر سٹی، یوٹاہ
352430613,4577021,ur,ہینیفر، یوٹاہ
352430844,4577024,ur,ہیریمن، یوٹاہ
352431768,4577036,ur,ہائی لینڈ، یوٹاہ
352431999,4577039,ur,ہائی لینڈز
352433231,4577055,ur,ہولاڈے، یوٹاہ
352434155,4577067,ur,ہنی ویل، یوٹاہ
352434232,4577068,ur,ہوپر، یوٹاہ
352434463,4577071,ur,ہاول، یوٹاہ
352434617,4577073,ur,ہائٹس ویل
352435079,4577079,ur,ہنٹس ویل، یوٹاہ
352435233,4577081,ur,ہائیڈ پارک، یوٹاہ
352435387,4577083,ur,هيلَند لَكِ
352435464,4577084,ur,ہائرم، یوٹاہ
352435541,4577085,ur,ِبَپَه
352436465,4577097,ur,جینسن
352437081,4577105,ur,کاماس، یوٹاہ
352437389,4577109,ur,کیئزویل، یوٹاہ
352437466,4577110,ur,کرنز، یوٹاہ
352438313,4577121,ur,كِمبَلل جُنكتُِن
352439853,4577141,ur,لیک پوائنٹ، اتاہ
352440084,4577144,ur,لیک شور، اتاہ
352440392,4577148,ur,لیک ٹاؤن، اتاہ
352441239,4577159,ur,لاپوائنٹ، اتاہ
352441316,4577160,ur,لیویل
352441470,4577162,ur,لیٹن، یوٹاہ
352442163,4577171,ur,لیہائی، یوٹاہ
352442471,4577175,ur,لیوسٹن، یوٹاہ
352442625,4577177,ur,لبرٹی
352443241,4577185,ur,لنڈن، یوٹاہ
352444319,4577199,ur,لوگن، یوٹاہ
352445320,4577212,ur,میزر، یوٹاہ
352445628,4577216,ur,میگنا، یوٹاہ
352446090,4577222,ur,منیلا
352446244,4577224,ur,مینتوا
352446398,4577226,ur,میپلٹن، یوٹاہ
352446629,4577229,ur,ماریون، یوٹاہ
352446706,4577230,ur,مارکیٹ بورو کنڈوسٹر کنڈومینیم
352446860,4577232,ur,میریٹ-سلیٹر ویل، یوٹاہ
352448785,4577257,ur,مینڈن، یوٹاہ
352449247,4577263,ur,مڈلینڈ کورٹ کنڈومینیم
352449401,4577265,ur,مڈویل، یوٹاہ
352449709,4577269,ur,مڈوے، یوٹاہ
352449940,4577272,ur,مل کریک، یوٹاہ
352450479,4577279,ur,مل ویل، یوٹاہ
352451403,4577291,ur,مورگن، یوٹاہ
352452866,4577310,ur,ماؤنٹین گرین
352453174,4577314,ur,مُُنتَِن سپَ
352454329,4577329,ur,مرے، یوٹاہ
352454637,4577333,ur,مائٹن، یوٹاہ
352454868,4577336,ur,نیپلز، یوٹاہ
352455176,4577340,ur,نیولا، یوٹاہ
352455484,4577344,ur,نیوٹن
352455638,4577346,ur,نبلی، یوٹاہ
352455715,4577347,ur,نکولیٹی ڈرائیو
352456254,4577354,ur,نارتھ لوگن، یوٹاہ
352456331,4577355,ur,نارتھ اوگڈن، یوٹاہ
352456408,4577356,ur,نارتھ سالٹ لیک، یوٹاہ
352457409,4577369,ur,اوکلے، یوٹاہ
352457871,4577375,ur,اوک ویو اسٹیٹس سب ڈویژن نمبر 1
352458256,4577380,ur,آگڈین، یوٹاہ
352459026,4577390,ur,اوفیر، یوٹاہ
352460027,4577403,ur,اورم، یوٹاہ
352460335,4577407,ur,پالمیرا، یوٹاہ
352460489,4577409,ur,پيراڈائز
352460720,4577412,ur,پارک سٹی، یوٹاہ
352461798,4577426,ur,پئیسن، یوٹاہ
352462106,4577430,ur,پیوا
352462491,4577435,ur,پیری، یوٹاہ
352462722,4577438,ur,پیٹر، یوٹاہ
352464262,4577458,ur,پلین سٹی، یوٹاہ
352464493,4577461,ur,پلیزینٹ گروو، یوٹاہ
352464647,4577463,ur,پلیزنٹ ویو، یوٹاہ
352464955,4577467,ur,پلایماؤت
352465571,4577475,ur,پورٹیج
352466110,4577482,ur,پروویڈنس، یوٹاہ
352466187,4577483,ur,پرووو، یوٹاہ
352467265,4577497,ur,رینڈلٹ، یوٹاہ
352467342,4577498,ur,رینڈولف، یوٹاہ
352468266,4577510,ur,رچمنڈ، یوٹاہ
352468882,4577518,ur,ریور ہائٹس، یوٹاہ
352469190,4577522,ur,ریورڈیل، یوٹاہ
352469267,4577523,ur,رورسائیڈ
352469421,4577525,ur,ریورٹن، یوٹاہ
352469960,4577532,ur,رابنز روسٹ
352470268,4577536,ur,روزویلٹ، یوٹاہ
352470653,4577541,ur,روزیٹ
352470884,4577544,ur,روئے، یوٹاہ
352471269,4577549,ur,سینٹ جان، یوٹاہ
352471885,4577557,ur,سَلِنِ
352471962,4577558,ur,سالٹ لیک سٹی، یوٹاہ
352472116,4577560,ur,ساماک، یوٹاہ
352472424,4577564,ur,کریسنٹ
352472886,4577570,ur,ساراٹوگا اسپرنگز، یوٹاہ
352475812,4577608,ur,سمتھفیلڈ، یوٹاہ
352476120,4577612,ur,سنیڈر ویل، یوٹاہ
352476197,4577613,ur,سنو ویل، یوٹاہ
352476890,4577622,ur,سومرسیٹ ساؤتھ پلیس
352477429,4577629,ur,ساوتھ جورڈن، یوٹاہ
352477506,4577630,ur,ساؤتھ اوگڈن، یوٹاہ
352477583,4577631,ur,ساوتھ سالٹ لیک، یوٹاہ
352477737,4577633,ur,ساؤتھ ویبر، یوٹاہ
352477814,4577634,ur,ساؤتھ ولارڈ، یوٹاہ
352478507,4577643,ur,سپینش فورک، یوٹاہ
352478892,4577648,ur,اسپرنگ لیک، یوٹاہ
352479354,4577654,ur,سپرنگزویل، یوٹاہ
352479816,4577660,ur,اسٹینس بیری پارک، یوٹاہ
352480201,4577665,ur,اسٹاکٹن، یوٹاہ
352481510,4577682,ur,سمٹ پارک، یوٹاہ
352481818,4577686,ur,پاؤڈر ماؤنٹین پر سنڈاؤن کنڈومینیمز
352482126,4577690,ur,سنسنیٹ، یوٹاہ
352482742,4577698,ur,سیراکیوز، یوٹاہ
352482819,4577699,ur,ٹابیونا، یوٹاہ
352483666,4577710,ur,ٹیلرزویل، یوٹاہ
352484282,4577718,ur,تھیچر
352484975,4577727,ur,تھے کوے ات ہڈن ویلی
352487285,4577757,ur,ٹیمبر لیکس، یوٹاہ
352487516,4577760,ur,ٹوئل، یوٹاہ
352488209,4577769,ur,ٹری مونٹن، یوٹاہ
352488286,4577770,ur,ٹرنٹن
352489364,4577784,ur,یواینٹا، یوٹاہ
352492059,4577819,ur,ورنل، یوٹاہ
352492136,4577820,ur,ورنون، یوٹاہ
352492521,4577825,ur,ویومونٹ سرکل
352493907,4577843,ur,والز برگ، یوٹاہ
352494369,4577849,ur,وَنسهِپ
352495062,4577858,ur,واشنگٹن ٹیرس، یوٹاہ
352496140,4577872,ur,وینڈوور، یوٹاہ
352496217,4577873,ur,ویسٹ باؤنٹی فل، یوٹاہ
352496294,4577874,ur,ویسٹ ہیون، یوٹاہ
352496525,4577877,ur,ویسٹ جورڈن، یوٹاہ
352496833,4577881,ur,ویسٹ ماؤنٹین، یوٹاہ
352496987,4577883,ur,ویسٹ پوائنٹ، یوٹاہ
352497218,4577886,ur,چیسٹرفیلڈ، یوٹاہ
352498065,4577897,ur,ویسٹ ووڈ مینور پلیٹ ون
352498527,4577903,ur,وائٹ سٹی، یوٹاہ
352498912,4577908,ur,وائٹ راکس، یوٹاہ
352499528,4577916,ur,ولارڈ، یوٹاہ
352500606,4577930,ur,ولو رن پارک
352501453,4577941,ur,ولسن
352501838,4577946,ur,وولف کریک
352502762,4577958,ur,ووڈلینڈ، یوٹاہ
352502993,4577961,ur,ووڈلینڈ ہلز، یوٹاہ
352503532,4577968,ur,ووڈرف، یوٹاہ
352503609,4577969,ur,ووڈز کراس، یوٹاہ
352505149,4577989,ur,ایبرڈین، واشنگٹن
352505226,4577990,ur,ایبرڈین گارڈنز، واشنگٹن
352505457,4577993,ur,َددي
352506304,4578004,ur,اہٹانم، واشنگٹن
352506458,4578006,ur,ایئروے ہائٹس، واشنگٹن
352506689,4578009,ur,آلبیون، واشنگٹن
352506766,4578010,ur,ایلڈر
352506997,4578013,ur,ایلڈرٹن
352507074,4578014,ur,الڈر ووڈ مینر، واشنگٹن
352507305,4578017,ur,الجر، واشنگٹن
352507382,4578018,ur,الگونا، واشنگٹن
