id,city_id,language_key,name
364026562,4727618,pt,Al Jurayn
364026639,4727619,pt,Al `Aridah
364026716,4727620,pt,Al Jurayn
364026870,4727622,pt,Al Balad
364026947,4727623,pt,jkham
364027332,4727628,pt,jkham
364027409,4727629,pt,Hisn ad Dawr
364027486,4727630,pt,Bayt Kurdum
364027563,4727631,pt,Ash Shi`b
364027717,4727633,pt,Ash Shi`b
364027871,4727635,pt,Ghawl Sa`id
364028025,4727637,pt,Ghawl Said
364028102,4727638,pt,Al Ma`laq
364028179,4727639,pt,Al-Wadi
364028256,4727640,pt,Ash Shu`bah
364028333,4727641,pt,Al Qataba
364028487,4727643,pt,Al Qasr
364028564,4727644,pt,almʿmar
364028795,4727647,pt,Ash Sharzah
364028872,4727648,pt,Dar an Najd
364029103,4727651,pt,Mi`mar como Sarm
364029180,4727652,pt,Al Hamah wa al Haddadah
364029257,4727653,pt,Al Khash`ah
364029411,4727655,pt,Al Khash'ah
364029873,4727661,pt,Bayt Sa`d
364029950,4727662,pt,Al Jabal
364030027,4727663,pt,Bayt Sa`d
364030104,4727664,pt,Um Nayif
364030181,4727665,pt,Mi`mar al Ma`zulah
364030412,4727668,pt,Como Sarm al Asfal
364030566,4727670,pt,Ad Dimnah
364030720,4727672,pt,As Sarm al Asfal al Qani`
364030797,4727673,pt,hzm almʿmar
364030874,4727674,pt,Como Sarm al Asfal al Qani`
364031105,4727677,pt,Ad Daghmah
364031490,4727682,pt,almʿmar
364031721,4727685,pt,Al Hazm al A`la
364031798,4727686,pt,Al Qaryah
364032106,4727690,pt,Sulbat como Sabi
364032183,4727691,pt,Dar al Hamah
364032337,4727693,pt,Al-Wadi
364032722,4727698,pt,Al Hanakah
364032799,4727699,pt,almʿmar
364034185,4727717,pt,Al Ma`had al`Ilmi
364034493,4727721,pt,almʿmar
364034570,4727722,pt,Al`Ard
364034801,4727725,pt,almʿmar
364034878,4727726,pt,Al Qaryah al Qadimah
364035032,4727728,pt,Bayt Jahzar
364035340,4727732,pt,Al I'mar
364035417,4727733,pt,Hazm al`Ulayb
364035494,4727734,pt,Al Wadi`iyah
364035725,4727737,pt,Al`Ishrah
364035802,4727738,pt,bab alʿqr
364035956,4727740,pt,Surrat al Majil
364036033,4727741,pt,Khallat al 'Aqd
364036187,4727743,pt,Al-Jalabib
364036572,4727748,pt,Al Makashah
364037188,4727756,pt,`Ali al Faqqi Mazra`at al Abqar
364037727,4727763,pt,bab aljrf
364037881,4727765,pt,Zufur al Mi`mar
364038189,4727769,pt,Al Hayjah
364038343,4727771,pt,almʿmar
364038574,4727774,pt,Maktab az Zira'ah
364038651,4727775,pt,Mal al Qufu`
364038805,4727777,pt,bab dafr
364038959,4727779,pt,Kawlat `Ali
