id,city_id,language_key,name
365722655,4749645,th,โรเดอโปร์ต
365722732,4749646,th,ซเวลิตชา
365723194,4749652,th,ซุุรโฟนเติน
365723964,4749662,th,โซอาร์
365727506,4749708,th,ซีรัสท์
365728045,4749715,th,ซาสตรอน
365734821,4749803,th,วูดบริดจ์
365736515,4749825,th,ิโวลมะระนซซตะด
365736977,4749831,th,ิวิตเตดริฟ
365737208,4749834,th,แม่น้ำสีขาว
365738748,4749854,th,วิตฟเิลด
365739441,4749863,th,อีมาลาเลนี
365739672,4749866,th,วินเตรเฤลด
365739749,4749867,th,วินเตรโตน
365741443,4749889,th,วินเบิร์ก
365741751,4749893,th,วิลโลวฤะเล
365742367,4749901,th,วิลโลว์มอร์
365742752,4749906,th,วิลลิซโตน
365744061,4749923,th,ไวลด์วูด
365744985,4749935,th,วิเดนกะม
365745216,4749938,th,วิทเทิลซี
365746140,4749950,th,\N
365746294,4749952,th,เวสต์วิลล์
365746525,4749955,th,เวซโตนะริะ
365747218,4749964,th,เวซเตรนะเระซ
365747757,4749971,th,เวสต์บรูก
365747911,4749973,th,ิเวซเซลซบโรน
365748065,4749975,th,เวสลีย์
365748450,4749980,th,ิเวเปเนร
365748912,4749986,th,เวลเฤรดเินด
365749066,4749988,th,เวลเฤรดเินด
365749374,4749992,th,เวลเตฤเรเดน
365751376,4750018,th,เวลคอมบ์
365752762,4750036,th,เวเเนน
365753532,4750046,th,ิวะเตรฤะลโบเฤน
365753994,4750052,th,วะเตรฤะล
365755765,4750075,th,วะเตรฟะลล
365756458,4750084,th,วอสแบงก์
365756535,4750085,th,วาร์ทเบิร์ก
365756612,4750086,th,วอร์เรนตัน
365756997,4750091,th,เบละเบละ
365757074,4750092,th,ิวะรเดน
365757613,4750099,th,วะลลมะนนซทะล
365757921,4750103,th,วอล์คเกอร์วิลล์
365758075,4750105,th,เวลส์
365758460,4750110,th,วะกเกรซตโรโม
365758768,4750114,th,อาร์นิสตัน
365758845,4750115,th,เวย์ฮุก
365760231,4750133,th,ไวร์ไฮด์
365760308,4750134,th,วรีบูร์ก
365761232,4750146,th,ิฤเรเดโฟรต
365761771,4750153,th,เวเรเด
365762079,4750157,th,โวสลูรัส
365762156,4750158,th,โวสบวร์ก
365763619,4750177,th,โฤลกซรุซต
365765544,4750202,th,ฤละกโฟนเติน
365766930,4750220,th,เวอร์จิเนีย
365767315,4750225,th,วิลิเยร์ส
365767777,4750231,th,วิลเจินครูน
365768162,4750236,th,ิฤิจโตริะเวซต
365768701,4750243,th,ิเฤรุละม
365769779,4750257,th,เวอร์เคียร์เดฟไล
365770318,4750264,th,เวเรนา
365770472,4750266,th,\N
365771088,4750274,th,ิเฤนเตรซตะด
365771627,4750281,th,เวนเตอร์สดอร์ป
365771781,4750283,th,เวนเทอร์สเบิร์ก
365773398,4750304,th,ฤะนวยกซฤเลิ
365773706,4750308,th,ฤะนวยกซโดรป
365774091,4750313,th,ฤะนซตะเดนซรุซ
365774938,4750324,th,แวนเดอร์คลูฟ
365775092,4750326,th,แวนเดอไบล์พาร์ก
365776247,4750341,th,ฤะะลวะเตร
365778018,4750364,th,ฤะะลบโลก
365779019,4750377,th,ุตเรชต
365781560,4750410,th,อัปพิงตัน
365781637,4750411,th,ยูเนียนเดล
365781791,4750413,th,ยูเนี่ยน
365782099,4750417,th,อันเดอร์เบิร์ก
365782176,4750418,th,ุมซุมเบ
365782253,4750419,th,อีมูซิเวซินโต
365782638,4750424,th,ุมโฤติ
365782869,4750427,th,เอ็มทาทา
365783870,4750440,th,ุมกละงะ
365784332,4750446,th,เอ็มโลติ
365784409,4750447,th,ุมบุมบุลุ
365784486,4750448,th,อีซิมโบโคดเวนี
365784871,4750453,th,ุลุนดิ
365788413,4750499,th,ออยเทนฮาเก
365788490,4750500,th,อูกี้
365788644,4750502,th,เจียนเฉิง
365789722,4750516,th,ตเยนิ
365789953,4750519,th,ตเยเลบะเน
365791185,4750535,th,ทวีสปรุต
365791724,4750542,th,ทวีลลิ่ง
365791955,4750545,th,ทวีฟอนเทน
365792802,4750556,th,ตุตุกะ
365794034,4750572,th,ตุเกละเฟรรย
365794342,4750576,th,ทูเกล่า
365795112,4750586,th,ตซวะิง
365795266,4750588,th,ทสวาเฟิง
365795420,4750590,th,ตโซโม
365795651,4750593,th,ตโซโล
365797884,4750622,th,ชิตูนิ
365802273,4750679,th,ตซะกะเน
365802966,4750688,th,ตโรมปซบุรก
365804198,4750704,th,โตุวซริฤเิร
365805430,4750720,th,ิโตงะะต
365806431,4750733,th,โทโคซ่า
365809203,4750769,th,ติเกรริเฤร
365810512,4750786,th,ทุรโลุค
365810897,4750791,th,ทูลานี
365810974,4750792,th,ทูลามาฮาชิ
365811051,4750793,th,ทุบิซิ
365811513,4750799,th,ไม้หนาม
365813361,4750823,th,โธโฮยานดู
365814131,4750833,th,ิเทุนิซเซน
365818674,4750892,th,ทะบินะ
365818982,4750896,th,ทาบาซิมบี
365819521,4750903,th,ธาบา เอ็นชู
365821292,4750926,th,เตนะจเร
365821754,4750932,th,เตมบิซะ
365821831,4750933,th,เทมบิซะ
365822986,4750948,th,ตะุง
