id,city_id,language_key,name
367681644,4775087,fr,Nyanga
367681721,4775088,fr,Zvishavane
367683184,4775107,fr,West Nicholson
367683261,4775108,fr,Wedza
367683723,4775114,fr,Chutes Victoria
367685340,4775135,fr,Triangle
367688497,4775176,fr,Shurugwi
367688805,4775180,fr,Shangani
367688882,4775181,fr,Shamva
367690653,4775204,fr,Ruwa
367690807,4775206,fr,Rusape
367691346,4775213,fr,Redcliff
367691423,4775214,fr,Raffingora
367692116,4775223,fr,Plumtree
367692270,4775225,fr,Penhalonga
367692963,4775234,fr,Odzi
367693117,4775236,fr,Nyazura
367693425,4775240,fr,Nyanga
367694580,4775255,fr,Norton
367697198,4775289,fr,Mvurwi
367697275,4775290,fr,Mvuma
367697506,4775293,fr,Mutoko
367697660,4775295,fr,Mutare
367697968,4775299,fr,Murewa
367699354,4775317,fr,Mount Darwin
367699739,4775322,fr,Mkoba
367700201,4775328,fr,Mhangura
367701510,4775345,fr,Mazowe
367703127,4775366,fr,Masvingo
367703358,4775369,fr,Mashava Mine
367703820,4775375,fr,Marondera
367707593,4775424,fr,Madziwa
367708363,4775434,fr,Macheke
367708671,4775438,fr,Mabalanas
367708748,4775439,fr,Luveve
367709210,4775445,fr,Lupane
367710057,4775456,fr,Lalapanzi
367710134,4775457,fr,Kwekwe
367710750,4775465,fr,Kazangarare
367710981,4775468,fr,Karoi
367711212,4775471,fr,Kariba
367711289,4775472,fr,Kapoka
367711751,4775478,fr,Mine de Kamativi
367711982,4775481,fr,Kadoma
367713214,4775497,fr,Inyati
367713291,4775498,fr,Insiza
367713676,4775503,fr,Hwange
367714369,4775512,fr,Hingwe
367714600,4775515,fr,Headlands
367714677,4775516,fr,Harare
367715139,4775522,fr,Gweru
367715447,4775526,fr,Gwanda
367716140,4775535,fr,Gokwe
367716371,4775538,fr,Glendale
367717757,4775556,fr,Filabusi
367718296,4775563,fr,Esigodini
367720144,4775587,fr,Bail minier de Dorowa
367720760,4775595,fr,Dete
367721222,4775601,fr,Dagamela
367721684,4775607,fr,Clovelly
367721761,4775608,fr,Colleen Bawn
367722069,4775612,fr,Chivhu
367722454,4775617,fr,Chirundu
367722531,4775618,fr,Chiredzi
367722685,4775620,fr,Chipinge
367722839,4775622,fr,Chinhoyi
367723147,4775626,fr,Chimanimani
367724225,4775640,fr,Chief Saba
367725149,4775652,fr,Chegutu
367725457,4775656,fr,Chakari
367725765,4775660,fr,Ciment
367725842,4775661,fr,Centenary
367726381,4775668,fr,Bulawayo
367727459,4775682,fr,Binga
367727536,4775683,fr,Bindura
367728152,4775691,fr,Beitbridge
367728229,4775692,fr,Bauhinia
367728537,4775696,fr,Banket
367729230,4775705,fr,Bon espoir
367733388,4775759,fr,Chef Bota
367734389,4775772,fr,Ruwa
367734466,4775773,fr,Chitungwiza
367741088,4775859,fr,Makuni
367745169,4775912,fr,Chief Mpungu
367750482,4775981,fr,Chief Sinakoma
367753793,4776024,fr,Zimondi
367755564,4776047,fr,Palmerston
367761647,4776126,fr,Kwarire
367765882,4776181,fr,Mashandu
367769039,4776222,fr,Magombedze
367781821,4776388,fr,Nqaye
367788058,4776469,fr,Zinjera
367788289,4776472,fr,David
367796990,4776585,fr,Tavuya
367800532,4776631,fr,Guchu
367805383,4776694,fr,Mazvimba
367812698,4776789,fr,Bangala
367816856,4776843,fr,Zhombe
367818165,4776860,fr,Mhangura Mine
