key,language_key,name
BO,aa,Bolivia
BO,am,ቦሊቪያ
BO,ar,بوليفيا
BO,az,Boliviya
BO,be,Балівія
BO,bg,Боливия
BO,bn,বলিভিয়া
BO,bs,Bolivija
BO,ca,Bolívia
BO,cs,Bolívie
BO,da,Bolivia
BO,de,Bolivien
BO,dv,ބޮލީވިއާ
BO,dz,བྷེ་ལི་བི་ཡ
BO,el,Βολιβία
BO,en,Bolivia
BO,es,Bolivia
BO,et,Boliivia
BO,fa,بولیوی
BO,fi,Bolivia
BO,fo,Bolivia
BO,fr,Bolivie
BO,he,בוליביה
BO,hr,Bolivija
BO,ht,Bolivie
BO,hu,Bolívia
BO,hy,Բոլիվիա
BO,id,Bolivia
BO,is,Bólivía
BO,it,Bolivia
BO,ja,ボリビア
BO,ka,ბოლივია
BO,kk,Боливия
BO,kl,Bolivia
BO,km,បូលីវី
BO,ko,볼리비아
BO,ky,Боливия
BO,la,Bolivia
BO,lb,Bolivien
BO,lt,Bolivija
BO,lv,Bolīvija
BO,mh,Bolivia
BO,mk,Боливија
BO,mn,Боливи
BO,ms,Bolivia
BO,mt,il-Bolivja
BO,my,ဘိုလီးဗီးယား
BO,ne,बोलिभिया
BO,nl,Bolivia
BO,no,Bolivia
BO,ny,Bolivia
BO,pl,Boliwia
BO,pt,Bolívia
BO,ro,Bolivia
BO,ru,Боливия
BO,rw,Boliviya
BO,si,බොලීවියාව
BO,sk,Bolívia
BO,sl,Bolivija
BO,sm,Polevia
BO,so,Boliifiya
BO,sq,Bolivi
BO,sr,Боливија
BO,sv,Bolivia
BO,sw,Bolivia
BO,tg,Боливия
BO,th,โบลิเวีย
BO,tk,Boliwiýa
BO,tl,Bolivia
BO,to,Polīvia
BO,tr,Bolivya
BO,uk,Болівія
BO,ur,بولیویا
BO,uz,Boliviya
BO,vi,Bolivia
BO,zh,玻利维亚
BO,zu,i-Bolivia
