key,language_key,name
ZW,aa,Zimbabwe
ZW,am,ዚምቧቤ
ZW,ar,زيمبابوي
ZW,az,Zimbabve
ZW,be,Зімбабвэ
ZW,bg,Зимбабве
ZW,bn,জিম্বাবোয়ে
ZW,bs,Zimbabve
ZW,ca,Zimbàbue
ZW,cs,Zimbabwe
ZW,da,Zimbabwe
ZW,de,Simbabwe
ZW,dv,ޒިމްބާބުވޭ
ZW,dz,ཛིམ་བྷབ་ཝེ
ZW,el,Ζιμπάμπουε
ZW,en,Zimbabwe
ZW,es,Zimbabue
ZW,et,Zimbabwe
ZW,fa,زیمبابوه
ZW,fi,Zimbabwe
ZW,fo,Simbabvi
ZW,fr,Zimbabwe
ZW,he,זימבבואה
ZW,hr,Zimbabve
ZW,ht,Zimbabwe
ZW,hu,Zimbabwe
ZW,hy,Զիմբաբվե
ZW,id,Zimbabwe
ZW,is,Simbabve
ZW,it,Zimbabwe
ZW,ja,ジンバブエ
ZW,ka,ზიმბაბვე
ZW,kk,Зимбабве
ZW,kl,Zimbabwe
ZW,km,ស៊ីមបាវ៉េ
ZW,ko,짐바브웨
ZW,ky,Зимбабве
ZW,la,Zimbabua
ZW,lb,Simbabwe
ZW,lt,Zimbabvė
ZW,lv,Zimbabve
ZW,mh,Zimbabwe
ZW,mk,Зимбабве
ZW,mn,Зимбабве
ZW,ms,Zimbabwe
ZW,mt,iż-Żimbabwe
ZW,my,ဇင်ဘာဘွေ
ZW,ne,जिम्बाबवे
ZW,nl,Zimbabwe
ZW,no,Zimbabwe
ZW,ny,Zimbabwe
ZW,pl,Zimbabwe
ZW,pt,Zimbábue
ZW,ro,Zimbabwe
ZW,ru,Зимбабве
ZW,rw,Zimbabwe
ZW,si,සිම්බාබ්වේ
ZW,sk,Zimbabwe
ZW,sl,Zimbabve
ZW,sm,Zimbabwe
ZW,so,Simbaabwe
ZW,sq,Zimbabve
ZW,sr,Зимбабве
ZW,sv,Zimbabwe
ZW,sw,Zimbabwe
ZW,tg,Зимбабве
ZW,th,ซิมบับเว
ZW,tk,Zimbabwe
ZW,tl,Zimbabwe
ZW,to,Simipapuei
ZW,tr,Zimbabve
ZW,uk,Зімбабве
ZW,ur,زمبابوے
ZW,uz,Zimbabve
ZW,vi,Zimbabwe
ZW,zh,津巴布韦
ZW,zu,iZimbabwe
