key,language_key,name
AED,it,dirham degli Emirati Arabi Uniti
AFN,it,afghani
ALL,it,lek albanese
AMD,it,dram armeno
AOA,it,kwanza angolano
ARS,it,peso argentino
AUD,it,dollaro australiano
AWG,it,fiorino di Aruba
AZN,it,manat azero
BAM,it,marco convertibile della Bosnia-Herzegovina
BBD,it,dollaro di Barbados
BDT,it,taka bangladese
BHD,it,dinaro del Bahrein
BIF,it,franco del Burundi
BMD,it,dollaro delle Bermuda
BND,it,dollaro del Brunei
BOB,it,boliviano
BOV,it,mvdol boliviano
BRL,it,real brasiliano
BSD,it,dollaro delle Bahamas
BTN,it,ngultrum bhutanese
BWP,it,pula del Botswana
BYN,it,rublo bielorusso
BZD,it,dollaro del Belize
CAD,it,dollaro canadese
CDF,it,franco congolese
CHE,it,WIR Euro
CHF,it,franco svizzero
CHW,it,WIR Franc
CLF,it,unidades de fomento chilene
CLP,it,peso cileno
CNY,it,yuan cinese
COP,it,peso colombiano
COU,it,Unidad de Valor Real
CRC,it,colón costaricano
CUP,it,peso cubano
CVE,it,escudo capoverdiano
CZK,it,corona ceca
DJF,it,franco di Gibuti
DKK,it,corona danese
DOP,it,peso dominicano
DZD,it,dinaro algerino
EGP,it,sterlina egiziana
ERN,it,nakfa eritreo
ETB,it,birr etiope
EUR,it,euro
FJD,it,dollaro delle Figi
FKP,it,sterlina delle Falkland
GBP,it,sterlina britannica
GEL,it,lari georgiano
GHS,it,cedi ghanese
GIP,it,sterlina di Gibilterra
GMD,it,dalasi gambiano
GNF,it,franco della Guinea
GTQ,it,quetzal guatemalteco
GYD,it,dollaro della Guyana
HKD,it,dollaro di Hong Kong
HNL,it,lempira honduregna
HTG,it,gourde haitiano
HUF,it,fiorino ungherese
IDR,it,rupia indonesiana
ILS,it,nuovo siclo israeliano
INR,it,rupia indiana
IQD,it,dinaro iracheno
IRR,it,rial iraniano
ISK,it,corona islandese
JMD,it,dollaro giamaicano
JOD,it,dinaro giordano
JPY,it,yen giapponese
KES,it,scellino keniota
KGS,it,som kirghiso
KHR,it,riel cambogiano
KMF,it,franco comoriano
KPW,it,won nordcoreano
KRW,it,won sudcoreano
KWD,it,dinaro kuwaitiano
KYD,it,dollaro delle Isole Cayman
KZT,it,tenge kazako
LAK,it,kip laotiano
LBP,it,lira libanese
LKR,it,rupia di Sri Lanka
LRD,it,dollaro liberiano
LSL,it,loti del Lesotho
LYD,it,dinaro libico
MAD,it,dirham marocchino
MDL,it,leu moldavo
MGA,it,ariary malgascio
MKD,it,dinaro macedone
MMK,it,kyat di Myanmar
MNT,it,tugrik mongolo
MOP,it,pataca di Macao
MRU,it,ouguiya della Mauritania
MUR,it,rupia mauriziana
MVR,it,rufiyaa delle Maldive
MWK,it,kwacha malawiano
MXN,it,peso messicano
MXV,it,unidad de inversion (UDI) messicana
MYR,it,ringgit malese
MZN,it,metical mozambicano
NAD,it,dollaro namibiano
NGN,it,naira nigeriana
NIO,it,córdoba nicaraguense
NOK,it,corona norvegese
NPR,it,rupia nepalese
NZD,it,dollaro neozelandese
OMR,it,rial omanita
PAB,it,balboa panamense
PEN,it,sol peruviano
PGK,it,kina papuana
PHP,it,peso filippino
PKR,it,rupia pakistana
PLN,it,zloty polacco
PYG,it,guaraní paraguayano
QAR,it,rial qatariano
RON,it,leu rumeno
RSD,it,dinaro serbo
RUB,it,rublo russo
RWF,it,franco ruandese
SAR,it,riyal saudita
SBD,it,dollaro delle Isole Salomone
SCR,it,rupia delle Seychelles
SDG,it,sterlina sudanese
SEK,it,corona svedese
SGD,it,dollaro di Singapore
SHP,it,sterlina di Sant’Elena
SLE,it,leone della Sierra Leone
SOS,it,scellino somalo
SRD,it,dollaro del Suriname
SSP,it,sterlina sud-sudanese
STN,it,dobra di Sao Tomé e Príncipe
SVC,it,colón salvadoregno
SYP,it,lira siriana
SZL,it,lilangeni
THB,it,baht thailandese
TJS,it,somoni tagiko
TMT,it,manat turkmeno
TND,it,dinaro tunisino
TOP,it,paʻanga tongano
TRY,it,lira turca
TTD,it,dollaro di Trinidad e Tobago
TWD,it,nuovo dollaro taiwanese
TZS,it,scellino della Tanzania
UAH,it,grivnia ucraina
UGX,it,scellino ugandese
USD,it,dollaro statunitense
USN,it,dollaro statunitense (next day)
UYI,it,peso uruguaiano in unità indicizzate
UYU,it,peso uruguayano
UYW,it,Unidad Previsional
UZS,it,sum uzbeco
VED,it,Bolívar Soberano
VES,it,bolívar venezuelano
VND,it,dong vietnamita
VUV,it,vatu di Vanuatu
WST,it,tala samoano
XAD,it,Arab Accounting Dinar
XAF,it,franco CFA BEAC
XAG,it,argento
XAU,it,oro
XBA,it,unità composita europea
XBB,it,unità monetaria europea
XBC,it,unità di acconto europea (XBC)
XBD,it,unità di acconto europea (XBD)
XCD,it,dollaro dei Caraibi orientali
XCG,it,Caribbean Guilder
XDR,it,diritti speciali di incasso
XOF,it,franco CFA BCEAO
XPD,it,palladio
XPF,it,franco CFP
XPT,it,platino
XSU,it,Sucre
XTS,it,codice di verifica della valuta
XUA,it,ADB Unit of Account
XXX,it,valuta sconosciuta
YER,it,riyal yemenita
ZAR,it,rand sudafricano
ZMW,it,kwacha zambiano
ZWG,it,Zimbabwe Gold
