key,language_key,name
AED,nl,Verenigde Arabische Emiraten-dirham
AFN,nl,Afghaanse afghani
ALL,nl,Albanese lek
AMD,nl,Armeense dram
AOA,nl,Angolese kwanza
ARS,nl,Argentijnse peso
AUD,nl,Australische dollar
AWG,nl,Arubaanse gulden
AZN,nl,Azerbeidzjaanse manat
BAM,nl,Bosnische convertibele mark
BBD,nl,Barbadaanse dollar
BDT,nl,Bengalese taka
BHD,nl,Bahreinse dinar
BIF,nl,Burundese frank
BMD,nl,Bermuda-dollar
BND,nl,Bruneise dollar
BOB,nl,Boliviaanse boliviano
BOV,nl,Boliviaanse mvdol
BRL,nl,Braziliaanse real
BSD,nl,Bahamaanse dollar
BTN,nl,Bhutaanse ngultrum
BWP,nl,Botswaanse pula
BYN,nl,Belarussische roebel
BZD,nl,Belizaanse dollar
CAD,nl,Canadese dollar
CDF,nl,Congolese frank
CHE,nl,WIR euro
CHF,nl,Zwitserse frank
CHW,nl,WIR franc
CLF,nl,Chileense unidades de fomento
CLP,nl,Chileense peso
CNY,nl,Chinese yuan
COP,nl,Colombiaanse peso
COU,nl,Unidad de Valor Real
CRC,nl,Costa Ricaanse colon
CUP,nl,Cubaanse peso
CVE,nl,Kaapverdische escudo
CZK,nl,Tsjechische kroon
DJF,nl,Djiboutiaanse frank
DKK,nl,Deense kroon
DOP,nl,Dominicaanse peso
DZD,nl,Algerijnse dinar
EGP,nl,Egyptisch pond
ERN,nl,Eritrese nakfa
ETB,nl,Ethiopische birr
EUR,nl,Euro
FJD,nl,Fiji-dollar
FKP,nl,Falklandeilands pond
GBP,nl,Britse pond
GEL,nl,Georgische lari
GHS,nl,Ghanese cedi
GIP,nl,Gibraltarees pond
GMD,nl,Gambiaanse dalasi
GNF,nl,Guinese frank
GTQ,nl,Guatemalteekse quetzal
GYD,nl,Guyaanse dollar
HKD,nl,Hongkongse dollar
HNL,nl,Hondurese lempira
HTG,nl,Haïtiaanse gourde
HUF,nl,Hongaarse forint
IDR,nl,Indonesische roepia
ILS,nl,Israëlische nieuwe shekel
INR,nl,Indiase roepie
IQD,nl,Iraakse dinar
IRR,nl,Iraanse rial
ISK,nl,IJslandse kroon
JMD,nl,Jamaicaanse dollar
JOD,nl,Jordaanse dinar
JPY,nl,Japanse yen
KES,nl,Keniaanse shilling
KGS,nl,Kirgizische som
KHR,nl,Cambodjaanse riel
KMF,nl,Comorese frank
KPW,nl,Noord-Koreaanse won
KRW,nl,Zuid-Koreaanse won
KWD,nl,Koeweitse dinar
KYD,nl,Kaaimaneilandse dollar
KZT,nl,Kazachse tenge
LAK,nl,Laotiaanse kip
LBP,nl,Libanees pond
LKR,nl,Sri Lankaanse roepie
LRD,nl,Liberiaanse dollar
LSL,nl,Lesothaanse loti
LYD,nl,Libische dinar
MAD,nl,Marokkaanse dirham
MDL,nl,Moldavische leu
MGA,nl,Malagassische ariary
MKD,nl,Macedonische denar
MMK,nl,Myanmarese kyat
MNT,nl,Mongoolse tugrik
MOP,nl,Macause pataca
MRU,nl,Mauritaanse ouguiya
MUR,nl,Mauritiaanse roepie
MVR,nl,Maldivische rufiyaa
MWK,nl,Malawische kwacha
MXN,nl,Mexicaanse peso
MXV,nl,Mexicaanse unidad de inversion (UDI)
MYR,nl,Maleisische ringgit
MZN,nl,Mozambikaanse metical
NAD,nl,Namibische dollar
NGN,nl,Nigeriaanse naira
NIO,nl,Nicaraguaanse córdoba
NOK,nl,Noorse kroon
NPR,nl,Nepalese roepie
NZD,nl,Nieuw-Zeelandse dollar
OMR,nl,Omaanse rial
PAB,nl,Panamese balboa
PEN,nl,Peruaanse sol
PGK,nl,Papoea-Nieuw-Guinese kina
PHP,nl,Filipijnse peso
PKR,nl,Pakistaanse roepie
PLN,nl,Poolse zloty
PYG,nl,Paraguayaanse guarani
QAR,nl,Qatarese rial
RON,nl,Roemeense leu
RSD,nl,Servische dinar
RUB,nl,Russische roebel
RWF,nl,Rwandese frank
SAR,nl,Saoedi-Arabische riyal
SBD,nl,Salomon-dollar
SCR,nl,Seychelse roepie
SDG,nl,Soedanees pond
SEK,nl,Zweedse kroon
SGD,nl,Singaporese dollar
SHP,nl,Sint-Heleens pond
SLE,nl,Sierra Leoonse leone
SOS,nl,Somalische shilling
SRD,nl,Surinaamse dollar
SSP,nl,Zuid-Soedanees pond
STN,nl,Santomese dobra
SVC,nl,Salvadoraanse colón
SYP,nl,Syrisch pond
SZL,nl,Swazische lilangeni
THB,nl,Thaise baht
TJS,nl,Tadzjiekse somoni
TMT,nl,Turkmeense manat
TND,nl,Tunesische dinar
TOP,nl,Tongaanse paʻanga
TRY,nl,Turkse lira
TTD,nl,Trinidad en Tobago-dollar
TWD,nl,Nieuwe Taiwanese dollar
TZS,nl,Tanzaniaanse shilling
UAH,nl,Oekraïense hryvnia
UGX,nl,Oegandese shilling
USD,nl,Amerikaanse dollar
USN,nl,Amerikaanse dollar (volgende dag)
UYI,nl,Uruguayaanse peso en geïndexeerde eenheden
UYU,nl,Uruguayaanse peso
UYW,nl,Uruguayaanse nominale salarisindexeenheid
UZS,nl,Oezbeekse sum
VED,nl,Bolívar Soberano
VES,nl,Venezolaanse bolivar
VND,nl,Vietnamese dong
VUV,nl,Vanuatuaanse vatu
WST,nl,Samoaanse tala
XAD,nl,Arab Accounting Dinar
XAF,nl,CFA-frank
XAG,nl,Zilver
XAU,nl,Goud
XBA,nl,Europese samengestelde eenheid
XBB,nl,Europese monetaire eenheid
XBC,nl,Europese rekeneenheid (XBC)
XBD,nl,Europese rekeneenheid (XBD)
XCD,nl,Oost-Caribische dollar
XCG,nl,Caribische gulden
XDR,nl,Special Drawing Rights
XOF,nl,CFA-franc BCEAO
XPD,nl,Palladium
XPF,nl,CFP-frank
XPT,nl,Platina
XSU,nl,Sucre
XTS,nl,Valutacode voor testdoeleinden
XUA,nl,ADB-rekeneenheid
XXX,nl,onbekende munteenheid
YER,nl,Jemenitische rial
ZAR,nl,Zuid-Afrikaanse rand
ZMW,nl,Zambiaanse kwacha
ZWG,nl,Zimbabwe Gold
