key,language_key,name
aa,el,Αφάρ
af,el,Αφρικάανς
ak,el,Ακάν
am,el,Αμχαρικά
ar,el,Αραβικά
az,el,Αζερμπαϊτζανικά
be,el,Λευκορωσικά
bg,el,Βουλγαρικά
bi,el,Μπισλάμα
bn,el,Βεγγαλικά
bs,el,Βοσνιακά
ca,el,Καταλανικά
ch,el,Τσαμόρο
cs,el,Τσεχικά
cy,el,Ουαλικά
da,el,Δανικά
de,el,Γερμανικά
dv,el,Ντιβέχι
dz,el,Ντζόνγκχα
el,el,Ελληνικά
en,el,Αγγλικά
es,el,Ισπανικά
et,el,Εσθονικά
fa,el,Περσικά
fi,el,Φινλανδικά
fj,el,Φίτζι
fo,el,Φεροϊκά
fr,el,Γαλλικά
ga,el,Ιρλανδικά
gv,el,Μανξ
ha,el,Χάουσα
he,el,Εβραϊκά
hi,el,Χίντι
ho,el,Χίρι Μότου
hr,el,Κροατικά
ht,el,Αϊτιανά
hu,el,Ουγγρικά
hy,el,Αρμενικά
id,el,Ινδονησιακά
is,el,Ισλανδικά
it,el,Ιταλικά
ja,el,Ιαπωνικά
ka,el,Γεωργιανά
kk,el,Καζακικά
kl,el,Καλαάλισουτ
km,el,Χμερ
ko,el,Κορεατικά
ky,el,Κιργιζικά
la,el,Λατινικά
lb,el,Λουξεμβουργιανά
lg,el,Γκάντα
lo,el,Λαοτινά
lt,el,Λιθουανικά
lv,el,Λετονικά
mh,el,Μαρσαλέζικα
mi,el,Μαορί
mk,el,Σλαβομακεδονικά
mn,el,Μογγολικά
ms,el,Μαλαισιανά
mt,el,Μαλτεζικά
my,el,Βιρμανικά
na,el,Ναούρου
ne,el,Νεπαλικά
nl,el,Ολλανδικά
no,el,Νορβηγικά
ny,el,Νιάντζα
pl,el,Πολωνικά
pt,el,Πορτογαλικά
ro,el,Ρουμανικά
ru,el,Ρωσικά
rw,el,Κινιαρουάντα
si,el,Σινχαλεζικά
sk,el,Σλοβακικά
sl,el,Σλοβενικά
sm,el,Σαμοανά
sn,el,Σόνα
so,el,Σομαλικά
sq,el,Αλβανικά
sr,el,Σερβικά
ss,el,Σουάτι
st,el,Νότια Σόθο
sv,el,Σουηδικά
sw,el,Σουαχίλι
tg,el,Τατζικικά
th,el,Ταϊλανδικά
tk,el,Τουρκμενικά
tl,el,Τάγκαλογκ
tn,el,Τσουάνα
to,el,Τονγκανικά
tr,el,Τουρκικά
uk,el,Ουκρανικά
ur,el,Ούρντου
uz,el,Ουζμπεκικά
vi,el,Βιετναμικά
wo,el,Γουόλοφ
zh,el,Κινεζικά
zu,el,Ζουλού
