key,language_key,name
aa,mk,афарски
af,mk,африканс
ak,mk,акански
am,mk,амхарски
ar,mk,арапски
az,mk,азербејџански
be,mk,белоруски
bg,mk,бугарски
bi,mk,бислама
bn,mk,бенгалски
bs,mk,босански
ca,mk,каталонски
ch,mk,чаморски
cs,mk,чешки
cy,mk,велшки
da,mk,дански
de,mk,германски
dv,mk,дивехи
dz,mk,ѕонгка
el,mk,грчки
en,mk,англиски
es,mk,шпански
et,mk,естонски
fa,mk,персиски
fi,mk,фински
fj,mk,фиџиски
fo,mk,фарски
fr,mk,француски
ga,mk,ирски
gv,mk,манкс
ha,mk,хауса
he,mk,хебрејски
hi,mk,хинди
ho,mk,хири моту
hr,mk,хрватски
ht,mk,хаитски
hu,mk,унгарски
hy,mk,ерменски
id,mk,индонезиски
is,mk,исландски
it,mk,италијански
ja,mk,јапонски
ka,mk,грузиски
kk,mk,казашки
kl,mk,калалисут
km,mk,кмерски
ko,mk,корејски
ky,mk,киргиски
la,mk,латински
lb,mk,луксембуршки
lg,mk,ганда
lo,mk,лаошки
lt,mk,литвански
lv,mk,латвиски
mh,mk,маршалски
mi,mk,маорски
mk,mk,македонски
mn,mk,монголски
ms,mk,малајски
mt,mk,малтешки
my,mk,бурмански
na,mk,науруански
ne,mk,непалски
nl,mk,холандски
no,mk,норвешки
ny,mk,њанџа
pl,mk,полски
pt,mk,португалски
ro,mk,романски
ru,mk,руски
rw,mk,руандски
si,mk,синхалски
sk,mk,словачки
sl,mk,словенечки
sm,mk,самоански
sn,mk,шона
so,mk,сомалиски
sq,mk,албански
sr,mk,српски
ss,mk,свати
st,mk,сесото
sv,mk,шведски
sw,mk,свахили
tg,mk,таџикистански
th,mk,тајландски
tk,mk,туркменски
tl,mk,тагалог
tn,mk,цвана
to,mk,тонгајски
tr,mk,турски
uk,mk,украински
ur,mk,урду
uz,mk,узбечки
vi,mk,виетнамски
wo,mk,волофски
zh,mk,кинески
zu,mk,зулу
