key,language_key,name
BF-01,sl,Boucle du Mouhoun
BF-02,sl,Cascades
BF-03,sl,Centre
BF-04,sl,Centre-Est
BF-05,sl,Centre-Nord
BF-06,sl,Centre-Ouest
BF-07,sl,Centre-Sud
BF-08,sl,Est
BF-09,sl,Hauts-Bassins
BF-10,sl,Nord
BF-11,sl,Plateau-Central
BF-12,sl,Sahel
BF-13,sl,Sud-Ouest
BF-BAL,sl,Balé
BF-BAM,sl,Bam
BF-BAN,sl,Banwa
BF-BAZ,sl,Bazèga
BF-BGR,sl,Bougouriba
BF-BLG,sl,Boulgou
BF-BLK,sl,Boulkiemdé
BF-COM,sl,Comoé
BF-GAN,sl,Ganzourgou
BF-GNA,sl,Gnagna
BF-GOU,sl,Gurma
BF-HOU,sl,Houet
BF-IOB,sl,Ioba
BF-KAD,sl,Kadiogo
BF-KEN,sl,Kénédougou
BF-KMD,sl,Komondjari
BF-KMP,sl,Kompienga
BF-KOP,sl,Koulpélogo
BF-KOS,sl,Kossi
BF-KOT,sl,Kouritenga
BF-KOW,sl,Kourwéogo
BF-LER,sl,Léraba
BF-LOR,sl,Lorum
BF-MOU,sl,Mouhoun
BF-NAM,sl,Namentenga
BF-NAO,sl,Nahouri
BF-NAY,sl,Nayala
BF-NOU,sl,Noumbiel
BF-OUB,sl,Oubritenga
BF-OUD,sl,Oudalan
BF-PAS,sl,Passoré
BF-PON,sl,Poni
BF-SEN,sl,Séno
BF-SIS,sl,Sissili
BF-SMT,sl,Sanmatenga
BF-SNG,sl,Sanguié
BF-SOM,sl,Soum
BF-SOR,sl,Sourou
BF-TAP,sl,Tapoa
BF-TUI,sl,Tuy
BF-YAG,sl,Yagha
BF-YAT,sl,Yatenga
BF-ZIR,sl,Ziro
BF-ZON,sl,Zondoma
BF-ZOU,sl,Zoundwéogo
