key,language_key,name
BG-01,ar,مقاطعة بلاغويفغراد
BG-02,ar,قضاء برغاس
BG-03,ar,مقاطعة فارنا
BG-04,ar,مقاطعة ترنوة
BG-05,ar,مقاطعة فيدين
BG-06,ar,مقاطعة فراتسا
BG-07,ar,مقاطعة غابرووو
BG-08,ar,مقاطعة دوبريتش
BG-09,ar,مقاطعة كرجالي
BG-10,ar,مقاطعة كيوستنديل
BG-11,ar,مقاطعة لوفتش
BG-12,ar,مقاطعة مونتانا
BG-13,ar,مقاطعة بزارجق
BG-14,ar,مقاطعة برنيك
BG-15,ar,مقاطعة بلفن
BG-16,ar,مقاطعة بلوفديف
BG-17,ar,مقاطعة رازغراد
BG-18,ar,مقاطعة روسه
BG-19,ar,مقاطعة سيليسترا
BG-20,ar,مقاطعة سليفن
BG-21,ar,مقاطعة سموليان
BG-22,ar,مقاطعة مدينة صوفيا
BG-23,ar,مقاطعة صوفيا
BG-24,ar,قضاء زغرة العتيقة
BG-25,ar,مقاطعة تارغوفيشته
BG-26,ar,مقاطعة خاسكوفو
BG-27,ar,مقاطعة شومن
BG-28,ar,مقاطعة يامبول
