key,language_key,name
CF-AC,id,Prefektur Ouham
CF-BB,id,Bamingui-Bangoran
CF-BGF,id,Bangui
CF-BK,id,Prefektur Basse-Kotto
CF-HK,id,Prefektur Haute-Kotto
CF-HM,id,Prefektur Haut-Mbomou
CF-HS,id,Mambéré-Kadéï
CF-KB,id,Prefektur Ekonomi Nana-Grébizi
CF-KG,id,Prefektur Kémo
CF-LB,id,Lobaye
CF-MB,id,Prefektur Mbomou
CF-MP,id,Prefektur Ombella-M'Poko
CF-NM,id,Prefektur Nana-Mambéré
CF-OP,id,Prefektur Ouham-Pendé
CF-SE,id,Prefektur Ekonomi Sangha-Mbaéré
CF-UK,id,Prefektur Ouaka
CF-VK,id,Prefektur Vakaga
