key,language_key,name
CN-AH,ka,ანხუეი
CN-BJ,ka,ბეი ჯინგ
CN-CQ,ka,ჩუნცინი
CN-FJ,ka,ფუძიანი
CN-GD,ka,გუანდუნი
CN-GS,ka,განსუ
CN-GX,ka,გუანსი-ჯუანი
CN-GZ,ka,გუიჯოუ
CN-HA,ka,ხენანი
CN-HB,ka,ხუბეი
CN-HE,ka,ხებეი
CN-HI,ka,ხაინანი
CN-HK,ka,\N
CN-HL,ka,ხეილუნძიანი
CN-HN,ka,ხუნანი
CN-JL,ka,გირინი
CN-JS,ka,ძიანსუ
CN-JX,ka,ძიანსი
CN-LN,ka,ლიაონინი
CN-MO,ka,მაკაო სარი
CN-NM,ka,შიგა მონღოლეთი
CN-NX,ka,ნინსია-ხუეი
CN-QH,ka,ცინხაი
CN-SC,ka,სიჩუანი
CN-SD,ka,შანდუნი
CN-SH,ka,შანხაი
CN-SN,ka,შენსი
CN-SX,ka,შანსი
CN-TJ,ka,ტიანძინი
CN-TW,ka,ტაივანის შენგი
CN-XJ,ka,სინძიანი
CN-XZ,ka,ტიბეტის ავტონომიური რეგიონი
CN-YN,ka,იუნანი
CN-ZJ,ka,ჯეძიანი
