key,language_key,name
CO-AMA,km,អាម៉ាហ្សូន
CO-ANT,km,\N
CO-ARA,km,\N
CO-ATL,km,\N
CO-BOL,km,\N
CO-BOY,km,\N
CO-CAL,km,\N
CO-CAQ,km,\N
CO-CAS,km,\N
CO-CAU,km,\N
CO-CES,km,\N
CO-CHO,km,\N
CO-COR,km,\N
CO-CUN,km,\N
CO-DC,km,\N
CO-GUA,km,\N
CO-GUV,km,\N
CO-HUI,km,\N
CO-LAG,km,\N
CO-MAG,km,\N
CO-MET,km,\N
CO-NAR,km,នាយកដ្ឋាន ណារីណូ
CO-NSA,km,\N
CO-PUT,km,\N
CO-QUI,km,\N
CO-RIS,km,\N
CO-SAN,km,\N
CO-SAP,km,\N
CO-SUC,km,ដេប៉ាតឺម៉ង់
CO-TOL,km,ដេប៉ាមេនតូ ដឺ តូលីម៉ា
CO-VAC,km,ដេប៉ាតឺម៉ង់
CO-VAU,km,\N
CO-VID,km,\N
