key,language_key,name
CV-B,lt,Ilhasas de Barlaventas
CV-BR,lt,Concelho da Brava
CV-BV,lt,Concelho da Boa Vista
CV-CA,lt,Concelho de Santa Catarina
CV-CF,lt,Concelho de Santa Catarina do Fogo
CV-CR,lt,Concelho de Santa Cruz
CV-MA,lt,Concelho do Maio
CV-MO,lt,Concelho dos Mosteiros
CV-PA,lt,Concelho do Paul
CV-PN,lt,Concelho do Porto Novo
CV-PR,lt,Concelho da Praia
CV-RB,lt,Concelho da Ribeira Brava
CV-RG,lt,Concelho da Ribeira Grande
CV-RS,lt,Concelho de Ribeira Grande de Santiago
CV-S,lt,Ilhas de Sotavento
CV-SD,lt,Concelho de San Domingos
CV-SF,lt,Concelho do Sao Filipe
CV-SL,lt,Salo savivaldybė
CV-SM,lt,Concelho de Sao Miguel
CV-SO,lt,San Lourenco dos Orgaos
CV-SS,lt,Concelho de Sao Salvador do Mundo
CV-SV,lt,Concelho de Sao Vicente
CV-TA,lt,Concelho do Tarrafal
CV-TS,lt,Concelho do Tarrafal de San Nicolau
