key,language_key,name
EE-130,cs,Alutaguse
EE-141,cs,Anija
EE-142,cs,Antsla
EE-171,cs,Elva
EE-184,cs,Haapsalu
EE-191,cs,Haljala
EE-198,cs,Harku
EE-205,cs,Hiiumaa
EE-214,cs,Häädemeeste
EE-245,cs,Jõelähtme
EE-247,cs,Jõgeva
EE-251,cs,Jõhvi
EE-255,cs,Järva
EE-272,cs,Kadrina
EE-283,cs,Kambja
EE-284,cs,Kanepi
EE-291,cs,Kastre
EE-293,cs,Kehtna
EE-296,cs,Keila
EE-303,cs,Kihnu
EE-305,cs,Kiili
EE-317,cs,Kohila
EE-321,cs,Kohtla-Järve
EE-338,cs,Kose
EE-353,cs,Kuusalu
EE-37,cs,Harjumaa
EE-39,cs,Hiiumaa
EE-424,cs,Loksa
EE-430,cs,Lääneranna
EE-431,cs,Lääne-Harju
EE-432,cs,Luunja
EE-441,cs,Lääne-Nigula
EE-442,cs,Lüganuse
EE-446,cs,Maardu
EE-45,cs,Ida-Virumaa
EE-478,cs,Muhu
EE-480,cs,Mulgi
EE-486,cs,Mustvee
EE-50,cs,Jõgevamaa
EE-503,cs,Märjamaa
EE-511,cs,Narva
EE-514,cs,Narva-Jõesuu
EE-52,cs,Järvamaa
EE-528,cs,Nõo
EE-557,cs,Otepää
EE-56,cs,Läänemaa
EE-567,cs,Zaplaceno
EE-586,cs,Peipsiääre
EE-60,cs,Lääne-Virumaa
EE-615,cs,Põhja-Sakala
EE-618,cs,Põltsamaa
EE-622,cs,Põlva
EE-624,cs,Pärnu
EE-638,cs,Põhja-Pärnumaa
EE-64,cs,Põlvamaa
EE-651,cs,Raasiku
EE-653,cs,Rae
EE-661,cs,Rakvere
EE-663,cs,Rakvere
EE-668,cs,Rápla
EE-68,cs,Pärnumaa
EE-689,cs,Ruhnu
EE-698,cs,Rõuge
EE-708,cs,Räpina
EE-71,cs,Raplamaa
EE-712,cs,Saarde
EE-714,cs,Saaremaa
EE-719,cs,Saku
EE-726,cs,Saue
EE-732,cs,Setomaa
EE-735,cs,Sillamäe
EE-74,cs,Saaremaa
EE-784,cs,Tallinn
EE-79,cs,Tartumaa
EE-792,cs,Tapa
EE-793,cs,Tartu
EE-796,cs,Tartu
EE-803,cs,Toila
EE-809,cs,Tori
EE-81,cs,Valgamaa
EE-824,cs,Tõrva
EE-834,cs,Türi
EE-84,cs,Viljandimaa
EE-855,cs,Valga
EE-87,cs,Võrumaa
EE-890,cs,Viimsi
EE-897,cs,Viljandi
EE-899,cs,Viljandi
EE-901,cs,Vinni
EE-903,cs,Viru-Nigula
EE-907,cs,Vormsi
EE-917,cs,Võru
EE-919,cs,Võru
EE-928,cs,Väike-Maarja
