key,language_key,name
EG-ALX,sm,Alesania
EG-ASN,sm,aswan
EG-AST,sm,Muhafazat Asyut
EG-BA,sm,\N
EG-BH,sm,Beheira Governorate
EG-BNS,sm,Muhafazat Bani Suwayf
EG-C,sm,\N
EG-DK,sm,Muhafazat ad Daqahliyah
EG-DT,sm,\N
EG-FYM,sm,Muhafazat al Fayyum
EG-GH,sm,Muhafazat al Gharbiyah
EG-GZ,sm,Muhafazat al Jizah
EG-IS,sm,\N
EG-JS,sm,Itumalo o Sinai i Saute
EG-KB,sm,Muhafazat al Qalyubiyah
EG-KFS,sm,Kafr ash Shaykh
EG-KN,sm,Muhafazat Qina
EG-LX,sm,Luxor
EG-MN,sm,Muhafazat al Minya
EG-MNF,sm,Muhafazat al Minufiyah
EG-MT,sm,Muhafazat Matruh
EG-PTS,sm,Port Said
EG-SHG,sm,Muhafazat Suhaj
EG-SHR,sm,Muhafazat lesh Sharqiyah
EG-SIN,sm,Sinai i Matu
EG-SUZ,sm,Suez
EG-WAD,sm,Vanu Fou
