key,language_key,name
ES-A,zu,I-Alicante
ES-AB,zu,I-Albacete
ES-AL,zu,I-Almería
ES-AN,zu,I-Andalusia
ES-AR,zu,I-Aragon
ES-AS,zu,\N
ES-AV,zu,U-Ávila
ES-B,zu,I-Barcelona [i-Barcelona]
ES-BA,zu,I-Badajoz
ES-BI,zu,I-Bizkaia
ES-BU,zu,Burgos
ES-C,zu,I-A Coruña [La Coruña]
ES-CA,zu,I-Cádiz
ES-CB,zu,I-Cantabria
ES-CC,zu,I-Cáceres
ES-CE,zu,Ceuta
ES-CL,zu,UCastilla noLeon
ES-CM,zu,I-Castilla-La Mancha
ES-CN,zu,Iziqhingi iKhaneli
ES-CO,zu,I-Córdoba
ES-CR,zu,I-Ciudad Real
ES-CS,zu,I-Castellón
ES-CT,zu,I-Catalunya
ES-CU,zu,I-Cuenca
ES-EX,zu,I-Extremadura
ES-GA,zu,I-Galicia
ES-GC,zu,I-Las Palmas
ES-GI,zu,IGirona [iGerona]
ES-GR,zu,IGranada
ES-GU,zu,I-Guadalajara
ES-H,zu,I-Huelva
ES-HU,zu,I-Huesca
ES-IB,zu,Comunitat Autonoma de les Illes Balears
ES-J,zu,UJaén
ES-L,zu,ULleida [Lérida]
ES-LE,zu,León
ES-LO,zu,I-La Rioja
ES-LU,zu,Lugo [Lugo]
ES-M,zu,IMadrid
ES-MA,zu,I-Málaga
ES-MC,zu,Isifunda sase-Murcia
ES-MD,zu,I-Comunidad de Madrid
ES-ML,zu,IMelilla
ES-MU,zu,I-Murcia
ES-NA,zu,I-Navarra
ES-NC,zu,I-Navarra
ES-O,zu,I-Asturias
ES-OR,zu,I-Ourense [i-Orense]
ES-P,zu,I-Palencia
ES-PM,zu,Illes Balears [Islas Baleares]
ES-PO,zu,I-Pontevedra [i-Pontevedra]
ES-PV,zu,I-Euskal Autonomia Erkidegoa
ES-RI,zu,I-La Rioja
ES-S,zu,I-Cantabria
ES-SA,zu,I-Salamanca
ES-SE,zu,ISevilla
ES-SG,zu,ISegovia
ES-SO,zu,I-Soria
ES-SS,zu,I-Gipuzkoa
ES-T,zu,I-Tarragona [i-Tarragona]
ES-TE,zu,I-Teruel
ES-TF,zu,I-Santa Cruz de Tenerife
ES-TO,zu,I-Toledo
ES-V,zu,I-Valencia
ES-VA,zu,I-Valladolid
ES-VC,zu,I-Comunitat Valenciana
ES-VI,zu,I-Álava
ES-Z,zu,I-Zaragoza
ES-ZA,zu,UZamora
