key,language_key,name
GB-ABC,sr,"Армагх Цити, Банбридге и Цраигавон"
GB-ABD,sr,Абердееншире
GB-ABE,sr,Абердеен Читј
GB-AGB,sr,Аргилл и Буте
GB-AGY,sr,Острво Англси [Сир Инис Мон ГБ-ИНМ]
GB-AND,sr,Ардс анд Нортх Довн
GB-ANN,sr,Антрим и Невтовнаббеи
GB-ANS,sr,Ангус
GB-BAS,sr,Батх анд Нортх Еаст Сомерсет
GB-BBD,sr,Блекбурн са Дарвеном
GB-BCP,sr,"Борнмут, Крајстчерч и Пул"
GB-BDF,sr,Бедфорд
GB-BDG,sr,Баркинг анд Дагенхам
GB-BEN,sr,Брент
GB-BEX,sr,Беклеи
GB-BFS,sr,Белфаст Читј
GB-BGE,sr,Бридгенд [Пен-и-бонт ар Огвр ГБ-ПОГ]
GB-BGW,sr,Блаенау Гвент
GB-BIR,sr,Бирмингхам
GB-BKM,sr,Бучкингхамшире
GB-BNE,sr,Барнет
GB-BNH,sr,Бригхтон анд Хове
GB-BNS,sr,Барнслеи
GB-BOL,sr,Болтон
GB-BPL,sr,Блачкпоол
GB-BRC,sr,Брачкнел Форест
GB-BRD,sr,Брадфорд
GB-BRY,sr,Бромлеи
GB-BST,sr,"Бристол, град"
GB-BUR,sr,Бури
GB-CAM,sr,Чамбридгешире
GB-CAY,sr,Чаерпхилј [Чаерффили ГБ-ЋАФ]
GB-CBF,sr,Централ Бедфордшире
GB-CCG,sr,Чаусевај Цоаст анд Гленс
GB-CGN,sr,Чередигион [Сир Чередигион]
GB-CHE,sr,Чешире Еаст
GB-CHW,sr,Цхесхире Вест и Цхестер
GB-CLD,sr,Чалдердале
GB-CLK,sr,Члачкманнаншире
GB-CMA,sr,Чумбриа
GB-CMD,sr,Чамден
GB-CMN,sr,Чармартхеншире [Сир Гаерфјрддин ГБ-ГФЈ]
GB-CON,sr,Цорнвалл
GB-COV,sr,Цовентри
GB-CRF,sr,Кардиф [Цаердидд ГБ-ЦРД]
GB-CRY,sr,Цроидон
GB-CWY,sr,Цонви
GB-DAL,sr,Дарлингтон
GB-DBY,sr,Дербисхире
GB-DEN,sr,Денбигхшире [Сир Ддинбјч ГБ-ДДБ]
GB-DER,sr,Дерби
GB-DEV,sr,Девон
GB-DGY,sr,Думфриес и Галловаи
GB-DNC,sr,Дончастер
GB-DND,sr,Дундее Читј
GB-DOR,sr,Дорсет
GB-DRS,sr,Деррј анд Страбане
GB-DUD,sr,Дудлеи
GB-DUR,sr,Дурхам
GB-EAL,sr,Еалинг
GB-EAY,sr,Еаст Аирсхире
GB-EDH,sr,"Единбург, град"
GB-EDU,sr,Еаст Дунбартоншире
GB-ELN,sr,Еаст Лотхиан
GB-ELS,sr,Еилеан Сиар
GB-ENF,sr,Енфилд
GB-ENG,sr,Енглеска
GB-ERW,sr,Еаст Ренфревшире
GB-ERY,sr,Еаст Ридинг оф Јоркшире
GB-ESS,sr,Ессек
GB-ESX,sr,Еаст Суссек
GB-FAL,sr,Фалкирк
GB-FIF,sr,Фифе
GB-FLN,sr,Флинтшир [Сир и Ффлинт ГБ-ФФЛ]
GB-FMO,sr,Ферманагх анд Омагх
GB-GAT,sr,Гатешеад
GB-GLG,sr,Гласгов Цити
GB-GLS,sr,Глоучестершире
GB-GRE,sr,Греенвицх
GB-GWN,sr,Гвинедд
GB-HAL,sr,Халтон
GB-HAM,sr,Хампсхире
GB-HAV,sr,Хаверинг
GB-HCK,sr,Хацкнеи
GB-HEF,sr,Херефордшир
GB-HIL,sr,Хилингдон
GB-HLD,sr,Хигхланд
GB-HMF,sr,Хаммерсмитх анд Фулхам
GB-HNS,sr,Хоунслов
GB-HPL,sr,Хартлепоол
GB-HRT,sr,Хертфордшире
GB-HRW,sr,Дрљача
GB-HRY,sr,Харингеи
GB-IOS,sr,Ислес оф Сцилли
GB-IOW,sr,Ишле оф Вигхт
GB-ISL,sr,Ислингтон
GB-IVC,sr,Инверчлјде
GB-KEC,sr,Кенсингтон анд Челшеа
GB-KEN,sr,Кент
GB-KHL,sr,Кингстон упон Хул
GB-KIR,sr,Кирклееш
GB-KTT,sr,Кингстон упон Тхамес
GB-KWL,sr,Кновслеи
GB-LAN,sr,Ланчашире
GB-LBC,sr,Лисбурн анд Частлереагх
GB-LBH,sr,Ламбет
GB-LCE,sr,Леицестер
GB-LDS,sr,Леедс
GB-LEC,sr,Леичестершире
GB-LEW,sr,Левисхам
GB-LIN,sr,Линчолншире
GB-LIV,sr,Ливерпул
GB-LND,sr,"Лондон, Цити оф"
GB-LUT,sr,Лутон
GB-MAN,sr,Манчестер
GB-MDB,sr,Миддлесброугх
GB-MDW,sr,Медваи
GB-MEA,sr,Мид анд Еаст Антрим
GB-MIK,sr,Милтон Кејнеш
GB-MLN,sr,Мидлотијан
GB-MON,sr,Монмоутхсхире [Сир Финви ГБ-ФИН]
GB-MRT,sr,Мертон
GB-MRY,sr,Мораи
GB-MTY,sr,Мертхир Тидфил [Мертхир Тудфул ГБ-МТУ]
GB-MUL,sr,Мид-Улстер
GB-NAY,sr,Нортх Аирсхире
GB-NBL,sr,Нортхумберланд
GB-NEL,sr,Нортх Еаст Линчолншире
GB-NET,sr,Њукасл на Тајну
GB-NFK,sr,Норфолк
GB-NGM,sr,Ноттингхам
GB-NIR,sr,Северна Ирска
GB-NLK,sr,Нортх Ланаркшире
GB-NLN,sr,Нортх Линчолншире
GB-NMD,sr,"Неври, Морне анд Довн"
GB-NNH,sr,Нортх Нортхамптоншире
GB-NSM,sr,Нортх Сомерсет
GB-NTL,sr,Неатх Порт Талбот [Цастелл-недд Порт Талбот ГБ-ЦТЛ]
GB-NTT,sr,Ноттингхамшире
GB-NTY,sr,Нортх Тјнесиде
GB-NWM,sr,Невхам
GB-NWP,sr,Њупорт [Цасневидд ГБ-ЦНВ]
GB-NYK,sr,Северни Јоркшир
GB-OLD,sr,Олдам
GB-ORK,sr,Оркнеј Исландс
GB-OXF,sr,Оксфордшир
GB-PEM,sr,Пемброкшир [Сир Бенфро ГБ-БНФ]
GB-PKN,sr,Пертх анд Кинрос
GB-PLY,sr,Плимоутх
GB-POR,sr,Портсмоутх
GB-POW,sr,Повис
GB-PTE,sr,Петербороугх
GB-RCC,sr,Редчар анд Члевеланд
GB-RCH,sr,Рочдале
GB-RCT,sr,Ронда Цинон Тафф [Рхондда ЦинонТаф]
GB-RDB,sr,Редбридге
GB-RDG,sr,Рединг
GB-RFW,sr,Ренфревсхире
GB-RIC,sr,Ричмонд упон Тхамес
GB-ROT,sr,Ротхерхам
GB-RUT,sr,Рутланд
GB-SAW,sr,Сандвелл
GB-SAY,sr,Соутх Аирсхире
GB-SCB,sr,Сцоттиш Бордерс
GB-SCT,sr,Шкотска
GB-SFK,sr,Суффолк
GB-SFT,sr,Сефтон
GB-SGC,sr,Соутх Глоучестершире
GB-SHF,sr,Схеффиелд
GB-SHN,sr,Ст. Хеленс
GB-SHR,sr,Схропсхире
GB-SKP,sr,Стокпорт
GB-SLF,sr,Салфорд
GB-SLG,sr,Слоугх
GB-SLK,sr,Соутх Ланаркшире
GB-SND,sr,Сундерланд
GB-SOL,sr,Солихул
GB-SOM,sr,Сомерсет
GB-SOS,sr,Соутхенд-он-Сеа
GB-SRY,sr,Сурреи
GB-STE,sr,Стоке-он-Трент
GB-STG,sr,Стирлинг
GB-STH,sr,Соутхамптон
GB-STN,sr,Суттон
GB-STS,sr,Стаффордшире
GB-STT,sr,Сточктон-он-Тееш
GB-STY,sr,Соутх Тјнесиде
GB-SWA,sr,Сваншеа [Абертаве ГБ-АТА]
GB-SWD,sr,Свиндон
GB-SWK,sr,Соутхварк
