key,language_key,name
GT-01,sm,Departamento de Kuatemala
GT-02,sm,Departamento de El Progreso
GT-03,sm,Departamento de Sacatepequez
GT-04,sm,Departamento de Chimaltenango
GT-05,sm,Departamento de Escuintla
GT-06,sm,Matagaluega o Santa Rosa
GT-07,sm,Departamento de Solola
GT-08,sm,Totonicapan
GT-09,sm,Departamento de Quetzaltenango
GT-10,sm,Suchitepequez
GT-11,sm,Departamento de Retalhuleu
GT-12,sm,Departamento de San Marcos
GT-13,sm,Departamento de Huehuetenango
GT-14,sm,Departamento del Quiche
GT-15,sm,Departamento de Baja Verapaz
GT-16,sm,Departamento de Alta Verapaz
GT-17,sm,Departamento del Peten
GT-18,sm,Departamento de Izabal
GT-19,sm,Departamento de Zacapa
GT-20,sm,Departamento de Chiquimula
GT-21,sm,Jalapa
GT-22,sm,Departamento de Jutiapa
