key,language_key,name
HR-01,sq,Zhupania e Zagrebit
HR-02,sq,Zhupania e Zagorës dhe Krapinës
HR-03,sq,Zhupania e Sisakut dhe Mosllovaçës
HR-04,sq,Zhupania e Karllovcit
HR-05,sq,Zhupania e Varazhdinit
HR-06,sq,Zhupania e Koprivnicës dhe Krizhevcit
HR-07,sq,Zhupania e Bjellovarit dhe Billogorit
HR-08,sq,Zhupania bregdetaro-malore
HR-09,sq,Zhupania e Likës dhe Senjit
HR-10,sq,Zhupania e Viroviticës dhe Podravkës
HR-11,sq,Zhupania Pozhega-Sllavonia
HR-12,sq,Zhupania e Brodit dhe Posavinës
HR-13,sq,Zhupania e Zarës
HR-14,sq,Zhupania e Osijekut dhe Baranjës
HR-15,sq,Zhupania e Kninit dhe Shibenikut
HR-16,sq,Zhupania e Vukovarit dhe Sremit
HR-17,sq,Zhupania e Splitit dhe e Dalmacisë
HR-18,sq,Zhupania e Istrës
HR-19,sq,Zhupania e Dubrovnikut dhe Neretvës
HR-20,sq,Zhupania e Megjimurës
HR-21,sq,Zagrebi
