key,language_key,name
HU-BA,ro,Baranya
HU-BC,ro,Békéscsaba
HU-BE,ro,Békés
HU-BK,ro,Bács-Kiskun
HU-BU,ro,Budapesta
HU-BZ,ro,Județul Borsod-Abaúj-Zemplén
HU-CS,ro,Csongrád-Csanád
HU-DE,ro,Debrecen
HU-DU,ro,Dunaújváros
HU-EG,ro,Eger
HU-ER,ro,Érd
HU-FE,ro,Județul Fejér
HU-GS,ro,Județul Győr-Moson-Sopron
HU-GY,ro,Győr
HU-HB,ro,Hajdú-Bihar
HU-HE,ro,Heves
HU-HV,ro,Hódmezővásárhely
HU-JN,ro,Județul Jász-Nagykun-Szolnok
HU-KE,ro,Județul Komárom-Esztergom
HU-KM,ro,Kecskemét
HU-KV,ro,Kaposvár
HU-MI,ro,Miskolc
HU-NK,ro,Nagykanizsa
HU-NO,ro,Nógrád
HU-NY,ro,Nyíregyháza
HU-PE,ro,Pesta
HU-PS,ro,Pécs
HU-SD,ro,Szeged
HU-SF,ro,Székesfehérvár
HU-SH,ro,Szombathely
HU-SK,ro,Szolnok
HU-SN,ro,Șopron
HU-SO,ro,județul Somogy
HU-SS,ro,Szekszárd
HU-ST,ro,Salgótarján
HU-SZ,ro,Județul Szabolcs-Szatmár-Bereg
HU-TB,ro,Tatabánya
HU-TO,ro,Tolna
HU-VA,ro,Vas
HU-VE,ro,Veszprém
HU-VM,ro,Veszprém
HU-ZA,ro,Zala
HU-ZE,ro,Zalaegerszeg
