key,language_key,name
HU-BA,tr,Baranya ili
HU-BC,tr,Békéscsaba
HU-BE,tr,Bekeş ili
HU-BK,tr,Bács-Kiskun ili
HU-BU,tr,Budapeşte
HU-BZ,tr,Borsod-Abaúj-Zemplén ili
HU-CS,tr,Csongrád-Csanád ili
HU-DE,tr,Debrecen
HU-DU,tr,Dunaújváros
HU-EG,tr,Eger
HU-ER,tr,Érd
HU-FE,tr,Fejér ili
HU-GS,tr,Győr-Moson-Sopron ili
HU-GY,tr,Győr
HU-HB,tr,Hajdú-Bihar ili
HU-HE,tr,Heves ili
HU-HV,tr,Hódmezővásárhely
HU-JN,tr,Jász-Nagykun-Szolnok ili
HU-KE,tr,Komárom-Esztergom ili
HU-KM,tr,Kecskemét
HU-KV,tr,Kaposvár
HU-MI,tr,Miskolc
HU-NK,tr,Nagykanizsa
HU-NO,tr,Nógrád ili
HU-NY,tr,Nyíregyháza
HU-PE,tr,Pest ili
HU-PS,tr,Pécs
HU-SD,tr,Szeged
HU-SF,tr,Székesfehérvár
HU-SH,tr,Szombathely
HU-SK,tr,Szolnok
HU-SN,tr,Sopron
HU-SO,tr,Somogy ili
HU-SS,tr,Szekszárd
HU-ST,tr,Salgótarján
HU-SZ,tr,Szabolcs-Szatmár-Bereg ili
HU-TB,tr,Tatabánya
HU-TO,tr,Tolna ili
HU-VA,tr,Vas ili
HU-VE,tr,Vesprim ili
HU-VM,tr,Veszprém
HU-ZA,tr,Zala ili
HU-ZE,tr,Zalaegerszeg
