key,language_key,name
ID-AC,el,Νανγγροε Ακηη Δαρυσσαλάμ Προβίνκε
ID-BA,el,Προβινση Πάλι
ID-BB,el,Κεπουλαουάν Μπάνγκα Μπελιτούνγκ
ID-BE,el,Προπινσί Μπενγκούλου
ID-BT,el,Μπάντεν
ID-GO,el,Προβίνσι Γκοροντάλο
ID-JA,el,Προβινση Γαμπι
ID-JB,el,Τζάουα Μπαράτ
ID-JI,el,Τζάουα Τιμούρ
ID-JK,el,Νταέρα Χούσους Ιμπουκότα Τζακάρτα
ID-JT,el,Προβινση Γαβα Τενγάη
ID-JW,el,Τζάουα
ID-KA,el,Καλιμαντάν
ID-KB,el,Προβινση Καλιμανταν Βαράτε
ID-KI,el,Προβινση Καλιμανταν Τιμόρ
ID-KR,el,Προβινση Κεπυλαυαν Ρηαο
ID-KS,el,Προβινση Καλιμανταν Σελάταν
ID-KT,el,Προβινση Καλιμανταν Τενγάη
ID-KU,el,Νορθ Καλιμανταν
ID-LA,el,Προβινση Λαμπόγυαλο
ID-MA,el,Προβίνσι Μαλούκου
ID-ML,el,Μαλούκου
ID-MU,el,Βόρειο Μαλούκου
ID-NB,el,Δυτική Νούσα Τενγκάρα
ID-NT,el,Ανατολική Νούσα Τενγκάρα
ID-NU,el,Νούσα Τενγκάρα
ID-PA,el,Προβινση Παπυα
ID-PB,el,Προβίνσι Παπούα Μπαράτ
ID-PD,el,Παπούα Μπαράτ Ντάγια
ID-PE,el,Παπούα Πενγκουνούνγκαν
ID-PP,el,Παπούα
ID-PS,el,Παπούα Σελάταν
ID-PT,el,Παπούα Τενγκα
ID-RI,el,Προβίνσι Ριάου
ID-SA,el,Σουλαουέζι Ουτάρα
ID-SB,el,Προβίνσι Σουμάτερα Μπαράτ
ID-SG,el,Σουλαουσέσι Τενγκάρα
ID-SL,el,Σουλαουέζι
ID-SM,el,Σουματέρα
ID-SN,el,Προβινση Συλαβέση Σελάταν
ID-SR,el,Προβινση Συλαβέση Βαράτε
ID-SS,el,Σουματέρα Σελάταν
ID-ST,el,Σουλαουσέσι Τενγκά
ID-SU,el,Νορθ Συμάτρα
ID-YO,el,Νταέραχ Ιστιμέβα Γιόγκιακαρτά
