key,language_key,name
ID-AC,to,Ko e Vahefonua Nanggroe ʻAse Talusilami
ID-BA,to,\N
ID-BB,to,Kepulauan Bangka Pelitungi
ID-BE,to,Polopinisi Penikulu
ID-BT,to,Banteni
ID-GO,to,\N
ID-JA,to,\N
ID-JB,to,Jawa Palati
ID-JI,to,\N
ID-JK,to,Teala Khususi ʻIpukota Siakata
ID-JT,to,\N
ID-JW,to,Jawa
ID-KA,to,Kalimanitani
ID-KB,to,\N
ID-KI,to,\N
ID-KR,to,\N
ID-KS,to,Vahefonua Kalimanitani Selatani
ID-KT,to,\N
ID-KU,to,Kalimanitani Tokelau
ID-LA,to,\N
ID-MA,to,\N
ID-ML,to,Maluku
ID-MU,to,Maluku Tokelau
ID-NB,to,\N
ID-NT,to,Nusa Tengalā Hahake
ID-NU,to,Nusa Tengalā
ID-PA,to,\N
ID-PB,to,\N
ID-PD,to,Papua Palati Daya
ID-PE,to,Papua Pengunungan
ID-PP,to,Pāpua
ID-PS,to,Papua Selate
ID-PT,to,Papua Tenga
ID-RI,to,\N
ID-SA,to,Sulavesi ʻUtala
ID-SB,to,\N
ID-SG,to,Sulauesi Tengalā
ID-SL,to,Sulauesi
ID-SM,to,Sumatela
ID-SN,to,\N
ID-SR,to,Vahefonua Sulawesi Palati
ID-SS,to,Sumatela Selate
ID-ST,to,Sulavesi Tonga
ID-SU,to,Sumata Tokelau
ID-YO,to,Teala ʻIsitimeua ʻIokiakata
