key,language_key,name
ID-AC,vi,Tỉnh Nanggroe Aceh Darussalam
ID-BA,vi,Tỉnh Bali
ID-BB,vi,Kepulauan Bangka Belitung
ID-BE,vi,Propinsi Bengkulu
ID-BT,vi,Banten
ID-GO,vi,Provinsi Gorontalo
ID-JA,vi,Provinsi Jambi
ID-JB,vi,Jawa Barat
ID-JI,vi,Jawa Timur
ID-JK,vi,Daerah Khusus Ibukota Jakarta
ID-JT,vi,Provinsi Jawa Tengah
ID-JW,vi,Jawa
ID-KA,vi,Kalimantan
ID-KB,vi,Provinsi Kalimantan Barat
ID-KI,vi,Provinsi Kalimantan Timur
ID-KR,vi,Provinsi Kepulauan Riau
ID-KS,vi,Provinsi Kalimantan Selatan
ID-KT,vi,Provinsi Kalimantan Tengah
ID-KU,vi,North Kalimantan
ID-LA,vi,Provinsi Lampung
ID-MA,vi,Provinsi Maluku
ID-ML,vi,Maluku
ID-MU,vi,North Maluku
ID-NB,vi,West Nusa Tenggara
ID-NT,vi,East Nusa Tenggara
ID-NU,vi,Nusa Tenggara
ID-PA,vi,\N
ID-PB,vi,Tỉnh Papua Barat
ID-PD,vi,Papua Barat Daya
ID-PE,vi,Papua Pengunungan
ID-PP,vi,Papua
ID-PS,vi,Papua Selatan
ID-PT,vi,Papua Tengah
ID-RI,vi,Provinsi Riau
ID-SA,vi,Sulawesi Utara
ID-SB,vi,Provinsi Sumatera Barat
ID-SG,vi,Sulawesi Tenggara
ID-SL,vi,Sulawesi
ID-SM,vi,Sumatra
ID-SN,vi,Provinsi Sulawesi Selatan
ID-SR,vi,Provinsi Sulawesi Barat
ID-SS,vi,Sumatera Selatan
ID-ST,vi,Sulawesi Tengah
ID-SU,vi,North Sumatra
ID-YO,vi,Daerah Istimewa Yogyakarta
