key,language_key,name
IE-C,sk,Connacht
IE-CE,sk,Clare
IE-CN,sk,Cavan
IE-CO,sk,Cork
IE-CW,sk,Carlow
IE-D,sk,Dublin
IE-DL,sk,Donegal
IE-G,sk,Galway
IE-KE,sk,Kildare
IE-KK,sk,Kilkenny
IE-KY,sk,Kerry
IE-L,sk,Leinster
IE-LD,sk,Longford
IE-LH,sk,Louth
IE-LK,sk,Limerick
IE-LM,sk,Leitrim
IE-LS,sk,Laois
IE-M,sk,Munster
IE-MH,sk,Meath
IE-MN,sk,Monaghan
IE-MO,sk,Mayo
IE-OY,sk,Offaly
IE-RN,sk,Roscommon
IE-SO,sk,Sligo
IE-TA,sk,Tipperary
IE-U,sk,Ulster
IE-WD,sk,Waterford
IE-WH,sk,Westmeath
IE-WW,sk,Wicklow
IE-WX,sk,Wexford
