key,language_key,name
IR-00,et,Markazī provints
IR-01,et,Gīlāni provints
IR-02,et,Māzandarān
IR-03,et,Ida-Aserbaidžaan
IR-04,et,Lääne-Aserbaidžaan
IR-05,et,Kermānshāhāni provints
IR-06,et,Khūzestān
IR-07,et,Farsi provints
IR-08,et,Kermāni provints
IR-09,et,Razavi-Khorāsān
IR-10,et,Eşfahāni provints
IR-11,et,Sīstān va Balūchestān
IR-12,et,Kurdistani provints
IR-13,et,Hamadāni provints
IR-14,et,Chahār Maḩāll va Bakhtīārī
IR-15,et,Lorestān
IR-16,et,Īlāmi provints
IR-17,et,Kohkīlūyeh va Būyer Aḩmadī provints
IR-18,et,Būshehri provints
IR-19,et,Zanjāni provints
IR-20,et,Semnāni provints
IR-21,et,Yazdi provints
IR-22,et,Hormozgāni provints
IR-23,et,Teherani provints
IR-24,et,Ardabīli provints
IR-25,et,Qomi provints
IR-26,et,Qazvīni provints
IR-27,et,Golestān
IR-28,et,Põhja-Khorāsān
IR-29,et,Lõuna-Khorāsān
IR-30,et,Alborzi provints
