key,country,name,native_name,capital,population,timezone_utc,timezone_iana
IS-1,IS,Hoefudborgarsvaedi,Höfuðborgarsvæði,\N,209680,UTC+0,Atlantic/Reykjavik
IS-2,IS,Sudurnes,Suðurnes,2677309,20300,UTC+0,Atlantic/Reykjavik
IS-3,IS,Vesturland,Vesturland,2677334,15300,UTC+0,Atlantic/Reykjavik
IS-4,IS,Vestfirdir,Vestfirðir,2677310,7300,UTC+0,Atlantic/Reykjavik
IS-5,IS,Nordurland Vestra,Norðurland Vestra,2677261,7810,UTC+0,Atlantic/Reykjavik
IS-6,IS,Nordurland Eystra,Norðurland Eystra,2677284,28618,UTC+0,Atlantic/Reykjavik
IS-7,IS,Austurland,Austurland,2677277,15300,UTC+0,Atlantic/Reykjavik
IS-8,IS,Sudurland,Suðurland,2677296,23311,UTC+0,Atlantic/Reykjavik
IS-AKN,IS,Akraneskaupstaður,\N,\N,\N,UTC+0,Atlantic/Reykjavik
IS-AKU,IS,Akureyrarbær,\N,\N,\N,UTC+0,Atlantic/Reykjavik
IS-ARN,IS,Árneshreppur,\N,\N,\N,UTC+0,Atlantic/Reykjavik
IS-ASA,IS,Ásahreppur,\N,\N,\N,UTC+0,Atlantic/Reykjavik
IS-BLA,IS,Bláskógabyggð,\N,\N,\N,UTC+0,Atlantic/Reykjavik
IS-BOG,IS,Borgarbyggð,\N,\N,\N,UTC+0,Atlantic/Reykjavik
IS-BOL,IS,Bolungarvíkurkaupstaður,\N,\N,\N,UTC+0,Atlantic/Reykjavik
IS-DAB,IS,Dalabyggð,\N,\N,\N,UTC+0,Atlantic/Reykjavik
IS-DAV,IS,Dalvíkurbyggð,\N,\N,\N,UTC+0,Atlantic/Reykjavik
IS-EOM,IS,Eyja- og Miklaholtshreppur,\N,\N,\N,UTC+0,Atlantic/Reykjavik
IS-EYF,IS,Eyjafjarðarsveit,\N,\N,\N,UTC+0,Atlantic/Reykjavik
IS-FJD,IS,Fjarðabyggð,\N,\N,\N,UTC+0,Atlantic/Reykjavik
IS-FJL,IS,Fjallabyggð,\N,\N,\N,UTC+0,Atlantic/Reykjavik
