key,language_key,name
JP-01,ru,Хоккайдо
JP-02,ru,Аомори
JP-03,ru,Иватэ
JP-04,ru,Мияги
JP-05,ru,Акита
JP-06,ru,Ямагата
JP-07,ru,Фукусима
JP-08,ru,Ибараки
JP-09,ru,Тотиги
JP-10,ru,Гумма
JP-11,ru,Сайтама
JP-12,ru,Тиба
JP-13,ru,Токио
JP-14,ru,Канагава
JP-15,ru,Ниигата
JP-16,ru,Тояма
JP-17,ru,Исикава
JP-18,ru,Фукуи
JP-19,ru,Яманаси
JP-20,ru,Нагано
JP-21,ru,Гифу
JP-22,ru,Сидзуока
JP-23,ru,Айти
JP-24,ru,Миэ
JP-25,ru,Сига
JP-26,ru,Киото
JP-27,ru,Осака
JP-28,ru,Хиого
JP-29,ru,Нара
JP-30,ru,Вакаяма
JP-31,ru,Тоттори
JP-32,ru,Симане
JP-33,ru,Окаяма
JP-34,ru,Хиросима
JP-35,ru,Ямагути
JP-36,ru,Токусима
JP-37,ru,Кагава
JP-38,ru,Эхиме
JP-39,ru,Коти
JP-40,ru,Фукуока
JP-41,ru,Сага
JP-42,ru,Нагасаки
JP-43,ru,Кумамото
JP-44,ru,Оита
JP-45,ru,Миядзаки
JP-46,ru,Кагосима
JP-47,ru,Окинава
