key,language_key,name
KE-01,ca,comtat de Baringo
KE-02,ca,Bomet County
KE-03,ca,Districte de Bungoma
KE-04,ca,Busia
KE-05,ca,Elgeyo-Marakwet
KE-06,ca,Embu County
KE-07,ca,Comtat de Garissa
KE-08,ca,Homa Bay County
KE-09,ca,Isiolo County
KE-10,ca,Comtat de Kajiado
KE-11,ca,Kakamega County
KE-12,ca,Kericho County
KE-13,ca,Kiambu County
KE-14,ca,Kilifi County
KE-15,ca,Kirinyaga County
KE-16,ca,Kisii County
KE-17,ca,Kisumu
KE-18,ca,Kitui County
KE-19,ca,Kwale County
KE-20,ca,Comtat de Laikipia
KE-21,ca,Lamu
KE-22,ca,comtat de Machakos
KE-23,ca,Makueni County
KE-24,ca,Mandera County
KE-25,ca,Marsabit
KE-26,ca,Meru County
KE-27,ca,Migori County
KE-28,ca,comtat de Mombasa
KE-29,ca,Muranga County
KE-30,ca,Nairobi
KE-31,ca,Comtat de Nakuru
KE-32,ca,Nandi
KE-33,ca,Comtat de Narok
KE-34,ca,comtat de Nyamira
KE-35,ca,Nyandarua County
KE-36,ca,Nyeri County
KE-37,ca,Samburu County
KE-38,ca,Siaya
KE-39,ca,Taita-Taveta County
KE-40,ca,comtat del riu Tana
KE-41,ca,Tharaka Nithi County
KE-42,ca,Trans-Nzoia
KE-43,ca,Turkana
KE-44,ca,Uasin Gishu County
KE-45,ca,comtat de Vihiga
KE-46,ca,Comtat de Wajir
KE-47,ca,West Pokot County
