key,language_key,name
KE-01,id,County Baringo
KE-02,id,County Bomet
KE-03,id,County Bungoma
KE-04,id,County Busia
KE-05,id,County Elgeyo-Marakwet
KE-06,id,County Embu
KE-07,id,County Garissa
KE-08,id,County Homa Bay
KE-09,id,County Isiolo
KE-10,id,County Kajiado
KE-11,id,County Kakamega
KE-12,id,County Kericho
KE-13,id,County Kiambu
KE-14,id,County Kilifi
KE-15,id,County Kirinyaga
KE-16,id,County Kisii
KE-17,id,County Kisumu
KE-18,id,County Kitui
KE-19,id,County Kwale
KE-20,id,County Laikipia
KE-21,id,Lamu
KE-22,id,County Machakos
KE-23,id,County Makueni
KE-24,id,County Mandera
KE-25,id,County Marsabit
KE-26,id,County Meru
KE-27,id,County Migori
KE-28,id,County Mombasa
KE-29,id,County Murang'a
KE-30,id,Nairobi County
KE-31,id,County Nakuru
KE-32,id,Nandi
KE-33,id,County Narok
KE-34,id,County Nyamira
KE-35,id,County Nyandarua
KE-36,id,County Nyeri
KE-37,id,County Samburu
KE-38,id,County Siaya
KE-39,id,County Taita–Taveta
KE-40,id,County Tana River
KE-41,id,County Tharaka-Nithi
KE-42,id,County Trans-Nzoia
KE-43,id,Kabupaten Turkana
KE-44,id,County Uasin Gishu
KE-45,id,County Vihiga
KE-46,id,County Wajir
KE-47,id,County West Pokot
