key,language_key,name
LK-1,la,Western Province
LK-11,la,Colombo
LK-12,la,Gampaha
LK-13,la,Kalutara
LK-2,la,Provincia Centralis
LK-21,la,Kandy
LK-22,la,Matale
LK-23,la,Nuwara Eliya
LK-3,la,Provincia meridionalis
LK-31,la,Galle
LK-32,la,Matara
LK-33,la,Hambantota
LK-4,la,Provinciae septentrionalis
LK-41,la,Jaffna
LK-42,la,Kilinochchi
LK-43,la,Mannar
LK-44,la,Vavuniya
LK-45,la,Mullaittivu
LK-5,la,Orientalis Provinciae
LK-51,la,Batticaloa
LK-52,la,Ampara
LK-53,la,Trincomalee
LK-6,la,Provinciae occidentalis septentrionalis
LK-61,la,Kurunegala
LK-62,la,Puttalam
LK-7,la,Provinciae Septentrionalis Centralis
LK-71,la,Anuradhapura
LK-72,la,Polonnaruwa
LK-8,la,Provincia Uva
LK-81,la,Badulla
LK-82,la,Monaragala
LK-9,la,Sabaragamuva
LK-91,la,Ratnapura
LK-92,la,Kegalla
