key,language_key,name
MK-101,ro,Veles
MK-102,ro,Gradsko
MK-103,ro,Demir Kapija
MK-104,ro,Kavadarci
MK-105,ro,Lozovo
MK-106,ro,Negotino
MK-107,ro,Rosoman
MK-108,ro,Sveti Nikole
MK-109,ro,Caska
MK-201,ro,Berovo
MK-202,ro,Vinica
MK-203,ro,Delcevo
MK-204,ro,Zrnovci
MK-205,ro,Karbinci
MK-206,ro,comuna Kočani
MK-207,ro,Makedonska Kamenica
MK-208,ro,Pehcevo
MK-209,ro,Probistip
MK-210,ro,Cesinovo-Oblesevo
MK-211,ro,Stip
MK-301,ro,Vevčani
MK-303,ro,Municipiul Debar
MK-304,ro,Comuna Debarca
MK-307,ro,Kicevo
MK-308,ro,Makedonski Brod
MK-310,ro,Comuna Ohrida
MK-311,ro,Plasnica
MK-312,ro,Struga
MK-313,ro,Centar Zupa
MK-401,ro,Bogdanci
MK-402,ro,Bosilovo
MK-403,ro,Valandovo
MK-404,ro,Vasilevo
MK-405,ro,Comuna Gevgelija
MK-406,ro,Opstina Dojran
MK-407,ro,Konce
MK-408,ro,Novo Selo
MK-409,ro,Radovis
MK-410,ro,Strumica
MK-501,ro,Bitola
MK-502,ro,Demir Hisar
MK-503,ro,Dolneni
MK-504,ro,Krivogastani
MK-505,ro,Crușova
MK-506,ro,Mogila
MK-507,ro,Novaci
MK-508,ro,Prilep
MK-509,ro,Resen
MK-601,ro,Bogovine
MK-602,ro,Brvenica
MK-603,ro,Vrapciste
MK-604,ro,Gostivar
MK-605,ro,Zelino
MK-606,ro,Jegunovce
MK-607,ro,Mavrovo i Rostuša
MK-608,ro,Tearce
MK-609,ro,Tetovo
MK-701,ro,Kratovo
MK-702,ro,Kriva Palanka
MK-703,ro,Kumanovo
MK-704,ro,Opstina Lipkovo
MK-705,ro,Opstina Rankovce
MK-706,ro,Staro Nagoričane
MK-801,ro,Aerodrom †
MK-802,ro,Aracinovo
MK-803,ro,Butel †
MK-804,ro,Gazi Baba †
MK-805,ro,Gjorče Petrov †
MK-806,ro,Zelenikovo
MK-807,ro,Ilinden
MK-808,ro,Karpoš †
MK-809,ro,Kișela Vodă †
MK-810,ro,Petrovec
MK-811,ro,Saraj †
MK-812,ro,Sopiste
MK-813,ro,Studenicani
MK-814,ro,Centar †
MK-815,ro,Čair †
MK-816,ro,Čučer-Sandevo
MK-817,ro,Šuto Orizari †
